,Infected,predicted_Infected
2020-06-30,68,65.02941176470588
2020-07-01,67,61.91044776119402
2020-07-02,61,64.8032786885246
2020-07-03,59,58.9322033898305
2020-07-04,57,56.929824561403514
2020-07-05,55,59.07272727272727
2020-07-06,57,53.070175438596486
2020-07-07,55,50.78181818181819
2020-07-08,49,57.244897959183675
2020-07-09,51,51.88235294117647
2020-07-10,54,51.0
2020-07-11,54,49.0
2020-07-12,49,51.79591836734694
2020-07-13,47,44.829787234042556
2020-07-14,43,45.906976744186046
2020-07-15,42,42.99999999999999
2020-07-16,42,39.0
2020-07-17,39,38.769230769230774
2020-07-18,36,31.416666666666664
2020-07-19,29,33.51724137931034
2020-07-20,27,26.851851851851855
2020-07-21,25,24.84
2020-07-22,23,18.478260869565215
2020-07-23,17,13.529411764705882
2020-07-24,10,13.600000000000001
2020-07-25,8,8.75
2020-07-26,7,8.0
2020-07-27,7,6.0
2020-07-28,6,3.5
2020-07-29,3,4.0
2020-07-30,2,1.5
2020-07-31,1,2.0
2020-08-01,1,0.0
2020-08-02,0,1.0
2020-08-03,0,0.0
2020-08-04,0,0.0
2020-08-05,0,0.0
2020-08-06,0,0.0
2020-08-07,0,0.0
2020-08-08,0,0.0
2020-08-09,0,0.0
2020-08-10,0,0.0
2020-08-11,0,0.0
2020-08-12,1,0.0
2020-08-13,1,1.0
2020-08-14,1,2.0
2020-08-15,2,1.0
2020-08-16,2,4.0
2020-08-17,4,2.0
2020-08-18,4,4.0
2020-08-19,4,12.0
2020-08-20,12,6.333333333333333
2020-08-21,19,15.157894736842104
2020-08-22,24,30.875
2020-08-23,39,30.153846153846153
2020-08-24,49,47.755102040816325
2020-08-25,60,53.900000000000006
2020-08-26,66,62.72727272727273
2020-08-27,69,68.8695652173913
2020-08-28,72,71.875
2020-08-29,75,77.75999999999999
2020-08-30,81,79.62962962962963
2020-08-31,86,88.53488372093022
2020-09-01,94,98.80851063829788
2020-09-02,108,90.51851851851852
2020-09-03,104,104.8846153846154
2020-09-04,101,100.9108910891089
2020-09-05,98,90.6938775510204
2020-09-06,88,92.43181818181816
2020-09-07,83,80.57831325301204
2020-09-08,76,84.09210526315789
2020-09-09,77,83.8961038961039
2020-09-10,85,84.24705882352941
2020-09-11,93,87.74193548387096
2020-09-12,96,89.125
2020-09-13,92,89.7391304347826
2020-09-14,86,86.65116279069768
2020-09-15,81,72.19753086419752
2020-09-16,68,77.42647058823529
2020-09-17,65,66.95384615384616
2020-09-18,64,65.0
2020-09-19,64,61.0
2020-09-20,61,60.85245901639345
2020-09-21,58,56.79310344827586
2020-09-22,54,49.407407407407405
2020-09-23,46,42.26086956521739
2020-09-24,36,31.944444444444443
2020-09-25,25,27.359999999999992
2020-09-26,19,22.36842105263158
2020-09-27,17,17.88235294117647
2020-09-28,16,13.8125
2020-09-29,13,17.23076923076923
2020-09-30,14,12.071428571428571
2020-10-01,13,10.76923076923077
2020-10-02,10,13.0
2020-10-03,10,10.0
2020-10-04,10,9.0
2020-10-05,9,13.333333333333336
2020-10-06,12,10.499999999999998
2020-10-07,14,17.142857142857142
2020-10-08,20,17.5
2020-10-09,25,19.999999999999996
2020-10-10,25,26.999999999999996
2020-10-11,27,37.03703703703704
2020-10-12,40,33.75
2020-10-13,50,41.6
2020-10-14,52,50.96153846153846
2020-10-15,53,53.9622641509434
2020-10-16,55,51.07272727272728
2020-10-17,53,53.962264150943405
