,Infected,predicted_Infected
2020-06-30,4,5.0
2020-07-01,5,4.0
2020-07-02,5,5.0
2020-07-03,5,5.0
2020-07-04,5,5.0
2020-07-05,5,7.0
2020-07-06,7,5.0
2020-07-07,7,8.0
2020-07-08,8,7.875
2020-07-09,9,10.666666666666666
2020-07-10,12,9.0
2020-07-11,12,9.0
2020-07-12,9,10.666666666666666
2020-07-13,8,9.0
2020-07-14,8,7.0
2020-07-15,7,8.0
2020-07-16,7,7.0
2020-07-17,7,8.0
2020-07-18,8,7.0
2020-07-19,8,8.0
2020-07-20,8,8.0
2020-07-21,8,7.0
2020-07-22,7,6.857142857142858
2020-07-23,6,3.5
2020-07-24,3,8.0
2020-07-25,4,3.0
2020-07-26,4,4.0
2020-07-27,4,6.0
2020-07-28,6,4.0
2020-07-29,6,6.0
2020-07-30,6,6.0
2020-07-31,6,5.0
2020-08-01,5,6.0
2020-08-02,5,3.0
2020-08-03,3,6.666666666666666
2020-08-04,4,3.0
2020-08-05,4,6.0
2020-08-06,6,4.0
2020-08-07,6,5.0
2020-08-08,5,6.0
2020-08-09,5,6.0
2020-08-10,6,3.333333333333334
2020-08-11,4,6.0
2020-08-12,4,4.0
2020-08-13,4,4.0
2020-08-14,4,4.0
2020-08-15,4,4.0
2020-08-16,4,4.0
2020-08-17,4,3.0
2020-08-18,3,6.666666666666666
2020-08-19,5,3.6000000000000005
2020-08-20,6,10.0
2020-08-21,12,9.5
2020-08-22,19,20.842105263157897
2020-08-23,33,22.454545454545457
2020-08-24,39,33.84615384615384
2020-08-25,40,51.675
2020-08-26,53,49.81132075471698
2020-08-27,66,62.636363636363626
2020-08-28,78,73.6153846153846
2020-08-29,87,85.17241379310344
2020-08-30,95,91.57894736842104
2020-08-31,100,98.8
2020-09-01,104,100.96153846153845
2020-09-02,105,106.97142857142859
2020-09-03,108,100.1388888888889
2020-09-04,103,100.66019417475728
2020-09-05,96,91.19791666666667
2020-09-06,85,88.09411764705882
2020-09-07,78,85.0
2020-09-08,78,66.0
2020-09-09,66,65.0
2020-09-10,55,54.000000000000014
2020-09-11,45,45.22222222222222
2020-09-12,37,35.27027027027027
2020-09-13,29,30.620689655172413
2020-09-14,24,24.166666666666668
2020-09-15,20,20.4
2020-09-16,17,14.11764705882353
2020-09-17,12,15.583333333333334
