,Infected,predicted_Infected
2020-06-30,3,3.0
2020-07-01,3,3.0
2020-07-02,3,3.0
2020-07-03,3,5.0
2020-07-04,5,3.0
2020-07-05,5,5.0
2020-07-06,5,4.0
2020-07-07,4,5.0
2020-07-08,4,4.0
2020-07-09,4,6.0
2020-07-10,6,3.3333333333333335
2020-07-11,5,4.800000000000001
2020-07-12,4,6.25
2020-07-13,5,4.8
2020-07-14,6,5.0
2020-07-15,6,6.999999999999999
2020-07-16,7,6.0
2020-07-17,7,5.0
2020-07-18,5,7.0
2020-07-19,5,5.0
2020-07-20,5,5.0
2020-07-21,5,6.0
2020-07-22,6,5.0
2020-07-23,6,4.0
2020-07-24,4,6.0
2020-07-25,4,4.0
2020-07-26,4,4.0
2020-07-27,4,3.0
2020-07-28,3,4.0
2020-07-29,3,2.0
2020-07-30,2,3.0
2020-07-31,2,2.0
2020-08-01,2,2.0
2020-08-02,2,2.0
2020-08-03,2,3.0
2020-08-04,3,5.333333333333333
2020-08-05,8,3.375
2020-08-06,9,8.0
2020-08-07,9,9.0
2020-08-08,9,10.0
2020-08-09,10,8.1
2020-08-10,9,10.0
2020-08-11,9,9.0
2020-08-12,9,9.0
2020-08-13,9,9.0
2020-08-14,9,9.0
2020-08-15,9,10.0
2020-08-16,10,11.7
2020-08-17,13,10.0
2020-08-18,13,9.0
2020-08-19,9,13.0
2020-08-20,9,12.000000000000002
2020-08-21,12,10.499999999999998
2020-08-22,14,13.714285714285714
2020-08-23,16,22.75
2020-08-24,26,17.23076923076923
2020-08-25,28,26.0
2020-08-26,28,28.999999999999996
2020-08-27,29,32.82758620689655
2020-08-28,34,34.11764705882353
2020-08-29,40,37.400000000000006
2020-08-30,44,38.18181818181819
2020-08-31,42,43.99999999999999
2020-09-01,42,41.0
2020-09-02,41,42.0
2020-09-03,41,42.00000000000001
2020-09-04,42,42.95238095238095
2020-09-05,44,41.04545454545455
2020-09-06,43,33.76744186046512
2020-09-07,33,41.696969696969695
2020-09-08,32,34.03125
2020-09-09,33,33.93939393939394
2020-09-10,35,29.228571428571428
2020-09-11,31,28.2258064516129
2020-09-12,25,24.8
2020-09-13,20,23.75
2020-09-14,19,21.052631578947366
2020-09-15,20,19.949999999999996
2020-09-16,21,19.047619047619047
2020-09-17,20,19.95
2020-09-18,19,16.842105263157897
2020-09-19,16,17.8125
2020-09-20,15,18.133333333333333
2020-09-21,17,15.882352941176471
2020-09-22,18,17.944444444444446
2020-09-23,19,17.052631578947366
2020-09-24,18,21.111111111111107
2020-09-25,20,18.0
2020-09-26,20,21.999999999999996
2020-09-27,22,20.909090909090907
2020-09-28,23,21.043478260869566
2020-09-29,22,20.90909090909091
2020-09-30,20,23.099999999999994
2020-10-01,21,17.142857142857146
2020-10-02,18,20.999999999999996
2020-10-03,18,19.0
2020-10-04,19,17.052631578947366
2020-10-05,18,16.88888888888889
2020-10-06,16,15.75
2020-10-07,14,14.857142857142858
2020-10-08,13,11.846153846153847
2020-10-09,11,13.0
2020-10-10,11,9.0
2020-10-11,9,9.777777777777777
2020-10-12,8,9.0
2020-10-13,8,8.0
2020-10-14,8,8.0
2020-10-15,8,8.0
2020-10-16,8,7.0
2020-10-17,7,5.714285714285714
2020-10-18,5,7.0
2020-10-19,5,7.0
2020-10-20,7,5.7142857142857135
2020-10-21,8,6.125
2020-10-22,7,6.857142857142858
2020-10-23,6,7.0
2020-10-24,6,6.0
2020-10-25,6,8.0
2020-10-26,8,6.0
2020-10-27,8,8.0
2020-10-28,8,7.0
2020-10-29,7,10.285714285714285
2020-10-30,9,7.0
2020-10-31,9,10.0
2020-11-01,10,9.899999999999999
2020-11-02,11,9.09090909090909
2020-11-03,10,9.9
2020-11-04,9,12.222222222222221
2020-11-05,11,9.0
2020-11-06,11,11.0
2020-11-07,11,13.0
2020-11-08,13,12.692307692307693
2020-11-09,15,13.866666666666667
2020-11-10,16,16.875
2020-11-11,18,16.88888888888889
2020-11-12,19,17.052631578947366
2020-11-13,18,19.0
2020-11-14,18,25.0
2020-11-15,25,18.719999999999995
2020-11-16,26,24.03846153846154
2020-11-17,25,26.0
2020-11-18,25,26.999999999999996
2020-11-19,27,26.851851851851848
2020-11-20,29,27.931034482758616
2020-11-21,30,27.066666666666666
2020-11-22,28,25.714285714285715
2020-11-23,24,29.166666666666668
2020-11-24,25,24.959999999999994
2020-11-25,26,31.730769230769234
2020-11-26,33,40.96969696969697
2020-11-27,52,48.230769230769226
2020-11-28,76,61.57894736842106
2020-11-29,90,92.04444444444445
2020-11-30,109,116.42201834862385
2020-12-01,141,121.36879432624113
2020-12-02,157,146.38853503184714
2020-12-03,163,159.88957055214726
2020-12-04,166,179.69277108433738
2020-12-05,183,178.69945355191257
2020-12-06,197,193.21827411167513
2020-12-07,208,203.6298076923077
2020-12-08,215,227.3488372093023
2020-12-09,235,218.6595744680851
2020-12-10,239,235.0
2020-12-11,239,235.99999999999997
2020-12-12,236,231.9110169491525
2020-12-13,229,234.96943231441054
2020-12-14,228,221.96929824561403
2020-12-15,221,235.2217194570136
2020-12-16,228,229.72368421052633
2020-12-17,237,253.0126582278481
2020-12-18,263,313.596958174905
2020-12-19,348,263.0
2020-12-20,348,370.00000000000006
2020-12-21,370,367.7513513513514
2020-12-22,391,403.12020460358053
2020-12-23,426,423.1244131455399
2020-12-24,461,446.3297180043384
2020-12-25,483,477.2256728778468
2020-12-26,500,491.694
2020-12-27,509,509.8231827111984
2020-12-28,519,506.0578034682082
2020-12-29,516,541.1279069767443
2020-12-30,538,518.8773234200744
2020-12-31,541,529.0499075785583
2021-01-01,532,472.8665413533836
2021-01-02,465,546.8731182795698
2021-01-03,478,455.27196652719664
2021-01-04,468,479.0213675213675
2021-01-05,469,431.07889125799574
2021-01-06,432,433.1736111111112
2021-01-07,399,397.3533834586466
2021-01-08,367,390.30245231607626
2021-01-09,359,351.6657381615599
2021-01-10,344,337.08430232558146
2021-01-11,323,337.60990712074306
2021-01-12,317,288.3564668769716
2021-01-13,283,312.5194346289753
2021-01-14,279,269.81362007168457
2021-01-15,266,247.53383458646618
2021-01-16,236,243.45762711864407
2021-01-17,216,220.7037037037037
2021-01-18,202,187.12871287128712
2021-01-19,175,181.22285714285715
2021-01-20,157,167.19745222929936
2021-01-21,150,147.57999999999998
2021-01-22,141,122.34042553191492
2021-01-23,115,144.6782608695652
2021-01-24,118,113.05084745762714
2021-01-25,116,108.8448275862069
2021-01-26,107,112.74766355140187
2021-01-27,104,114.2019230769231
2021-01-28,111,104.00000000000003
2021-01-29,111,116.0
2021-01-30,116,105.25862068965517
2021-01-31,110,112.83636363636363
2021-02-01,107,123.36448598130842
2021-02-02,120,112.35000000000001
2021-02-03,126,117.14285714285714
2021-02-04,123,128.0487804878049
2021-02-05,125,121.032
2021-02-06,123,113.8211382113821
2021-02-07,112,114.21428571428572
2021-02-08,104,107.69230769230768
2021-02-09,100,97.76
2021-02-10,94,77.65957446808511
2021-02-11,73,90.13698630136984
2021-02-12,70,66.74285714285715
2021-02-13,64,74.375
2021-02-14,68,58.352941176470594
2021-02-15,62,55.93548387096774
2021-02-16,51,58.35294117647059
2021-02-17,48,64.8125
2021-02-18,61,59.80327868852459
2021-02-19,76,72.23684210526315
2021-02-20,90,80.22222222222223
2021-02-21,95,96.63157894736842
2021-02-22,102,95.9313725490196
2021-02-23,103,101.00970873786407
2021-02-24,102,116.85398661296833
2021-02-25,102,125.53710687733066
2021-02-26,106,116.50395970297427
2021-02-27,109,118.36288977692486
2021-02-28,114,124.2083428391309
2021-03-01,122,132.94681772581933
2021-03-02,121,135.81815538261338
2021-03-03,134,139.54332618787802
2021-03-04,129,131.51489510810438
2021-03-05,130,123.56607680411527
2021-03-06,136,117.35035049513141
2021-03-07,139,119.87733439681344
2021-03-08,152,122.575947310154
