,Infected,predicted_Infected
2021-12-10,29049,28902.47650521533
2021-12-11,29996,29873.133184424594
2021-12-12,30847,31124.970596816544
2021-12-13,32008,31690.261840789808
2021-12-14,32883,32924.93385639996
2021-12-15,33825,33650.99911308204
2021-12-16,34615,34553.974433049254
2021-12-17,35361,35125.00862532169
2021-12-18,35882,35643.832813109635
2021-12-19,36169,36378.03251403135
2021-12-20,36669,36045.704436990374
2021-12-21,36544,36566.65110551664
2021-12-22,36442,36473.80407222436
2021-12-23,36372,35987.126250962276
2021-12-24,35918,35646.94983016872
2021-12-25,35202,35295.59275041191
2021-12-26,34592,34129.41362164662
2021-12-27,33538,33794.706899636236
2021-12-28,32765,32258.50969021822
2021-12-29,31515,31374.969696969692
2021-12-30,30178,30285.854430379746
2021-12-31,29001,28792.981621323404
2022-01-01,27670,27808.259197687024
2022-01-02,26532,26710.539725614355
2022-01-03,25612,25433.924098079024
2022-01-04,24552,24165.118116650377
2022-01-05,23165,22947.349535937836
2022-01-06,21651,21765.534848274907
2022-01-07,20343,20451.53694145406
2022-01-08,19216,19336.22476061615
2022-01-09,18265,18459.56397481522
2022-01-10,17546,17709.11774763479
2022-01-11,17012,16700.26052198448
2022-01-12,16192,16229.27149209486
2022-01-13,15447,15424.69605748689
2022-01-14,14715,14868.590417940879
2022-01-15,14164,14445.924526969782
2022-01-16,13905,13962.311974110033
2022-01-17,13707,13731.529875246226
2022-01-18,13536,13520.675531914894
2022-01-19,13352,13692.122228879569
2022-01-20,13506,13858.162002073152
2022-01-21,14018,14082.158367812812
2022-01-22,14616,14715.255473453752
2022-01-23,15343,15475.260379326079
2022-01-24,16245,16258.196491228065
2022-01-25,17214,18205.082781456953
2022-01-26,19291,19402.001036752896
2022-01-27,21743,22001.48176424596
2022-01-28,24798,24625.056657794983
2022-01-29,28085,27679.106426918283
2022-01-30,31348,31133.78317596018
2022-01-31,34751,34386.187793157034
2022-02-01,38119,37468.6140769695
2022-02-02,41100,41697.17766423358
2022-02-03,44958,45314.40010676631
2022-02-04,49568,51314.23111684959
2022-02-05,56576,54936.93212669683
2022-02-06,62704,61269.61367695842
2022-02-07,67906,66570.25111183108
2022-02-08,72093,75918.93248997824
2022-02-09,80600,79649.34818858562
2022-02-10,89048,87424.67882490341
2022-02-11,96588,97344.50631548432
2022-02-12,105587,103575.94105334936
2022-02-13,113226,112493.34061081377
2022-02-14,120632,121037.08472047218
2022-02-15,128954,134355.27682739584
2022-02-16,143624,141946.009552721
2022-02-17,158094,161331.03115867777
2022-02-18,177585,171087.11276290228
2022-02-19,192180,190781.43763659068
2022-02-20,206461,204405.51532735
2022-02-21,219595,221406.25857146113
2022-02-22,235491,247372.26477869647
2022-02-23,265279,257945.64150950508
2022-02-24,290574,287265.5306496796
2022-02-25,314657,312396.34685387585
2022-02-26,338288,336540.52894279425
2022-02-27,361815,353595.4116219615
2022-02-28,378187,376578.9370999003
2022-03-01,393619,405141.1310200981
2022-03-02,421673,416010.139468261
2022-03-03,445660,453481.5601445048
2022-03-04,479278,473555.70979681937
2022-03-05,509278,505014.0723730458
2022-03-06,536625,527825.0672331703
2022-03-07,556168,551751.1311779894
2022-03-08,571845,588019.1936486285
2022-03-09,604594,599924.8922251958
2022-03-10,634282,624599.6423988068
2022-03-11,655270,676487.4477757261
2022-03-12,698872,685702.0367535113
2022-03-13,731329,726411.9883882629
2022-03-14,760148,768058.620064777
2022-03-15,798325,792958.1710255847
2022-03-16,832783,879516.5399329718
2022-03-17,917479,853412.8912825253
2022-03-18,940207,945713.5668411319
2022-03-19,969141,956137.746039018
2022-03-20,985562,970635.674429412
2022-03-21,987082,1013034.6298625645
2022-03-22,1014597,1013262.2238918508
2022-03-23,1041507,1025227.0605411198
2022-03-24,1052419,1051713.0697222305
2022-03-25,1062732,1036138.5376068472
2022-03-26,1046292,1053938.9757543784
2022-03-27,1037635,1023503.4479561694
2022-03-28,1015035,1037605.3543079796
2022-03-29,1015006,1015447.0117713588
2022-03-30,1015418,946793.6879866223
2022-03-31,947178,982915.7217334016
2022-04-01,916860,912604.3397617958
2022-04-02,883393,892198.8237624705
2022-04-03,859632,862651.0961248534
2022-04-04,839448,845756.1987591848
2022-04-05,825898,789943.9270515245
2022-04-06,777193,785626.0771880343
2022-04-07,739296,744904.5718169719
2022-04-08,708582,706243.850800613
2022-04-09,676903,676916.3026992051
2022-04-10,646653,656027.0796393119
2022-04-11,626710,619270.5147771697
2022-04-12,600172,575823.2013489467
2022-04-13,551440,561904.8312781083
2022-04-14,516280,519148.0546990006
2022-04-15,486047,483831.85930578737
2022-04-16,455499,456911.85966379737
2022-04-17,428195,441086.043400787
2022-04-18,414646,397593.7101406983
2022-04-19,385013,377903.14305231255
2022-04-20,350896,357923.5320180338
2022-04-21,326207,326119.7457565288
2022-04-22,303174,304725.201577312
2022-04-23,283209,283344.1387455907
2022-04-24,264685,273061.261533521
2022-04-25,255201,237776.84666204287
2022-04-26,229257,231207.82921786467
2022-04-27,207703,211734.60082906845
2022-04-28,191828,198904.33671391205
2022-04-29,178106,185600.80552835748
2022-04-30,166449,172932.1778086709
2022-05-01,157106,168121.6544850888
2022-05-02,152414,163624.72897794115
2022-05-03,139249,147965.523413291
2022-05-04,128381,137838.69565519955
2022-05-05,119838,128075.87900864688
2022-05-06,110266,122492.69328878379
2022-05-07,104559,113171.59140514271
2022-05-08,100161,108026.92766652798
2022-05-09,98113,106343.69224552564
2022-05-10,92694,96902.41570191477
