,Infected,predicted_Infected
2021-08-12,1211,1171.3270348387744
2021-08-13,1189,1193.685477206897
2021-08-14,1172,1200.1595906709445
2021-08-15,1183,1219.5537139980497
2021-08-16,1231,1211.8302447191384
2021-08-17,1261,1239.7859146341088
2021-08-18,1270,1323.5535947544563
2021-08-19,1333,1286.1965878554875
2021-08-20,1350,1334.9748455789413
2021-08-21,1352,1341.0133359277818
2021-08-22,1343,1365.0871449839458
2021-08-23,1356,1340.0287821928107
2021-08-24,1353,1364.0177787487721
2021-08-25,1361,1341.0705707103104
2021-08-26,1349,1361.0000331419674
2021-08-27,1349,1365.0000321724388
2021-08-28,1365,1342.0820824080017
2021-08-29,1358,1318.7629083837244
2021-08-30,1312,1352.824720710707
2021-08-31,1307,1343.118634010063
2021-09-01,1338,1277.6951079543185
2021-09-02,1308,1335.9541693184722
2021-09-03,1306,1314.009221600644
2021-09-04,1312,1339.8445459059733
2021-09-05,1346,1316.8737272499404
2021-09-06,1351,1369.9112062601341
2021-09-07,1375,1351.9825853840828
2021-09-08,1376,1380.995676083286
2021-09-09,1382,1398.9001851802352
2021-09-10,1405,1418.3943500207904
2021-09-11,1442,1458.5888144385497
2021-09-12,1497,1525.8036564728839
2021-09-13,1584,1545.1989033234015
2021-09-14,1635,1623.7211547247869
2021-09-15,1676,1648.6575631608182
2021-09-16,1690,1698.8095148107257
2021-09-17,1713,1738.3421390149567
2021-09-18,1762,1793.6918877196006
2021-09-19,1845,1774.4152072002985
2021-09-20,1858,1890.6781932730944
2021-09-21,1904,1885.3235783221248
2021-09-22,1932,1903.0145284647847
2021-09-23,1931,1952.0104047643779
2021-09-24,1951,1999.2927377977337
2021-09-25,2020,1975.146096190402
2021-09-26,2045,2014.0733981382439
2021-09-27,2039,2043.9970991584855
2021-09-28,2038,2028.995145407463
2021-09-29,2028,2049.054290999583
2021-09-30,2039,2045.9029471312936
2021-10-01,2057,2008.271307778594
2021-10-02,2026,2001.1584842878083
2021-10-03,1971,2050.66975257958
2021-10-04,1995,1944.3248474958923
2021-10-05,1968,1979.7942529764337
2021-10-06,1953,2061.714353965947
2021-10-07,2046,1941.5454959232131
2021-10-08,2034,1975.5870652748024
2021-10-09,1964,1953.2199925859165
2021-10-10,1886,1887.9809373747848
2021-10-11,1813,1842.3089088446297
2021-10-12,1771,1743.3873815938798
2021-10-13,1703,1764.760472792838
2021-10-14,1697,1639.7772866036512
2021-10-15,1634,1683.4988122363768
2021-10-16,1621,1614.8476621325656
2021-10-17,1602,1585.5849230099182
2021-10-18,1567,1588.7096684461962
2021-10-19,1554,1542.7992650216697
2021-10-20,1530,1457.5098400383683
2021-10-21,1435,1522.5366290561794
2021-10-22,1428,1409.8774870540296
2021-10-23,1403,1436.1425871782349
2021-10-24,1411,1426.8639586201755
2021-10-25,1435,1404.117097812236
2021-10-26,1428,1474.191219010255
2021-10-27,1467,1423.1329694979893
2021-10-28,1462,1503.1231638706872
2021-10-29,1498,1481.519399799318
2021-10-30,1518,1545.3676414014785
2021-10-31,1566,1558.712685369334
2021-11-01,1608,1585.4776492090236
2021-11-02,1628,1681.0909703038312
2021-11-03,1702,1691.1304901751555
2021-11-04,1768,1732.8054797445589
2021-11-05,1800,1805.3244923441262
2021-11-06,1838,1855.8215982226814
2021-11-07,1895,1839.9398738787856
2021-11-08,1897,1931.9610285898048
2021-11-09,1934,1930.349587459574
2021-11-10,1968,1983.1362410965976
2021-11-11,2018,1956.2973637152115
2021-11-12,2006,2061.2572848684526
2021-11-13,2049,2005.0210375685922
2021-11-14,2048,2023.9878275286562
2021-11-15,2023,2066.2224868302897
2021-11-16,2041,1999.2117143221342
2021-11-17,2017,2065.285639456566
2021-11-18,2041,2051.5884999595664
2021-11-19,2076,2099.988507227692
2021-11-20,2136,2120.7079329722874
2021-11-21,2182,2197.6719140526466
2021-11-22,2245,2201.438795903103
2021-11-23,2265,2306.452612813732
2021-11-24,2327,2336.055092150947
2021-11-25,2400,2451.1067480990605
2021-11-26,2528,2515.822877405021
2021-11-27,2650,2644.3834860388297
2021-11-28,2772,2775.2345631688027
2021-11-29,2903,2830.247392435934
2021-11-30,2964,3066.5631985485065
2021-12-01,3131,3115.46609911911
2021-12-02,3291,3244.2146233737794
2021-12-03,3410,3368.2083039659724
2021-12-04,3490,3537.9972461818775
2021-12-05,3621,3625.89902152388
2021-12-06,3762,3736.5024741615503
2021-12-07,3882,3967.446819076346
2021-12-08,4094,4106.727565556845
2021-12-09,4331,4299.125524060309
2021-12-10,4548,4498.602612260377
2021-12-11,4724,4721.29396812397
2021-12-12,4904,4875.2374844878805
2021-12-13,5061,5055.160754386437
2021-12-14,5217,5206.514819980355
2021-12-15,5367,5368.640190576107
2021-12-16,5523,5624.515125774404
2021-12-17,5788,5824.532329343884
2021-12-18,6104,5935.924142587327
2021-12-19,6260,6175.180954502627
2021-12-20,6333,6391.467047856916
2021-12-21,6466,6378.053978861606
2021-12-22,6512,6391.529933058628
2021-12-23,6437,6484.6855625193675
2021-12-24,6410,6371.726344741772
2021-12-25,6345,6278.668354928306
2021-12-26,6215,6185.737007693417
2021-12-27,6059,6105.245173666597
2021-12-28,5952,5894.087809862941
2021-12-29,5790,5865.027475210269
2021-12-30,5596,5803.762125605784
2021-12-31,5327,5585.33700683525
2022-01-01,4968,5317.762686920035
2022-01-02,4708,5123.974007155039
2022-01-03,4520,4938.918762560873
2022-01-04,4307,4773.909194836594
2022-01-05,4099,4598.531226552519
2022-01-06,3960,4443.855839862488
2022-01-07,3703,4217.927519460975
2022-01-08,3507,4044.104990385629
2022-01-09,3364,3895.243665891382
2022-01-10,3255,3803.695710833791
