,Infected,predicted_Infected
2021-08-12,235,227.02978723404252
2021-08-13,234,250.06410256410257
2021-08-14,249,242.4578313253012
2021-08-15,258,269.2674418604651
2021-08-16,279,277.41935483870964
2021-08-17,300,296.66999999999996
2021-08-18,319,297.17868338558
2021-08-19,316,317.99050632911394
2021-08-20,315,310.98412698412704
2021-08-21,310,303.82258064516134
2021-08-22,299,305.8528428093646
2021-08-23,295,281.76949152542375
2021-08-24,278,284.388489208633
2021-08-25,268,258.2910447761194
2021-08-26,249,265.8473895582329
2021-08-27,247,246.98380566801623
2021-08-28,245,257.08163265306126
2021-08-29,255,246.92156862745102
2021-08-30,257,244.08560311284052
2021-08-31,246,239.239837398374
2021-09-01,229,241.70305676855892
2021-09-02,225,220.85777777777778
2021-09-03,217,240.55299539170508
2021-09-04,232,223.54741379310343
2021-09-05,239,226.17573221757323
2021-09-06,233,265.6695278969957
2021-09-07,259,245.5945945945946
2021-09-08,273,272.28205128205127
2021-09-09,287,277.75609756097555
2021-09-10,292,286.01712328767127
2021-09-11,291,274.9415807560138
2021-09-12,274,265.5109489051095
2021-09-13,250,259.752
2021-09-14,237,237.34177215189874
2021-09-15,225,231.73333333333335
2021-09-16,220,222.95454545454547
2021-09-17,218,196.78899082568807
2021-09-18,195,213.52820512820514
2021-09-19,191,197.0418848167539
2021-09-20,193,163.29015544041448
2021-09-21,165,194.169696969697
2021-09-22,166,158.04216867469881
2021-09-23,159,161.8238993710692
2021-09-24,155,162.07741935483872
2021-09-25,158,168.73417721518987
2021-09-26,172,168.1046511627907
2021-09-27,183,187.9781420765027
2021-09-28,200,199.47000000000003
2021-09-29,218,214.67889908256882
2021-09-30,234,232.9059829059829
2021-10-01,250,248.04000000000002
2021-10-02,265,262.2641509433962
2021-10-03,278,271.6726618705036
2021-10-04,285,283.85263157894735
2021-10-05,291,275.20618556701027
2021-10-06,281,294.10676156583634
2021-10-07,284,281.0
2021-10-08,284,270.0
2021-10-09,270,262.96296296296293
2021-10-10,250,264.5999999999999
2021-10-11,245,248.97959183673467
2021-10-12,244,237.9713114754098
2021-10-13,237,238.85232067510546
2021-10-14,232,231.89224137931035
2021-10-15,227,234.04405286343615
2021-10-16,229,224.02620087336243
2021-10-17,226,224.94690265486724
2021-10-18,222,227.01801801801807
2021-10-19,223,218.01793721973092
2021-10-20,219,216.8904109589041
2021-10-21,213,216.94366197183098
2021-10-22,211,203.91469194312793
2021-10-23,202,215.17821782178214
2021-10-24,206,196.11650485436897
2021-10-25,200,194.67000000000002
2021-10-26,189,189.4179894179894
2021-10-27,179,181.60893854748602
2021-10-28,172,167.55232558139534
2021-10-29,161,159.1801242236025
2021-10-30,149,169.64429530201343
2021-10-31,157,157.54140127388536
2021-11-01,166,175.9156626506024
2021-11-02,186,176.70967741935482
2021-11-03,198,190.69696969696972
2021-11-04,203,198.0
2021-11-05,203,238.00000000000003
2021-11-06,238,221.76470588235296
2021-11-07,260,248.9846153846154
2021-11-08,272,274.3382352941177
2021-11-09,287,272.9477351916376
2021-11-10,288,291.9826388888889
2021-11-11,293,289.9658703071672
2021-11-12,295,299.9525423728814
2021-11-13,302,291.0927152317881
2021-11-14,298,303.013422818792
2021-11-15,299,293.0167224080268
2021-11-16,294,314.2551020408163
2021-11-17,309,315.8834951456311
2021-11-18,332,337.8524096385542
2021-11-19,363,355.7796143250689
2021-11-20,389,369.5321336760925
2021-11-21,396,398.82323232323233
2021-11-22,406,395.02463054187194
2021-11-23,405,451.11111111111114
2021-11-24,450,427.5
2021-11-25,475,471.78947368421063
2021-11-26,498,491.214859437751
2021-11-27,515,497.0330097087379
2021-11-28,514,524.0175097276266
2021-11-29,523,520.8795411089867
2021-11-30,530,526.9471698113208
2021-12-01,534,529.0074906367042
2021-12-02,533,522.9793621013132
2021-12-03,522,518.7049808429118
2021-12-04,508,531.2480314960629
2021-12-05,517,517.8259187620889
2021-12-06,527,554.2789373814043
2021-12-07,565,528.8654867256637
2021-12-08,567,591.9047619047619
2021-12-09,594,596.5909090909091
2021-12-10,625,631.0655999999999
2021-12-11,664,676.769578313253
2021-12-12,719,714.7927677329624
2021-12-13,774,739.43669250646
2021-12-14,796,793.4472361809045
2021-12-15,816,814.5343137254903
2021-12-16,835,840.4311377245508
2021-12-17,860,827.232558139535
2021-12-18,852,855.962441314554
2021-12-19,848,871.0896226415093
2021-12-20,867,831.3725490196078
2021-12-21,850,859.8599999999999
2021-12-22,843,850.0000000000002
2021-12-23,843,843.0000000000002
2021-12-24,843,820.9999999999999
2021-12-25,821,810.142509135201
2021-12-26,789,765.850443599493
2021-12-27,736,767.5597826086956
2021-12-28,716,714.4134078212289
2021-12-29,695,701.5370635974144
2021-12-30,685,697.8830943863243
2021-12-31,685,673.8140299517119
2022-01-01,689,670.4060865941155
2022-01-02,688,687.521109817716
2022-01-03,667,666.4150995870577
2022-01-04,672,677.7983927306493
2022-01-05,685,656.8237806550396
2022-01-06,675,633.8820285655852
2022-01-07,730,620.0643070224481
2022-01-08,773,621.5076062578801
2022-01-09,837,632.1364381950741
2022-01-10,893,679.8817372275603
