,Infected,predicted_Infected
2020-06-30,180,180.8888888888889
2020-07-01,176,167.72727272727272
2020-07-02,164,169.5609756097561
2020-07-03,158,156.7341772151899
2020-07-04,151,156.95364238410596
2020-07-05,150,148.98666666666668
2020-07-06,148,146.95945945945945
2020-07-07,145,146.97931034482758
2020-07-08,144,143.99305555555557
2020-07-09,143,134.93706293706296
2020-07-10,134,133.3955223880597
2020-07-11,125,126.49599999999998
2020-07-12,118,131.35593220338984
2020-07-13,124,118.0
2020-07-14,124,121.0
2020-07-15,121,117.85123966942149
2020-07-16,115,117.84347826086957
2020-07-17,112,113.97321428571426
2020-07-18,111,105.94594594594595
2020-07-19,105,111.0
2020-07-20,105,123.0
2020-07-21,123,110.12195121951223
2020-07-22,129,126.8139534883721
2020-07-23,133,141.60902255639095
2020-07-24,146,135.7328767123288
2020-07-25,149,145.99999999999997
2020-07-26,149,145.0
2020-07-27,145,147.97241379310347
2020-07-28,144,148.02083333333334
2020-07-29,147,140.08163265306123
2020-07-30,143,145.97202797202794
2020-07-31,142,138.9718309859155
2020-08-01,138,136.8550724637681
2020-08-02,133,140.07518796992483
2020-08-03,135,121.17777777777779
2020-08-04,123,124.0243902439024
2020-08-05,113,119.73451327433628
2020-08-06,110,100.67272727272729
2020-08-07,98,116.73469387755101
2020-08-08,104,103.65384615384616
2020-08-09,110,107.78181818181818
2020-08-10,114,110.0
2020-08-11,114,120.0
2020-08-12,120,135.85
2020-08-13,143,140.13986013986016
2020-08-14,167,204.6526946107784
2020-08-15,239,265.5230125523013
2020-08-16,380,292.4605263157895
2020-08-17,465,480.5161290322581
2020-08-18,588,579.6683673469388
2020-08-19,733,689.0750341064121
2020-08-20,859,832.838183934808
2020-08-21,976,957.5737704918034
2020-08-22,1088,1089.9264705882354
2020-08-23,1215,1163.21975308642
2020-08-24,1299,1335.6581986143187
2020-08-25,1428,1386.327731092437
2020-08-26,1524,1547.9370078740158
2020-08-27,1652,1629.1670702179176
2020-08-28,1766,1699.7078142695357
2020-08-29,1817,1736.8420473307654
2020-08-30,1787,1821.0671516508114
2020-08-31,1791,1749.084868788386
2020-09-01,1753,1739.9161437535652
2020-09-02,1703,1685.0622431004108
2020-09-03,1637,1642.6615760537568
2020-09-04,1579,1556.1348955034832
2020-09-05,1501,1497.9986675549635
2020-09-06,1424,1449.350421348315
2020-09-07,1375,1353.5767272727276
2020-09-08,1307,1309.7742922723796
2020-09-09,1245,1195.7212851405625
2020-09-10,1139,1154.2756804214223
2020-09-11,1056,1058.1051136363637
2020-09-12,981,964.5015290519879
2020-09-13,896,922.9720982142857
2020-09-14,843,830.1020166073547
2020-09-15,781,789.0307298335467
2020-09-16,731,775.6580027359782
2020-09-17,726,708.8484848484849
2020-09-18,704,714.6562499999999
2020-09-19,693,668.4444444444446
2020-09-20,658,666.6702127659574
2020-09-21,633,610.1832543443918
2020-09-22,587,623.2947189097105
2020-09-23,578,577.8598615916954
2020-09-24,569,571.9050966608083
2020-09-25,563,544.7442273534637
2020-09-26,539,566.1335807050093
2020-09-27,542,517.1217712177122
2020-09-28,520,520.1115384615384
2020-09-29,499,520.0
2020-09-30,499,465.00000000000006
2020-10-01,465,461.4408602150538
2020-10-02,430,449.8604651162791
2020-10-03,416,417.59615384615387
2020-10-04,404,411.88118811881196
2020-10-05,400,397.94000000000005
2020-10-06,394,392.8934010152284
2020-10-07,387,374.656330749354
2020-10-08,368,350.19293478260875
2020-10-09,333,366.8948948948949
2020-10-10,332,321.96686746987956
2020-10-11,321,344.41121495327104
2020-10-12,333,329.6756756756757
2020-10-13,342,305.7368421052632
2020-10-14,314,336.55414012738856
2020-10-15,309,321.11326860841433
2020-10-16,316,301.17721518987344
2020-10-17,308,320.1038961038961
2020-10-18,312,303.0641025641026
2020-10-19,307,307.93485342019545
2020-10-20,303,290.78877887788775
2020-10-21,287,300.8885017421603
2020-10-22,285,284.98596491228074
2020-10-23,283,281.9787985865724
2020-10-24,280,276.9357142857143
2020-10-25,274,268.75912408759126
2020-10-26,263,278.1673003802282
2020-10-27,267,264.9700374531835
2020-10-28,269,277.918215613383
2020-10-29,280,296.86071428571427
2020-10-30,309,310.80906148867314
2020-10-31,343,331.52186588921285
2020-11-01,368,353.2527173913044
2020-11-02,379,378.68073878627973
2020-11-03,390,403.2948717948719
2020-11-04,415,420.0722891566265
2020-11-05,447,433.5682326621924
2020-11-06,467,461.3576017130621
2020-11-07,482,502.8485477178423
2020-11-08,519,506.14643545279387
2020-11-09,545,529.4752293577982
2020-11-10,556,564.6043165467626
2020-11-11,576,572.4097222222222
2020-11-12,593,602.2259696458685
2020-11-13,620,609.259677419355
2020-11-14,637,658.9324960753532
2020-11-15,677,688.7503692762185
2020-11-16,732,739.8907103825137
2020-11-17,800,777.75
2020-11-18,850,855.529411764706
2020-11-19,909,936.028602860286
2020-11-20,1001,1017.0629370629372
2020-11-21,1120,1060.88125
2020-11-22,1187,1182.2746419545074
2020-11-23,1253,1279.8379888268157
2020-11-24,1351,1342.963730569948
2020-11-25,1448,1499.3487569060776
2020-11-26,1607,1565.1375233354076
2020-11-27,1737,1707.8422567645362
2020-11-28,1846,1805.689599133261
2020-11-29,1919,1921.9947889525802
2020-11-30,1998,1981.4299299299298
2020-12-01,2063,2095.81774115366
2020-12-02,2164,2208.859057301294
2020-12-03,2317,2316.2365127319813
2020-12-04,2480,2390.807661290323
2020-12-05,2559,2608.8940992575226
2020-12-06,2692,2684.4784546805345
2020-12-07,2824,2766.3541076487254
2020-12-08,2902,2940.7746381805655
2020-12-09,3022,2938.4910655195235
2020-12-10,3060,3069.403921568627
2020-12-11,3108,3241.158301158301
2020-12-12,3292,3335.5297691373025
2020-12-13,3533,3347.90716105293
2020-12-14,3593,3627.396882827721
2020-12-15,3689,3773.185687178098
2020-12-16,3874,3842.3115642746516
2020-12-17,4035,3972.8902106567534
2020-12-18,4138,4176.390768487192
2020-12-19,4283,4348.619659117441
2020-12-20,4501,4361.980004443457
2020-12-21,4584,4604.098821989529
2020-12-22,4689,4694.469609724888
2020-12-23,4802,4756.376301541025
2020-12-24,4871,5097.750359269143
2020-12-25,5171,4968.02436666022
2020-12-26,5274,5134.722601441033
2020-12-27,5237,5354.565209089174
2020-12-28,5317,5502.937558773745
2020-12-29,5587,5325.5650617504925
2020-12-30,5596,5530.091672623303
2020-12-31,5539,5554.578082686406
2021-01-01,5498,5408.030556566025
2021-01-02,5368,5217.364381520119
2021-01-03,5094,5379.591676482137
2021-01-04,5105,4968.271498530852
2021-01-05,4979,4990.165695922876
2021-01-06,4867,4956.493733305939
2021-01-07,4845,4504.360784313726
2021-01-08,4484,4545.699152542373
2021-01-09,4207,4297.477537437604
2021-01-10,4032,4042.142361111112
2021-01-11,3874,3663.5622096024786
2021-01-12,3520,3615.3664772727275
2021-01-13,3285,3271.403348554034
2021-01-14,3053,3037.5221094005897
2021-01-15,2823,2951.3414806942965
2021-01-16,2729,2768.1744228655184
2021-01-17,2676,2518.920029895366
2021-01-18,2470,2579.5773279352234
2021-01-19,2381,2345.5144897102064
2021-01-20,2261,2199.871295886776
2021-01-21,2089,2178.7424605074198
2021-01-22,2013,2025.69696969697
2021-01-23,1952,1957.3125000000002
2021-01-24,1898,1910.8619599578503
2021-01-25,1858,1833.6437029063509
2021-01-26,1795,1834.1927576601672
2021-01-27,1772,1765.6235891647855
2021-01-28,1743,1756.750430292599
2021-01-29,1728,1738.9652777777778
2021-01-30,1724,1682.8955916473321
2021-01-31,1679,1698.3299583085172
2021-02-01,1654,1706.4081015719466
2021-02-02,1681,1698.2772159428912
2021-02-03,1726,1726.7746234067206
2021-02-04,1773,1736.7084038353075
2021-02-05,1784,1788.9013452914803
2021-02-06,1800,1794.9022222222222
2021-02-07,1811,1810.933186085036
2021-02-08,1822,1797.0845225027447
2021-02-09,1808,1868.356194690266
2021-02-10,1854,1884.064724919094
2021-02-11,1932,1898.1428571428569
2021-02-12,1978,1916.372093023256
2021-02-13,1962,2030.4240570846075
2021-02-14,2014,2003.8897715988085
2021-02-15,2057,2046.3101604278077
2021-02-16,2090,2125.8947368421054
2021-02-17,2160,2102.5787037037035
2021-02-18,2173,2213.676944316613
2021-02-19,2227,2153.4849573417155
2021-02-20,2207,2212.873130946987
2021-02-21,2193,2200.9616963064295
2021-02-22,2187,2228.096021947874
2021-02-23,2222,2156.488298829883
2021-02-24,2191,2190.3358498963335
2021-02-25,2130,2194.4216997490967
2021-02-26,2103,2131.0147253062446
2021-02-27,2098,2173.8965343785617
2021-02-28,2066,2169.651680121041
2021-03-01,2008,2166.2117285582653
2021-03-02,1969,2161.895857008203
2021-03-03,1830,2102.933115073223
2021-03-04,1763,2058.2690062967226
2021-03-05,1712,2023.7993967144012
2021-03-06,1717,2047.7330510656782
