,Infected,predicted_Infected
2021-08-31,949,969.0674394099052
2021-09-01,965,960.8010362694299
2021-09-02,977,969.9385875127941
2021-09-03,982,1000.877800407332
2021-09-04,1006,1003.4751491053679
2021-09-05,1028,1000.1284046692608
2021-09-06,1022,1053.146771037182
2021-09-07,1047,1029.8089780324738
2021-09-08,1055,1106.5450236966824
2021-09-09,1115,1072.9775784753363
2021-09-10,1134,1143.5141093474426
2021-09-11,1163,1135.950128976784
2021-09-12,1165,1161.003433476395
2021-09-13,1163,1186.0361134995699
2021-09-14,1184,1162.0177364864867
2021-09-15,1183,1138.9619611158073
2021-09-16,1138,1157.0114235500878
2021-09-17,1113,1111.4159928122192
2021-09-18,1087,1086.378104875805
2021-09-19,1061,1058.3138548539116
2021-09-20,1033,1019.9157792836397
2021-09-21,993,1010.1137965760323
2021-09-22,971,892.7796086508753
2021-09-23,873,966.5509736540664
2021-09-24,869,874.0046029919449
2021-09-25,870,865.0045977011496
2021-09-26,866,890.0923787528867
2021-09-27,886,855.2483069977426
2021-09-28,875,877.8994285714286
2021-09-29,867,885.0922722029987
2021-09-30,877,870.9543899657925
2021-10-01,881,855.099886492622
2021-10-02,859,877.9231664726426
2021-10-03,856,867.0280373831777
2021-10-04,864,845.101851851852
2021-10-05,853,871.0902696365769
2021-10-06,860,851.0162790697674
2021-10-07,858,844.9650349650349
2021-10-08,843,822.3772241992883
2021-10-09,808,797.0940594059406
2021-10-10,764,751.9476439790575
2021-10-11,711,773.6708860759494
2021-10-12,720,668.5374999999999
2021-10-13,677,706.1742983751847
2021-10-14,664,649.4713855421686
2021-10-15,637,651.4913657770801
2021-10-16,625,637.0
2021-10-17,625,616.0
2021-10-18,616,631.0876623376624
2021-10-19,622,590.2508038585208
2021-10-20,596,613.6510067114094
2021-10-21,588,562.5510204081633
2021-10-22,555,571.0486486486485
2021-10-23,539,588.9795918367346
2021-10-24,572,540.8846153846152
2021-10-25,574,555.0592334494775
2021-10-26,557,599.7630161579892
2021-10-27,582,590.4965635738831
2021-10-28,617,615.0145867098865
2021-10-29,652,633.0874233128834
2021-10-30,669,669.542600896861
2021-10-31,687,682.6331877729257
2021-11-01,701,715.4208273894437
2021-11-02,730,747.0931506849315
2021-11-03,778,771.2853470437019
2021-11-04,822,856.5571776155716
2021-11-05,905,842.8906077348066
2021-11-06,928,906.9504310344828
2021-11-07,930,962.9247311827957
2021-11-08,965,949.2746113989638
2021-11-09,985,964.020304568528
2021-11-10,984,952.9674796747968
2021-11-11,952,974.6974789915967
2021-11-12,943,973.2004241781549
2021-11-13,964,935.1742738589212
2021-11-14,956,974.0836820083683
2021-11-15,966,929.27950310559
2021-11-16,939,945.4249201277956
2021-11-17,919,932.8694232861807
2021-11-18,913,864.6451259583789
2021-11-19,859,922.5657741559952
2021-11-20,868,840.1970046082951
2021-11-21,849,852.6643109540636
2021-11-22,834,866.3057553956835
2021-11-23,851,1062.3454759106933
2021-11-24,1084,898.8883763837639
2021-11-25,1145,1109.5615720524017
2021-11-26,1172,1145.976962457338
2021-11-27,1173,1238.9428815004264
2021-11-28,1240,1169.216129032258
2021-11-29,1236,1279.1262135922332
2021-11-30,1275,1259.2658823529412
2021-12-01,1299,1340.7621247113166
2021-12-02,1366,1394.0951683748171
2021-12-03,1466,1420.9754433833562
2021-12-04,1525,1588.0865573770493
2021-12-05,1652,1626.5435835351088
2021-12-06,1762,1706.379114642452
2021-12-07,1820,1676.804395604396
2021-12-08,1732,1920.8775981524252
2021-12-09,1828,1802.113785557987
2021-12-10,1902,1909.6929547844372
2021-12-11,1987,1984.3210870659282
2021-12-12,2073,2112.565364206464
2021-12-13,2204,2186.8080762250456
2021-12-14,2325,2309.223225806452
2021-12-15,2436,2351.724137931035
2021-12-16,2464,2482.465909090909
2021-12-17,2511,2568.9972122660292
2021-12-18,2618,2542.651260504202
2021-12-19,2651,2645.651452282158
2021-12-20,2679,2678.7073534901087
2021-12-21,2707,2641.393055042482
2021-12-22,2669,2680.629823904084
2021-12-23,2643,2689.196746121831
2021-12-24,2663,2641.0150206533986
2021-12-25,2661,2572.9323562570466
2021-12-26,2571,2623.739789964994
2021-12-27,2535,2495.9491124260358
2021-12-28,2461,2445.383990247867
2021-12-29,2374,2405.0210614995785
2021-12-30,2320,2306.463793103448
2021-12-31,2254,2215.013309671695
2022-01-01,2152,2142.9758364312265
2022-01-02,2046,2078.373411534702
2022-01-03,1976,1995.264170040486
2022-01-04,1927,1949.3388687078364
2022-01-05,1901,1823.604944765913
2022-01-06,1799,1833.3713173985548
2022-01-07,1735,1731.6023054755046
2022-01-08,1670,1728.7664670658685
2022-01-09,1664,1619.819711538462
2022-01-10,1614,1640.2874845105327
2022-01-11,1591,1609.9421747328724
2022-01-12,1587,1599.0201638311282
2022-01-13,1595,1556.1554858934169
2022-01-14,1564,1576.643222506394
2022-01-15,1546,1577.1513583441138
2022-01-16,1559,1535.0917254650417
2022-01-17,1548,1590.2202842377262
2022-01-18,1579,1591.136162127929
2022-01-19,1623,1713.2587800369688
2022-01-20,1761,1693.9659284497448
2022-01-21,1838,1860.6430903155604
2022-01-22,1942,1928.8589083419151
2022-01-23,2038,2101.1334641805693
2022-01-24,2205,2228.3981859410433
2022-01-25,2411,2481.1965989216096
2022-01-26,2713,2684.7147069664584
2022-01-27,3021,3099.1602118503806
2022-01-28,3451,3368.533178788757
2022-01-29,3848,3955.0181912681915
2022-01-30,4410,4340.9977324263045
2022-01-31,4975,4926.789949748744
2022-02-01,5558,5606.04983807125
2022-02-02,6263,6179.203895896536
2022-02-03,6963,7053.632916846188
2022-02-04,7842,7815.394797245602
2022-02-05,8802,9017.141785957736
2022-02-06,10121,9852.569706550737
2022-02-07,11329,11095.66775531821
2022-02-08,12420,12561.325201288246
2022-02-09,13771,13571.720281751504
2022-02-10,15048,14732.810273790537
2022-02-11,16099,16608.976458165107
2022-02-12,17769,17638.321346164674
2022-02-13,19468,19438.380573248407
2022-02-14,21297,20830.951965065502
2022-02-15,22788,23273.6172985782
2022-02-16,24903,24707.81785327069
2022-02-17,27001,26629.54405392393
2022-02-18,28873,29728.8743809095
2022-02-19,31790,30527.816168606478
2022-02-20,33612,33530.259431155544
2022-02-21,35452,35427.60927451201
2022-02-22,37367,38364.66732678567
2022-02-23,40437,40389.663822736606
2022-02-24,43708,43764.809302644826
2022-02-25,47305,46569.50884684494
2022-02-26,50402,50672.53184397444
2022-02-27,53990,52816.14284126689
2022-02-28,56576,56503.604001696825
2022-03-01,59210,60313.97182908293
2022-03-02,63122,62609.401793352554
2022-03-03,66746,68151.2571240224
2022-03-04,72064,70388.76223912078
2022-03-05,75997,75798.20045528111
2022-03-06,79935,79288.44447363484
2022-03-07,83397,83462.23479261846
2022-03-08,87077,89130.98071821491
2022-03-09,93064,92390.65815997592
2022-03-10,98743,98355.12236816785
2022-03-11,104357,106652.31836867676
2022-03-12,112716,108779.7384665886
2022-03-13,117493,119666.43466419277
2022-03-14,124738,128262.89339255076
2022-03-15,136172,130955.11369444527
2022-03-16,142959,151745.78129393744
2022-03-17,159309,148325.2681957705
2022-03-18,165289,166649.46030891346
2022-03-19,172905,170411.95046991121
2022-03-20,178264,174798.31867342824
2022-03-21,180216,186330.66955209302
2022-03-22,188371,187918.45428436436
2022-03-23,196422,193900.66157558726
2022-03-24,202188,199354.9041189388
2022-03-25,205207,201701.26771503896
2022-03-26,204713,208265.3624733163
2022-03-27,207764,200404.21720317283
2022-03-28,203391,205418.6349445157
2022-03-29,201095,208710.0445759467
2022-03-30,206354,192686.88743615337
2022-03-31,197726,205204.95660661723
2022-04-01,196625,193981.14749396057
2022-04-02,192901,195119.4861612952
2022-04-03,191424,189792.1965845453
2022-04-04,188339,188225.45202002773
2022-04-05,185192,182947.9191811741
2022-04-06,179891,178917.39348827902
2022-04-07,173796,175431.9190775392
2022-04-08,169488,169332.35662701784
2022-04-09,165135,163542.2950676719
2022-04-10,159342,161265.24758067555
2022-04-11,155608,155325.88692098093
2022-04-12,151686,145640.7826694619
2022-04-13,141970,143612.89007536805
2022-04-14,134414,134408.56123618077
2022-04-15,127255,127406.79025578563
2022-04-16,120621,121224.62734515549
2022-04-17,114905,117221.92425917061
2022-04-18,111667,108168.15710997878
2022-04-19,105120,102817.13530251141
2022-04-20,96789,98645.91389517405
2022-04-21,90828,90753.27427665479
2022-04-22,85164,85577.58616316754
2022-04-23,80241,79868.91150409392
2022-04-24,75252,77374.79301546802
2022-04-25,72564,68679.22043988755
2022-04-26,66226,66479.56349469998
2022-04-27,60673,62068.569413236604
2022-04-28,56539,57902.31069167407
2022-04-29,52882,55429.615883204264
2022-04-30,49555,52355.09308225939
2022-05-01,45924,48347.35993299221
2022-05-02,44398,47221.28855767069
2022-05-03,41348,43481.31583155868
2022-05-04,38365,40561.160125365175
2022-05-05,35912,37532.65149472886
2022-05-06,33262,35802.63086841226
2022-05-07,31160,33127.08212432043
2022-05-08,29898,31189.620550925098
2022-05-09,29270,30644.783975769893
