,Infected,predicted_Infected
2020-05-08,0,0.0
2020-05-09,0,0.0
2020-05-10,1,0.0
2020-05-11,1,1.0
2020-05-12,1,1.0
2020-05-13,1,1.0
2020-05-14,1,1.0
2020-05-15,1,1.0
2020-05-16,1,1.0
2020-05-17,1,1.0
2020-05-18,1,1.0
2020-05-19,1,1.0
2020-05-20,1,1.0
2020-05-21,1,1.0
2020-05-22,1,1.0
2020-05-23,1,0.0
2020-05-24,0,1.0
2020-05-25,0,0.0
2020-05-26,0,0.0
2020-05-27,0,0.0
2020-05-28,0,0.0
2020-05-29,0,0.0
2020-05-30,0,0.0
2020-05-31,1,0.0
2020-06-01,1,1.0
2020-06-02,1,1.0
2020-06-03,1,1.0
2020-06-04,1,1.0
2020-06-05,1,1.0
2020-06-06,1,1.0
2020-06-07,1,1.0
2020-06-08,1,1.0
2020-06-09,1,1.0
2020-06-10,1,1.0
2020-06-11,1,1.0
2020-06-12,1,1.0
2020-06-13,1,0.0
2020-06-14,0,1.0
2020-06-15,0,0.0
2020-06-16,0,0.0
2020-06-17,1,0.0
2020-06-18,1,4.0
2020-06-19,4,1.0
2020-06-20,4,4.0
2020-06-21,4,4.0
2020-06-22,4,4.0
2020-06-23,4,4.0
2020-06-24,4,4.0
2020-06-25,4,4.0
2020-06-26,4,4.0
2020-06-27,4,4.0
2020-06-28,4,4.0
2020-06-29,4,4.0
2020-06-30,4,3.0
2020-07-01,3,4.0
2020-07-02,3,0.0
2020-07-03,0,3.0
2020-07-04,0,0.0
2020-07-05,1,0.0
2020-07-06,1,1.0
2020-07-07,1,1.0
2020-07-08,1,1.0
2020-07-09,1,1.0
2020-07-10,1,1.0
2020-07-11,1,1.0
2020-07-12,1,1.0
2020-07-13,1,1.0
2020-07-14,1,1.0
2020-07-15,1,1.0
2020-07-16,1,3.9999999999999996
2020-07-17,4,1.25
2020-07-18,5,4.0
2020-07-19,5,5.0
2020-07-20,5,6.0
2020-07-21,6,5.0
2020-07-22,6,6.0
2020-07-23,6,6.0
2020-07-24,6,6.0
2020-07-25,6,6.0
2020-07-26,6,6.0
2020-07-27,6,6.0
2020-07-28,6,6.0
2020-07-29,6,6.0
2020-07-30,6,3.0
2020-07-31,3,4.0
2020-08-01,2,1.5
2020-08-02,1,2.0
2020-08-03,1,0.0
2020-08-04,0,1.0
2020-08-05,0,0.0
2020-08-06,0,0.0
2020-08-07,0,0.0
2020-08-08,0,0.0
2020-08-09,0,0.0
2020-08-10,0,0.0
2020-08-11,0,0.0
2020-08-12,0,0.0
2020-08-13,0,0.0
2020-08-14,0,0.0
2020-08-15,0,0.0
2020-08-16,0,0.0
2020-08-17,0,0.0
2020-08-18,0,0.0
2020-08-19,0,0.0
2020-08-20,0,0.0
2020-08-21,0,0.0
2020-08-22,2,0.0
2020-08-23,2,2.0
2020-08-24,2,5.0
2020-08-25,5,2.8
2020-08-26,7,5.7142857142857135
2020-08-27,8,8.75
2020-08-28,10,8.799999999999999
2020-08-29,11,11.818181818181818
2020-08-30,13,16.07692307692308
2020-08-31,19,13.68421052631579
2020-09-01,20,19.95
2020-09-02,21,20.0
2020-09-03,21,21.0
2020-09-04,21,19.999999999999996
2020-09-05,20,21.0
2020-09-06,20,20.0
2020-09-07,20,17.0
2020-09-08,17,17.647058823529413
2020-09-09,15,18.133333333333333
2020-09-10,16,15.0
2020-09-11,16,16.0
2020-09-12,16,14.0
2020-09-13,14,9.142857142857144
2020-09-14,8,17.5
2020-09-15,10,7.2
2020-09-16,9,10.0
2020-09-17,9,10.999999999999998
2020-09-18,11,8.181818181818182
