,Actual_data,Predicted_data
2020-06-30,1.0000305,0.9996375
2020-07-01,0.9167023,0.917903
2020-07-02,0.13044183,0.13066237
2020-07-03,0.15385512,0.15411101
2020-07-04,0.2666837,0.2660138
2020-07-05,0.09334033,0.09275643
2020-07-06,0.07317657,0.07301605
2020-07-07,0.09091672,0.09050949
2020-07-08,0.15626399,0.15582447
2020-07-09,0.027029729,0.026593072
2020-07-10,0.07895543,0.07692614
2020-07-11,0.04065481,0.03998532
2020-07-12,0.05645792,0.0557439
2020-07-13,0.007874934,0.0069042537
2020-07-14,0.008000938,0.008475646
2020-07-15,0.0087729655,0.008301478
2020-07-16,0.053769823,0.05317628
2020-07-17,0.0,-0.00016567491
2020-07-18,0.11906216,0.118398964
2020-07-19,0.012822168,0.01309547
2020-07-20,0.0,-0.00067572354
2020-07-21,0.06061393,0.06089502
2020-07-22,0.14518054,0.14446738
2020-07-23,0.035719246,0.0349192
2020-07-24,0.0,-0.0007824779
2020-07-25,0.021742178,0.021619905
2020-07-26,0.0,-8.017008e-06
2020-07-27,0.0,-0.00042475242
2020-07-28,0.02941591,0.029070655
2020-07-29,0.0,-0.002566903
2020-07-30,0.0,-0.0005304637
2020-07-31,0.0,-0.0014469061
2020-08-01,0.035719343,0.036066286
2020-08-02,0.0,-1.2815292e-05
2020-08-03,0.11112692,0.11035361
2020-08-04,0.050007183,0.049885582
2020-08-05,0.0,-8.5266394e-05
2020-08-06,0.0,-0.0017227627
2020-08-07,0.0,-0.00077341776
2020-08-08,0.33338144,0.33305717
2020-08-09,0.0,-0.000343122
2020-08-10,0.0,-0.0003343301
2020-08-11,0.8572678,0.85718685
2020-08-12,0.16669165,0.16585015
2020-08-13,0.14287877,0.14226581
2020-08-14,0.062509544,0.061900485
2020-08-15,0.41182786,0.41105098
2020-08-16,0.304396,0.30381897
2020-08-17,0.13335508,0.1336035
2020-08-18,0.1875311,0.18694632
2020-08-19,0.027031623,0.026692554
2020-08-20,0.13160141,0.13178764
2020-08-21,0.25585854,0.2556239
2020-08-22,0.31487206,0.31493303
2020-08-23,0.01449556,0.014552897
2020-08-24,0.057153963,0.057612933
2020-08-25,0.09461325,0.09379575
2020-08-26,0.52010506,0.5223852
2020-08-27,0.15182048,0.1520811
2020-08-28,0.1260146,0.12622869
2020-08-29,0.014088056,0.013716892
2020-08-30,0.065710075,0.06579204
2020-08-31,0.02878445,0.02846342
2020-09-01,0.07196132,0.07160738
2020-09-02,0.041969344,0.04067088
2020-09-03,0.07434466,0.07314978
2020-09-04,0.051962655,0.050853703
2020-09-05,0.046370905,0.046398092
2020-09-06,0.0638484,0.06456752
2020-09-07,0.087274306,0.08788411
2020-09-08,0.10762795,0.107009836
2020-09-09,0.029771388,0.029459912
2020-09-10,0.059720725,0.06020192
2020-09-11,0.024007864,0.02358577
2020-09-12,0.026794547,0.026291376
2020-09-13,0.026557483,0.026306873
2020-09-14,0.009348915,0.009540985
2020-09-15,0.019237205,0.019037832
2020-09-16,0.010420167,0.010189439
2020-09-17,0.0,-0.00034547644
2020-09-18,0.0,0.00012773568
2020-09-19,0.0,-0.00021887326
2020-09-20,0.015389795,0.015725704
2020-09-21,0.0,-0.00010726102
2020-09-22,0.045469884,0.04483773
2020-09-23,0.0,-0.0006485134
2020-09-24,0.083361566,0.08307179
2020-09-25,0.0,-0.0005005713
2020-09-26,0.13337868,0.13320504
2020-09-27,0.0,0.0017769446
2020-09-28,0.0,0.00011655955
2020-09-29,0.30010247,0.29924083
2020-09-30,0.0,0.0002814894
2020-10-01,0.0,-0.0012342319
2020-10-02,0.0,-0.00094454666
2020-10-03,0.10003436,0.099589005
2020-10-04,0.0,-0.00025129894
2020-10-05,0.0,4.6939735e-05
2020-10-06,0.0,0.00022963215
2020-10-07,0.0,0.00079481635
2020-10-08,0.0,-1.1444354e-05
2020-10-09,0.0,-0.000741916
2020-10-10,0.0,0.00018993455
2020-10-11,0.25008607,0.25052616
2020-10-12,0.400138,0.40133324
2020-10-13,0.0,-0.00085266394
2020-10-14,0.0,-0.00017923527
2020-10-15,0.0,-0.0010315118
2020-10-16,0.2500866,0.2508004
2020-10-17,0.0,-0.00078170304
2020-10-18,0.50017357,0.50113785
2020-10-19,0.0,-0.00035942424
2020-10-20,0.16672474,0.16775084
2020-10-21,0.0,0.00013968669
2020-10-22,0.85744214,0.8587978
2020-10-23,0.0,0.0015569685
2020-10-24,0.0,0.00010049573
2020-10-25,0.0,-0.0007170901
2020-10-26,0.0,-0.00079812447
2020-10-27,0.0,-0.00027368098
2020-10-28,0.20007066,0.20020607
2020-10-29,0.0,-0.0019119522
2020-10-30,0.0,-0.0003659809
2020-10-31,0.27282405,0.27337146
2020-11-01,0.0,-0.00018203675
2020-11-02,0.16672614,0.16702916
2020-11-03,0.0,8.821689e-06
2020-11-04,0.0,2.8640688e-05
2020-11-05,0.0,-0.00033650573
2020-11-06,0.0,-0.00070874527
2020-11-07,0.28581664,0.2854238
2020-11-08,0.11115107,0.11117454
2020-11-09,0.5001801,0.5007602
2020-11-10,0.2667637,0.26598886
2020-11-11,0.31590524,0.31566817
2020-11-12,0.2174719,0.21682623
2020-11-13,0.2858212,0.28680205
2020-11-14,0.25009495,0.24950035
2020-11-15,0.09527486,0.09532804
2020-11-16,0.39145648,0.39144245
2020-11-17,0.14521953,0.14510249
2020-11-18,0.11272197,0.11263107
2020-11-19,0.050653826,0.05013685
2020-11-20,0.08437242,0.083939925
2020-11-21,0.088926286,0.087677166
2020-11-22,0.0104211075,0.010466577
2020-11-23,0.031263344,0.030713726
2020-11-24,0.14900008,0.149436
2020-11-25,0.13467446,0.13464661
2020-11-26,0.11612349,0.11592284
2020-11-27,0.13339435,0.13266885
2020-11-28,0.06252929,0.061995912
2020-11-29,0.10241075,0.10253253
2020-11-30,0.16184288,0.16131404
2020-12-01,0.07146418,0.07177267
2020-12-02,0.021287352,0.02106688
2020-12-03,0.0073566735,0.00661281
2020-12-04,0.04513571,0.044453386
2020-12-05,0.037898198,0.03764018
2020-12-06,0.038779683,0.03814472
2020-12-07,0.082749724,0.082495525
2020-12-08,0.06386343,0.06380758
2020-12-09,0.03678431,0.03571181
2020-12-10,0.023634728,0.023028245
2020-12-11,0.07696453,0.07642915
2020-12-12,0.13643797,0.1367856
2020-12-13,0.18813863,0.1880906
2020-12-14,0.03970519,0.040087663
2020-12-15,0.018359162,0.018513568
2020-12-16,0.0990669,0.098527305
2020-12-17,0.037058614,0.037254084
2020-12-18,0.081128545,0.082137674
2020-12-19,0.12287968,0.12210452
2020-12-20,0.105754614,0.1047215
2020-12-21,0.19859442,0.19843012
2020-12-22,0.2467303,0.24704969
2020-12-23,0.08676186,0.086518094
2020-12-24,0.19685192,0.19643927
2020-12-25,0.12971893,0.1300635
2020-12-26,0.072391674,0.07194651
2020-12-27,0.05066938,0.050414376
2020-12-28,0.066127434,0.068102635
2020-12-29,0.038002748,0.03773886
2020-12-30,0.03281132,0.03406069
2020-12-31,0.070300676,0.06882888
2021-01-01,0.05101927,0.050320912
2021-01-02,0.10046356,0.09583657
2021-01-03,0.2732784,0.27418742
2021-01-04,0.06933538,0.067480646
2021-01-05,0.09126357,0.091148525
2021-01-06,0.08676342,0.08505867
2021-01-07,0.06255609,0.06258261
2021-01-08,0.018708637,0.018374179
2021-01-09,0.07029846,0.06753886
2021-01-10,0.07928165,0.07983086
2021-01-11,0.022243278,0.021482423
2021-01-12,0.013041725,0.014141496
2021-01-13,0.10274705,0.10235899
2021-01-14,0.01847957,0.017753322
2021-01-15,0.019127022,0.0194875
2021-01-16,0.048908066,0.05381034
2021-01-17,0.03719916,0.0371988
2021-01-18,0.034369204,0.03531972
2021-01-19,0.050509617,0.050444476
2021-01-20,0.030181399,0.030082706
2021-01-21,0.011310967,0.013469259
2021-01-22,0.044349074,0.041396044
2021-01-23,0.10702802,0.10405511
2021-01-24,0.10333302,0.09588977
2021-01-25,0.08171835,0.08237184
2021-01-26,0.7376217,0.73828405
2021-01-27,0.16942301,0.16925013
2021-01-28,0.19803295,0.19769582
2021-01-29,0.10292753,0.10208778
2021-01-30,0.04891052,0.05066618
2021-01-31,0.09154184,0.0907213
2021-02-01,0.064771615,0.06432907
2021-02-02,0.015523689,0.014626749
2021-02-03,0.031453885,0.030345866
2021-02-04,0.036129035,0.03893536
2021-02-05,0.030039005,0.031468783
2021-02-06,0.024723668,0.024953937
2021-02-07,0.017611077,0.016495874
2021-02-08,0.020592706,0.023187453
2021-02-09,0.03641185,0.036021132
2021-02-10,0.04535667,0.045257144
2021-02-11,0.023469018,0.021738043
2021-02-12,0.014442531,0.013208245
2021-02-13,0.011251135,0.010320036
2021-02-14,0.018429799,0.018627027
2021-02-15,0.014945589,0.01351599
2021-02-16,0.026822032,0.02964493
2021-02-17,0.14698832,0.14789666
2021-02-18,0.035446692,0.034906622
2021-02-19,0.048610285,0.047125645
2021-02-20,0.06258596,0.061578643
2021-02-21,0.0544228,0.054223824
2021-02-22,0.07788534,0.07537225
2021-02-23,0.39380422,0.05644126
2021-02-24,0.13655621,0.044009145
2021-02-25,0.09835401,0.07611881
2021-02-26,0.102710806,0.021248976
2021-02-27,0.111270964,0.074861035
2021-02-28,0.05805498,0.06119573
2021-03-01,0.028012699,0.1622323
2021-03-02,0.020719795,0.25562558
2021-03-03,0.04143968,0.08514653
2021-03-04,0.04450947,0.09718736
2021-03-05,0.02192994,0.25006187
2021-03-06,0.029673165,0.015137661
2021-03-07,0.11294798,-0.000767487
2021-03-08,0.23111135,0.035185486
