,Actual_data,Predicted_data
2020-06-30,0.050006878,0.05004402
2020-07-01,0.07387387,0.073964246
2020-07-02,0.073180966,0.07329481
2020-07-03,0.044310052,0.0443779
2020-07-04,0.10597531,0.10599272
2020-07-05,0.020002872,0.020018896
2020-07-06,0.020273186,0.020357901
2020-07-07,0.06897546,0.06899724
2020-07-08,0.055563625,0.055571746
2020-07-09,0.05595223,0.056040548
2020-07-10,0.059710264,0.05987686
2020-07-11,0.056008276,0.056140404
2020-07-12,0.110185854,0.11023113
2020-07-13,0.056460075,0.05640762
2020-07-14,0.048394386,0.04893973
2020-07-15,0.057859987,0.057961922
2020-07-16,0.07827276,0.078234084
2020-07-17,0.05357962,0.053641144
2020-07-18,0.090103924,0.08996239
2020-07-19,0.028575847,0.02891453
2020-07-20,0.200031,0.20014141
2020-07-21,0.13010174,0.13022643
2020-07-22,0.09303803,0.09308227
2020-07-23,0.15792002,0.15809621
2020-07-24,0.075354695,0.075388394
2020-07-25,0.046987545,0.04701793
2020-07-26,0.060412597,0.060447227
2020-07-27,0.041386142,0.041593026
2020-07-28,0.06251036,0.062372644
2020-07-29,0.020411564,0.020474743
2020-07-30,0.055953395,0.05600515
2020-07-31,0.0140868705,0.014179089
2020-08-01,0.036237974,0.03630003
2020-08-02,0.037600324,0.037729345
2020-08-03,0.066677935,0.066583626
2020-08-04,0.048788782,0.0488742
2020-08-05,0.07965961,0.07967746
2020-08-06,0.08183222,0.08192495
2020-08-07,0.17349932,0.17354305
2020-08-08,0.12502179,0.12511429
2020-08-09,0.11820258,0.118329465
2020-08-10,0.0526409,0.05254945
2020-08-11,0.13160233,0.13177235
2020-08-12,0.21670552,0.21677963
2020-08-13,0.22381695,0.22397594
2020-08-14,0.4431959,0.44348127
2020-08-15,0.6109966,0.61119914
2020-08-16,0.23689148,0.23710969
2020-08-17,0.2839328,0.28406784
2020-08-18,0.25686222,0.25703913
2020-08-19,0.18422022,0.18424389
2020-08-20,0.14672057,0.14674512
2020-08-21,0.13220847,0.13232516
2020-08-22,0.1287136,0.12879093
2020-08-23,0.07985959,0.079884395
2020-08-24,0.10395867,0.104007915
2020-08-25,0.077756554,0.07781087
2020-08-26,0.10108414,0.101122774
2020-08-27,0.08840913,0.08842405
2020-08-28,0.070807666,0.07073271
2020-08-29,0.063866,0.06376102
2020-08-30,0.05262295,0.052573282
2020-08-31,0.052505948,0.05249619
2020-09-01,0.057639465,0.057682965
2020-09-02,0.040534005,0.040586904
2020-09-03,0.04155741,0.04157564
2020-09-04,0.032313157,0.032255176
2020-09-05,0.041990742,0.04199155
2020-09-06,0.03372312,0.033664484
2020-09-07,0.048749574,0.048780277
2020-09-08,0.037507858,0.037503626
2020-09-09,0.03857233,0.03854174
2020-09-10,0.055337943,0.055385232
2020-09-11,0.047371283,0.04743215
2020-09-12,0.03161579,0.03168408
2020-09-13,0.045781348,0.045780007
2020-09-14,0.037978433,0.037998784
2020-09-15,0.065333396,0.06530331
2020-09-16,0.087595336,0.08765133
2020-09-17,0.063393176,0.06343147
2020-09-18,0.056847416,0.056790613
2020-09-19,0.040425003,0.040426657
2020-09-20,0.03497264,0.03502512
2020-09-21,0.033192743,0.03321839
2020-09-22,0.06817897,0.068120874
2020-09-23,0.067509845,0.06750729
2020-09-24,0.1002293,0.100288674
2020-09-25,0.04620614,0.046244178
2020-09-26,0.063114055,0.063053824
2020-09-27,0.035074525,0.03508146
2020-09-28,0.021165457,0.021158116
2020-09-29,0.10226063,0.10236405
2020-09-30,0.060153633,0.06018024
2020-10-01,0.023669127,0.023709983
2020-10-02,0.060498957,0.060576737
2020-10-03,0.03848317,0.038531914
2020-10-04,0.04705623,0.047067177
2020-10-05,0.03752123,0.037564956
2020-10-06,0.083803885,0.08388283
2020-10-07,0.051709104,0.05182497
2020-10-08,0.05981688,0.059801564
2020-10-09,0.07511829,0.07530943
2020-10-10,0.06931716,0.06931697
2020-10-11,0.09662928,0.09674872
2020-10-12,0.060095128,0.060195338
2020-10-13,0.067290865,0.06749462
2020-10-14,0.07966468,0.07973437
2020-10-15,0.058286857,0.0583983
2020-10-16,0.056995798,0.0571274
2020-10-17,0.06497369,0.06531443
2020-10-18,0.044898577,0.04523098
2020-10-19,0.03585206,0.035713896
2020-10-20,0.056139246,0.056320213
