,Actual_data,Predicted_data
2020-06-30,0.0,-0.0035273095
2020-07-01,0.0,-0.00025870954
2020-07-02,0.0,-0.0036786853
2020-07-03,0.0,0.0032635808
2020-07-04,0.0,0.00014564148
2020-07-05,0.0,-0.001948694
2020-07-06,0.0,-0.0017410802
2020-07-07,0.0,0.0013706664
2020-07-08,0.0,0.0010995937
2020-07-09,0.0,-0.0021553128
2020-07-10,0.0,-0.0046980083
2020-07-11,0.0,0.000922139
2020-07-12,0.0,-0.0019796465
2020-07-13,0.0,-0.005770629
2020-07-14,0.0,-0.0011686754
2020-07-15,0.0,-0.0036758238
2020-07-16,0.0,-0.0037939555
2020-07-17,0.0,-0.0030863273
2020-07-18,0.0,-0.0028080558
2020-07-19,0.0,0.00018013758
2020-07-20,0.0,-0.0077505773
2020-07-21,0.0,-0.0041219816
2020-07-22,0.0,0.00033210596
2020-07-23,0.0,-0.009341846
2020-07-24,0.0,-0.00356403
2020-07-25,0.0,-0.0068271304
2020-07-26,0.0,-0.0036837156
2020-07-27,0.0,-0.002540616
2020-07-28,0.0,-0.004711847
2020-07-29,0.0,-0.0027579325
2020-07-30,0.0,-0.005232217
2020-07-31,0.0,-0.0013896248
2020-08-01,0.0,-0.00036711624
2020-08-02,0.0,-0.0019425235
2020-08-03,0.0,-0.0048533524
2020-08-04,0.0,-0.0029743658
2020-08-05,0.0,-0.0038251206
2020-08-06,0.0,-0.0010536399
2020-08-07,0.0,-0.0030929672
2020-08-08,0.0,2.7017843e-05
2020-08-09,0.0,-0.0049269833
2020-08-10,0.0,0.0012196035
2020-08-11,0.0,-0.0023378201
2020-08-12,0.0,-0.0031102041
2020-08-13,0.0,-0.00046651327
2020-08-14,0.0,-0.002879742
2020-08-15,0.0,-0.0017256431
2020-08-16,0.0,-0.0011487557
2020-08-17,0.0,-0.006650883
2020-08-18,0.0,-0.0016024588
2020-08-19,0.50007015,0.49512172
2020-08-20,1.0001432,0.99180424
2020-08-21,0.16669187,0.16287492
2020-08-22,0.0,-0.0021874728
2020-08-23,0.4286374,0.4244669
2020-08-24,0.3000486,0.29676783
2020-08-25,0.0,-0.0017763141
2020-08-26,0.0,-0.0007336065
2020-08-27,0.15387233,0.15081778
2020-08-28,0.0,-0.0007631059
2020-08-29,0.06667837,0.064228214
2020-08-30,0.06251114,0.059730735
2020-08-31,0.0,-0.0012425412
2020-09-01,0.0,-0.0023191078
2020-09-02,0.0,-0.0040548225
2020-09-03,0.0,-0.00095333747
2020-09-04,0.0,-0.0040486073
2020-09-05,0.0,-0.004895528
2020-09-06,0.0,-0.0026774714
2020-09-07,0.14288299,0.13615887
2020-09-08,0.40007344,0.39392403
2020-09-09,0.0,0.0029090291
2020-09-10,0.0,-0.0018281142
2020-09-11,0.0,0.002833766
2020-09-12,0.0,-0.0019625104
2020-09-13,0.0,-0.0016176052
2020-09-14,0.0,-0.0024816731
2020-09-15,0.0,-0.00028436363
2020-09-16,0.0,-0.0072256126
2020-09-17,0.0,0.000977326
2020-09-18,0.0,-0.0050213505
2020-09-19,0.0,-0.0007785878
2020-09-20,0.0,0.00041171748
2020-09-21,0.33339632,0.32593992
2020-09-22,0.0,-0.0018690154
2020-09-23,3.000575,2.9908726
2020-09-24,0.25004995,0.24570112
2020-09-25,0.0,-0.003070622
2020-09-26,0.2000405,0.1959485
2020-09-27,0.0,-0.0021875175
2020-09-28,0.0,-0.0018138507
2020-09-29,0.0,-0.0016297001
2020-09-30,0.0,-0.0012386289
2020-10-01,0.0,-0.001203205
2020-10-02,0.0,-0.0012251814
2020-10-03,0.0,-0.0012588727
2020-10-04,0.16670087,0.16382639
2020-10-05,0.0,-0.002002059
2020-10-06,0.16670132,0.16395201
2020-10-07,0.0,-0.0024414873
2020-10-08,0.0,-0.0034362513
2020-10-09,0.0,-0.0029984438
2020-10-10,0.0,-0.00406324
2020-10-11,0.0,-0.0043848827
2020-10-12,0.0,-0.004927263
2020-10-13,0.0,-0.0031944658
2020-10-14,0.0,-0.0021874951
2020-10-15,0.0,-0.0023775925
2020-10-16,0.0,-0.002326072
2020-10-17,0.0,-0.0026836419
2020-10-18,0.0,-0.0029860807
2020-10-19,0.0,-0.0024163586
2020-10-20,0.0,-0.0025478932
2020-10-21,0.0,-0.003155476
2020-10-22,0.0,-0.0014425203
2020-10-23,0.0,-0.002047152
2020-10-24,0.0,-0.0030082136
2020-10-25,0.0,-0.003797868
2020-10-26,0.0,-0.0009212782
2020-10-27,0.0,-0.0048292857
2020-10-28,0.0,-0.0033717528
2020-10-29,0.0,-0.0027911768
2020-10-30,3.00064,2.9895022
2020-10-31,0.0,-0.0023697342
2020-11-01,0.0,-0.0030411338
2020-11-02,0.0,-0.0011711569
2020-11-03,0.0,-0.00087873376
2020-11-04,0.0,-0.001502078
2020-11-05,0.0,-0.0014962206
2020-11-06,0.0,-0.0010811944
2020-11-07,0.0,-0.0009721728
2020-11-08,0.0,-0.0016510953
2020-11-09,0.0,-0.0018635939
2020-11-10,0.0,-0.0034801038
2020-11-11,0.0,-0.0024969426
2020-11-12,0.33340713,0.32923037
2020-11-13,0.25005603,0.24646978
2020-11-14,0.0,-0.006663246
2020-11-15,0.5001134,0.49421537
2020-11-16,0.33340982,0.32988185
2020-11-17,0.0,-0.0031818454
2020-11-18,0.0,-0.0029194583
2020-11-19,0.0,-0.0023693987
2020-11-20,0.0,-0.000800486
2020-11-21,0.0,-0.0016008826
2020-11-22,0.25005805,0.24727592
2020-11-23,0.40009397,0.39657974
2020-11-24,0.0,-0.0023870715
2020-11-25,0.5715659,0.56370026
2020-11-26,0.27279577,0.26894256
2020-11-27,0.0,-0.0018277564
2020-11-28,0.2500648,0.24699664
2020-11-29,0.066684484,0.06449084
2020-11-30,0.13336933,0.13099118
2020-12-01,0.4376205,0.43285722
2020-12-02,0.17396423,0.1705446
2020-12-03,0.0,-0.0031697617
2020-12-04,0.14819336,0.14493635
2020-12-05,0.09680477,0.09526407
2020-12-06,0.0,-0.0020612031
2020-12-07,0.030312851,0.029080957
2020-12-08,0.03126021,0.029233763
2020-12-09,0.030313013,0.02908403
2020-12-10,0.0,-0.0014535085
2020-12-11,0.03704934,0.03507903
2020-12-12,0.0,-0.0008642691
