,Actual_data,Predicted_data
2020-06-30,0.0,-0.00050114613
2020-07-01,0.0,0.00017813563
2020-07-02,0.0,-0.00030222256
2020-07-03,0.0,-0.00028839373
2020-07-04,0.0,-0.00037072596
2020-07-05,0.0,0.00017522978
2020-07-06,0.0,6.60893e-05
2020-07-07,0.0,9.1973656e-05
2020-07-08,0.0,-0.00021434689
2020-07-09,0.0,1.9625615e-05
2020-07-10,0.0,-1.958091e-05
2020-07-11,0.0,-0.00051577965
2020-07-12,0.0,-5.6373352e-05
2020-07-13,0.0,0.00015135716
2020-07-14,0.0,-0.00040304786
2020-07-15,0.0,0.000111822796
2020-07-16,0.0,-0.0008360483
2020-07-17,1.0000498,0.9994092
2020-07-18,0.0,-0.00039127548
2020-07-19,0.0,-0.00052583835
2020-07-20,0.0,-0.0010476831
2020-07-21,0.0,-0.00033928323
2020-07-22,0.0,-0.0004577522
2020-07-23,0.0,-0.0011664203
2020-07-24,0.5000254,0.49953374
2020-07-25,0.0,-0.00065230957
2020-07-26,0.0,-0.0019155465
2020-07-27,0.0,0.0004805519
2020-07-28,0.33335054,0.33301237
2020-07-29,0.0,-0.00041169088
2020-07-30,0.0,0.0010207555
2020-07-31,0.0,-0.0017084419
2020-08-01,0.0,0.000310046
2020-08-02,0.0,0.0032112396
2020-08-03,0.0,2.5645926e-05
2020-08-04,0.0,-0.0015803315
2020-08-05,0.0,0.0002738794
2020-08-06,0.0,-1.38288315e-05
2020-08-07,0.0,0.0005024277
2020-08-08,1.0000526,1.0000771
2020-08-09,0.0,-0.00079649896
2020-08-10,0.0,-0.00010829108
2020-08-11,0.0,-0.00056042534
2020-08-12,1.0000534,0.9994185
2020-08-13,0.5000272,0.49906915
2020-08-14,0.0,-0.00014031495
2020-08-15,1.0000552,0.99877954
2020-08-16,0.0,-0.0005948931
2020-08-17,0.5000289,0.499134
2020-08-18,0.0,-8.8590954e-05
2020-08-19,0.0,-0.00013936125
2020-08-20,0.11111784,0.111139074
2020-08-21,0.30001843,0.29978037
2020-08-22,0.23078403,0.23051429
2020-08-23,0.066671126,0.06642639
2020-08-24,0.0,-0.0004907745
2020-08-25,0.12500846,0.12438179
2020-08-26,0.11111883,0.111173615
2020-08-27,0.052635327,0.052704748
2020-08-28,0.0,-0.0005226047
2020-08-29,0.15790613,0.15847659
2020-08-30,0.26317757,0.26290926
2020-08-31,0.25001982,0.24971586
2020-09-01,0.18520086,0.18442345
2020-09-02,0.25002226,0.2499673
2020-09-03,0.07500721,0.07493413
2020-09-04,0.023811877,0.023182934
2020-09-05,0.025002494,0.025046876
2020-09-06,0.078955315,0.07819139
2020-09-07,0.075007744,0.07458993
2020-09-08,0.09303311,0.09275926
2020-09-09,0.08889863,0.08870333
2020-09-10,0.10639501,0.10640043
2020-09-11,0.019610148,0.019364165
2020-09-12,0.13463134,0.13438646
2020-09-13,0.01785937,0.017485023
2020-09-14,0.0,-0.00014302708
2020-09-15,0.0,-0.000422137
2020-09-16,0.0,-0.00044699316
2020-09-17,0.0,-9.686143e-05
2020-09-18,0.0,-0.00060481764
2020-09-19,0.03448709,0.03457591
2020-09-20,0.0,0.00016871771
2020-09-21,0.038466405,0.03832072
2020-09-22,0.083343945,0.084115386
2020-09-23,0.0,0.0003737361
2020-09-24,0.0,6.4599124e-05
2020-09-25,0.0,0.00020473526
2020-09-26,0.0,-0.00015143167
2020-09-27,0.20002583,0.19993767
2020-09-28,0.0,-8.7652144e-05
2020-09-29,0.200026,0.199978
2020-09-30,0.0,0.00013465229
2020-10-01,0.0,0.0013802008
2020-10-02,0.0,0.001074387
2020-10-03,0.16668849,0.16685249
2020-10-04,0.66675454,0.66666496
2020-10-05,0.10001354,0.09884705
2020-10-06,0.10001363,0.09945219
2020-10-07,0.0,-0.00042808283
2020-10-08,0.0,-0.0004252366
2020-10-09,0.0,0.00031627493
2020-10-10,0.111126356,0.11175343
2020-10-11,0.0,-8.21534e-05
2020-10-12,0.0,0.0020494538
2020-10-13,0.11112645,0.10878458
2020-10-14,0.0,0.0019112995
2020-10-15,0.0,0.00012267128
2020-10-16,0.0,-0.0004865126
2020-10-17,0.0,0.00012410185
2020-10-18,0.0,-0.0009100951
2020-10-19,0.0,-0.0008299385
2020-10-20,0.33337966,0.32743153
2020-10-21,0.0,-7.3763704e-06
2020-10-22,0.0,0.0024347387
2020-10-23,0.0,-0.0007021112
2020-10-24,0.33337995,0.3333963
2020-10-25,0.33338025,0.33410752
2020-10-26,0.0,-0.0016645711
2020-10-27,0.0,0.0050282707
2020-10-28,0.66676104,0.66666794
2020-10-29,0.40005738,0.3995638
2020-10-30,0.0,-0.00038863785
2020-10-31,0.0,0.00042382092
2020-11-01,0.14287788,0.14231275
2020-11-02,0.0,0.00084704574
2020-11-03,0.12501825,0.12577856
2020-11-04,0.0,-0.00021075556
2020-11-05,0.0,0.00038775866
2020-11-06,0.0,-5.0353043e-05
2020-11-07,0.12501837,0.12539373
2020-11-08,0.0,4.6344467e-06
2020-11-09,0.0,-0.0006616679
2020-11-10,0.0,0.0015212311
2020-11-11,0.14287826,0.14330287
2020-11-12,0.0,-0.00065888127
2020-11-13,0.0,0.00050812017
2020-11-14,0.0,-0.0007551019
2020-11-15,0.0,0.00047681158
2020-11-16,0.0,-0.0008522614
2020-11-17,1.0001488,1.0002124
2020-11-18,0.0,-0.00039772794
2020-11-19,0.0,-8.2853774e-05
2020-11-20,0.20003028,0.19999105
2020-11-21,0.16669205,0.1658242
2020-11-22,0.1666922,0.16660514
2020-11-23,0.28575832,0.28564116
2020-11-24,0.3333853,0.3333259
2020-11-25,0.5834258,0.58306646
2020-11-26,0.38895297,0.3886425
2020-11-27,0.12002052,0.12026223
2020-11-28,0.0,0.00015646846
2020-11-29,0.10716146,0.107160226
2020-11-30,0.09679127,0.096424155
2020-12-01,0.29417032,0.29417333
2020-12-02,0.048789658,0.049159843
2020-12-03,0.116301134,0.11568335
2020-12-04,0.020837378,0.020396782
2020-12-05,0.06251219,0.0624357
2020-12-06,0.7601503,0.75982314
2020-12-07,0.7013118,0.70112425
2020-12-08,0.095917836,0.0959505
2020-12-09,0.10194124,0.1015286
2020-12-10,0.28322107,0.28273225
2020-12-11,0.11169008,0.11133694
2020-12-12,0.035411507,0.035806198
2020-12-13,0.02137569,0.02152793
2020-12-14,0.2077074,0.20769314
2020-12-15,0.021285752,0.021056795
2020-12-16,0.035986897,0.035951655
2020-12-17,0.1084398,0.108977154
2020-12-18,0.028859777,0.02870481
2020-12-19,0.018759007,0.018778436
2020-12-20,0.052657142,0.05230346
2020-12-21,0.0198775,0.020185981
2020-12-22,0.072911374,0.07275622
2020-12-23,0.035875298,0.03587953
2020-12-24,0.049206402,0.04854759
2020-12-25,0.038298216,0.038144164
2020-12-26,0.005157464,0.004991851
2020-12-27,0.010701058,0.010250607
2020-12-28,0.021751102,0.021910531
2020-12-29,0.11517172,0.11493017
2020-12-30,0.23503289,0.23511082
2020-12-31,0.24727465,0.2469117
2021-01-01,0.091456175,0.09106508
2021-01-02,0.036106046,0.03628289
2021-01-03,0.025657937,0.025002304
2021-01-04,0.021872437,0.022109874
2021-01-05,0.0110571,0.009802869
2021-01-06,0.054581963,0.054769475
2021-01-07,0.06064711,0.060715023
2021-01-08,0.049113434,0.049164657
2021-01-09,0.20873359,0.20883203
2021-01-10,0.071480274,0.07171142
2021-01-11,0.03367862,0.03360992
2021-01-12,0.05217141,0.05245529
2021-01-13,0.04858021,0.048491485
2021-01-14,0.033174407,0.03257694
2021-01-15,0.05559814,0.056887686
2021-01-16,0.1334365,0.13382342
2021-01-17,0.041128345,0.041097425
2021-01-18,0.05446504,0.054175984
2021-01-19,0.01988349,0.019801829
2021-01-20,0.019752728,0.018964365
2021-01-21,0.020564541,0.020271115
2021-01-22,0.014400148,0.014212135
2021-01-23,0.015049806,0.015042759
2021-01-24,0.019818095,0.020399077
2021-01-25,0.0,-0.0007997029
2021-01-26,0.073230416,0.07394932
2021-01-27,0.077986054,0.07809241
2021-01-28,0.027419899,0.027810793
2021-01-29,0.02900951,0.028359178
2021-01-30,0.09531713,0.09498308
2021-01-31,0.01962422,0.019086307
2021-02-01,0.021757307,0.020837486
2021-02-02,0.0,-0.0011299854
2021-02-03,0.055602055,0.055674236
2021-02-04,0.0,0.00054644747
2021-02-05,0.06255242,0.06364833
2021-02-06,0.031276267,0.02934171
2021-02-07,0.03228521,0.036256485
2021-02-08,0.10008424,0.09313365
2021-02-09,0.0,0.0036461027
2021-02-10,0.074136674,0.06960197
2021-02-11,0.0,0.004578014
2021-02-12,0.09531875,0.09501242
2021-02-13,0.14297839,0.14317356
2021-02-14,0.2224114,0.22185563
2021-02-15,0.3336183,0.33516923
2021-02-16,0.33362037,0.33018094
2021-02-17,0.16681153,0.17092228
2021-02-18,0.30026236,0.298445
