,Actual_data,Predicted_data
2020-06-30,0.095249094,0.09575584
2020-07-01,0.0,0.0008649288
2020-07-02,0.05000581,0.05248376
2020-07-03,0.09524919,0.100691594
2020-07-04,0.0,0.001855166
2020-07-05,0.33337238,0.34577993
2020-07-06,0.08696689,0.09638091
2020-07-07,0.04167166,0.043800592
2020-07-08,0.13638003,0.14110862
2020-07-09,0.04167172,0.04572657
2020-07-10,0.043483548,0.04495367
2020-07-11,0.0,0.005250806
2020-07-12,0.1304507,0.14107196
2020-07-13,0.0,0.004312995
2020-07-14,0.045460135,0.047972556
2020-07-15,0.14287475,0.1462199
2020-07-16,0.0,0.0012268997
2020-07-17,0.08696733,0.08701397
2020-07-18,0.043483697,0.045587257
2020-07-19,0.083343774,0.08448515
2020-07-20,0.0,0.0021878104
2020-07-21,0.27781278,0.2890259
2020-07-22,0.13638106,0.14581226
2020-07-23,0.0,0.00072106137
2020-07-24,0.0,0.0017118286
2020-07-25,0.0,0.00056066585
2020-07-26,0.0,0.0015326826
2020-07-27,0.0,0.0008560069
2020-07-28,0.1764933,0.18932137
2020-07-29,0.0,0.0021754846
2020-07-30,0.0,0.001133351
2020-07-31,0.062508106,0.063130066
2020-08-01,0.0,0.0025938156
2020-08-02,0.0,0.0013034858
2020-08-03,0.08334417,0.09472489
2020-08-04,0.07693311,0.08659926
2020-08-05,0.0,0.0052782996
2020-08-06,0.0,0.0030243003
2020-08-07,0.3333769,0.35123092
2020-08-08,0.12501644,0.13830487
2020-08-09,0.0,0.0073264576
2020-08-10,0.0,0.0030223778
2020-08-11,0.0,0.0064095943
2020-08-12,0.0,0.0023456002
2020-08-13,0.6667545,0.6811159
2020-08-14,0.6000799,0.6168398
2020-08-15,0.6000811,0.61594546
2020-08-16,0.29170698,0.30422646
2020-08-17,0.58072674,0.59817046
2020-08-18,0.16669111,0.17566007
2020-08-19,0.18184534,0.19981022
2020-08-20,0.27696538,0.29493898
2020-08-21,0.25305223,0.2696388
2020-08-22,0.31377757,0.32017022
2020-08-23,0.15040253,0.15829784
2020-08-24,0.09152006,0.09439342
2020-08-25,0.1617071,0.16471685
2020-08-26,0.30418378,0.30950284
2020-08-27,0.106742576,0.10917242
2020-08-28,0.07248019,0.07363255
2020-08-29,0.04483805,0.046783257
2020-08-30,0.047630373,0.04922067
2020-08-31,0.07310743,0.07355007
2020-09-01,0.03607459,0.035120156
2020-09-02,0.051961232,0.05113069
2020-09-03,0.015927695,0.014681469
2020-09-04,0.046523757,0.04633037
2020-09-05,0.040827166,0.04124972
2020-09-06,0.0036506192,0.0030273849
2020-09-07,0.007845255,0.0069965147
2020-09-08,0.00411634,0.0031217637
2020-09-09,0.02304772,0.02174833
2020-09-10,0.04909314,0.04764396
2020-09-11,0.05557086,0.056123484
2020-09-12,0.022733593,0.025194723
2020-09-13,0.08199009,0.08494228
2020-09-14,0.07629273,0.077541634
2020-09-15,0.08573876,0.08978944
2020-09-16,0.067980774,0.0676902
2020-09-17,0.06384836,0.064452976
2020-09-18,0.1158234,0.11483111
2020-09-19,0.032618374,0.032339986
2020-09-20,0.024103561,0.02498088
2020-09-21,0.02381663,0.026220208
2020-09-22,0.059541617,0.06489307
2020-09-23,0.11367054,0.12053252
2020-09-24,0.03226788,0.032893486
2020-09-25,0.011367105,0.015648268
2020-09-26,0.111145064,0.11361544
2020-09-27,0.0114978,0.02010211
2020-09-28,0.0,0.0016447966
2020-09-29,0.057988923,0.06704459
2020-09-30,0.046889544,0.05172334
2020-10-01,0.06668742,0.06818601
2020-10-02,0.1207274,0.1219673
2020-10-03,0.11114612,0.11251639
2020-10-04,0.08774711,0.08650217
2020-10-05,0.06668792,0.066736296
2020-10-06,0.09680517,0.09702082
2020-10-07,0.07939065,0.08061645
2020-10-08,0.0,3.912974e-05
2020-10-09,0.14550164,0.15086207
2020-10-10,0.0161343,0.01523746
2020-10-11,0.05557372,0.05471181
2020-10-12,0.0,-8.090346e-05
2020-10-13,0.14290398,0.1431594
2020-10-14,0.18339396,0.18251239
2020-10-15,0.058843203,0.061244875
2020-10-16,0.029421639,0.028710008
2020-10-17,0.015878355,0.016293982
2020-10-18,0.086235926,0.08701089
2020-10-19,0.05174164,0.054332227
2020-10-20,0.10529889,0.10873293
2020-10-21,0.0701994,0.07496735
2020-10-22,0.08931632,0.08682212
2020-10-23,0.03279818,0.03327641
2020-10-24,0.0,-0.000102132006
2020-10-25,0.055574734,0.06317897
2020-10-26,0.03704986,0.044868704
2020-10-27,0.17863338,0.19305986
2020-10-28,0.086237095,0.09267897
2020-10-29,0.057712615,0.06693307
2020-10-30,0.058844294,0.06452097
2020-10-31,0.076950304,0.08852515
2020-11-01,0.03637656,0.04395992
2020-11-02,0.019237617,0.021051971
2020-11-03,0.08002851,0.088359386
2020-11-04,0.10420393,0.11101258
2020-11-05,0.0,0.006420483
2020-11-06,0.022735441,0.02879091
2020-11-07,0.06979254,0.07548073
2020-11-08,0.043493945,0.04145885
2020-11-09,0.066690765,0.061828047
2020-11-10,0.02174701,0.025314258
2020-11-11,0.054073665,0.058942534
2020-11-12,0.117689826,0.1317628
2020-11-13,0.028581854,0.032840837
2020-11-14,0.060628194,0.06611872
2020-11-15,0.32269868,0.3201239
2020-11-16,0.33345643,0.35164088
2020-11-17,0.23538205,0.25227985
2020-11-18,0.20346665,0.22027583
2020-11-19,0.454719,0.47198918
2020-11-20,0.22925651,0.24750337
2020-11-21,0.23086143,0.24759857
2020-11-22,0.16318722,0.17395481
2020-11-23,0.10498197,0.111890666
2020-11-24,0.22736867,0.23237741
2020-11-25,0.08375741,0.090938486
2020-11-26,0.108272925,0.10966392
2020-11-27,0.09925102,0.10031716
2020-11-28,0.07612187,0.08184384
2020-11-29,0.11530793,0.11709866
2020-11-30,0.050180685,0.05078365
2020-12-01,0.071463056,0.070995085
2020-12-02,0.06609848,0.06611189
2020-12-03,0.049587365,0.04962073
2020-12-04,0.057604767,0.05620855
2020-12-05,0.1285059,0.12796956
2020-12-06,0.11702041,0.11763272
2020-12-07,0.069675356,0.07031337
2020-12-08,0.12540911,0.12572142
2020-12-09,0.09925147,0.0999783
2020-12-10,0.094441995,0.09538823
2020-12-11,0.104021445,0.10366258
2020-12-12,0.14735699,0.15360674
2020-12-13,0.07797059,0.07903306
2020-12-14,0.11860972,0.11935271
2020-12-15,0.13328782,0.13492319
2020-12-16,0.14635116,0.1474334
2020-12-17,0.10751356,0.10704419
2020-12-18,0.070495196,0.07045106
2020-12-19,0.09124402,0.09197161
2020-12-20,0.12581006,0.12372025
2020-12-21,0.06020806,0.06308376
2020-12-22,0.06385357,0.063086495
