,Actual_data,Predicted_data
2020-06-30,0.095249094,0.09636106
2020-07-01,0.0,-6.861595e-05
2020-07-02,0.05000581,0.05041354
2020-07-03,0.09524919,0.095885344
2020-07-04,0.0,0.00025648595
2020-07-05,0.33337238,0.3307608
2020-07-06,0.08696689,0.08758667
2020-07-07,0.04167166,0.041621044
2020-07-08,0.13638003,0.13602112
2020-07-09,0.04167172,0.04145239
2020-07-10,0.043483548,0.04413276
2020-07-11,0.0,0.00018124087
2020-07-12,0.1304507,0.12955384
2020-07-13,0.0,-0.000143778
2020-07-14,0.045460135,0.045552682
2020-07-15,0.14287475,0.14272234
2020-07-16,0.0,0.00044060074
2020-07-17,0.08696733,0.086328775
2020-07-18,0.043483697,0.0439407
2020-07-19,0.083343774,0.083162986
2020-07-20,0.0,0.0005180938
2020-07-21,0.27781278,0.2797129
2020-07-22,0.13638106,0.13537972
2020-07-23,0.0,0.0006614376
2020-07-24,0.0,0.0009925682
2020-07-25,0.0,0.00056119595
2020-07-26,0.0,0.00020724647
2020-07-27,0.0,0.00093663577
2020-07-28,0.1764933,0.17691866
2020-07-29,0.0,-2.0564348e-06
2020-07-30,0.0,0.0010566945
2020-07-31,0.062508106,0.06281122
2020-08-01,0.0,0.0003177064
2020-08-02,0.0,2.6209964e-05
2020-08-03,0.08334417,0.08386371
2020-08-04,0.07693311,0.076118335
2020-08-05,0.0,0.00055760035
2020-08-06,0.0,0.00085509365
2020-08-07,0.3333769,0.33154866
2020-08-08,0.12501644,0.12477534
2020-08-09,0.0,0.00055172486
2020-08-10,0.0,0.0001726128
2020-08-11,0.0,0.0004036232
2020-08-12,0.0,0.00024488178
2020-08-13,0.6667545,0.6644872
2020-08-14,0.6000799,0.59787667
2020-08-15,0.6000811,0.59754336
2020-08-16,0.29170698,0.2912789
2020-08-17,0.58072674,0.57829344
2020-08-18,0.16669111,0.16475889
2020-08-19,0.18184534,0.18418625
2020-08-20,0.27696538,0.27520382
2020-08-21,0.25305223,0.2507466
2020-08-22,0.31377757,0.3110032
2020-08-23,0.15040253,0.15101644
2020-08-24,0.09152006,0.08988466
2020-08-25,0.1617071,0.1595092
2020-08-26,0.30418378,0.30422407
2020-08-27,0.106742576,0.10631151
2020-08-28,0.07248019,0.07259823
2020-08-29,0.04483805,0.045401096
2020-08-30,0.047630373,0.048016306
2020-08-31,0.07310743,0.07329883
2020-09-01,0.03607459,0.036766484
2020-09-02,0.051961232,0.051420864
2020-09-03,0.015927695,0.015882421
2020-09-04,0.046523757,0.048076928
2020-09-05,0.040827166,0.04070983
2020-09-06,0.0036506192,0.004354105
2020-09-07,0.007845255,0.008066748
2020-09-08,0.00411634,0.0047671925
2020-09-09,0.02304772,0.022818241
2020-09-10,0.04909314,0.04822595
2020-09-11,0.05557086,0.056602754
2020-09-12,0.022733593,0.023071358
2020-09-13,0.08199009,0.083929926
2020-09-14,0.07629273,0.07702765
2020-09-15,0.08573876,0.085360914
2020-09-16,0.067980774,0.06799419
2020-09-17,0.06384836,0.06464501
2020-09-18,0.1158234,0.11480139
2020-09-19,0.032618374,0.033126406
2020-09-20,0.024103561,0.02423214
2020-09-21,0.02381663,0.024318203
2020-09-22,0.059541617,0.0585488
2020-09-23,0.11367054,0.11211059
