,Actual_data,Predicted_data
2020-06-30,0.25000328,0.2575542
2020-07-01,0.0,0.0125402585
2020-07-02,0.0,0.0055811624
2020-07-03,0.0,0.0018855442
2020-07-04,0.0,0.014975806
2020-07-05,0.40000546,0.4561337
2020-07-06,0.0,0.00093655585
2020-07-07,0.14285925,0.19115224
2020-07-08,0.1250019,0.11703203
2020-07-09,0.33333862,0.31208947
2020-07-10,0.0,0.030245496
2020-07-11,0.0,-0.008980107
2020-07-12,0.0,-0.0043221526
2020-07-13,0.0,0.02145223
2020-07-14,0.0,0.02489641
2020-07-15,0.0,-0.011927498
2020-07-16,0.0,-0.0017195
2020-07-17,0.14285964,0.11800975
2020-07-18,0.0,0.0096189855
2020-07-19,0.2500045,0.22275694
2020-07-20,0.0,-0.008186654
2020-07-21,0.0,0.011671923
2020-07-22,0.0,0.025737653
2020-07-23,0.0,-0.009526281
2020-07-24,0.3333397,0.3806668
2020-07-25,0.0,0.020940328
2020-07-26,0.0,-0.0022305623
2020-07-27,0.50000983,0.48332486
2020-07-28,0.0,0.013921747
2020-07-29,0.0,-0.0052597015
2020-07-30,0.0,0.012264595
2020-07-31,0.0,0.004986471
2020-08-01,0.0,-0.006134164
2020-08-02,0.0,-0.0008161303
2020-08-03,0.33334026,0.3705837
2020-08-04,0.0,0.020211034
2020-08-05,0.50001067,0.5639161
2020-08-06,0.0,0.007235756
2020-08-07,0.0,-0.010890851
2020-08-08,0.0,0.0033024165
2020-08-09,0.20000447,0.24266413
2020-08-10,0.0,0.029180389
2020-08-11,0.0,0.0022076068
2020-08-12,0.0,0.03237177
2020-08-13,0.0,-0.0012022645
2020-08-14,0.0,-0.0075354204
2020-08-15,0.0,0.016445018
2020-08-16,0.0,0.002935421
2020-08-17,0.0,0.004557108
2020-08-18,0.66668195,0.72927797
2020-08-19,0.6000144,0.6989136
2020-08-20,1.0000256,1.0731283
2020-08-21,0.5833502,0.6751369
2020-08-22,0.73686624,0.7889836
2020-08-23,0.21212977,0.24229372
2020-08-24,0.025642158,0.024635682
2020-08-25,0.32501453,0.3873716
2020-08-26,0.24529573,0.25830314
2020-08-27,0.18182889,0.21059516
2020-08-28,0.11539217,0.14346437
2020-08-29,0.09196049,0.091929436
2020-08-30,0.052635513,0.04102191
2020-08-31,0.040003095,0.04047238
2020-09-01,0.02884845,0.030027859
2020-09-02,0.0571475,0.04983645
2020-09-03,0.009260043,0.019167798
2020-09-04,0.0,0.0017543795
2020-09-05,0.03125266,0.040182747
2020-09-06,0.0,0.009479023
