,Actual_data,Predicted_data
2020-06-30,0.0,-0.00076833594
2020-07-01,0.0,-0.0015981406
2020-07-02,0.20000301,0.19714752
2020-07-03,0.0,-0.001565715
2020-07-04,0.20000313,0.19629444
2020-07-05,0.0,-0.0023359733
2020-07-06,0.20000324,0.19793384
2020-07-07,0.33333892,0.3297515
2020-07-08,0.14285971,0.14132804
2020-07-09,0.0,-0.00031764025
2020-07-10,0.25000462,0.2475977
2020-07-11,0.11111329,0.10906179
2020-07-12,0.0,-0.0014858281
2020-07-13,0.22222671,0.22218755
2020-07-14,0.0,-0.0011162561
2020-07-15,0.0,-0.0011233939
2020-07-16,0.0,-0.0007954418
2020-07-17,0.0,-0.0014038996
2020-07-18,0.0,-0.0014915502
2020-07-19,0.111113474,0.110182606
2020-07-20,0.0,-0.0007907329
2020-07-21,0.0,-0.0014073121
2020-07-22,0.0,-0.001206738
2020-07-23,0.0,-0.00076520664
2020-07-24,0.0,-0.0015191627
2020-07-25,0.0,-0.0015749986
2020-07-26,0.0,-0.0013166812
2020-07-27,0.0,-0.00076903636
2020-07-28,0.0,-0.0013488833
2020-07-29,0.0,-0.000635057
2020-07-30,0.0,-0.001795183
2020-07-31,0.0,-0.0011345849
2020-08-01,0.0,-0.0011496652
2020-08-02,0.0,-0.0016684012
2020-08-03,0.0,-0.0019154381
2020-08-04,0.0,-0.0018479641
2020-08-05,0.0,-0.0009995773
2020-08-06,0.0,-0.0009896231
2020-08-07,0.0,-0.0018341803
2020-08-08,0.0,-0.0005546187
2020-08-09,0.0,-0.0026141393
2020-08-10,0.0,-0.00032166365
2020-08-11,0.0,-0.0011628084
2020-08-12,2.0000448,1.9956912
2020-08-13,0.0,-0.0011189681
2020-08-14,0.33334115,0.32860973
2020-08-15,0.0,-0.0036726969
2020-08-16,0.25000602,0.24577792
2020-08-17,1.4000344,1.3936722
2020-08-18,0.08333571,0.08193371
2020-08-19,0.4615519,0.45786566
2020-08-20,0.26316646,0.25909492
2020-08-21,0.16667254,0.1625298
2020-08-22,0.0,-0.0014446999
2020-08-23,0.1428625,0.14091146
2020-08-24,0.12500498,0.123338334
2020-08-25,0.20000839,0.19832388
2020-08-26,0.04762123,0.04639749
2020-08-27,0.047621287,0.04591544
2020-08-28,0.0,-0.0013711313
2020-08-29,0.0,-0.0007779176
2020-08-30,0.023256933,0.021516433
2020-08-31,0.0,-0.0009103621
2020-09-01,0.0,-0.0019243343
2020-09-02,0.0,0.00035051297
2020-09-03,0.0,-0.0010079967
2020-09-04,0.08333739,0.081573494
2020-09-05,0.045456808,0.04392831
2020-09-06,0.04348045,0.043428574
2020-09-07,0.15000764,0.14920208
2020-09-08,0.052634347,0.051579647
2020-09-09,0.07692716,0.07530898
2020-09-10,0.0,-0.0010025875
2020-09-11,0.100005366,0.09989086
2020-09-12,0.18182805,0.18149687
2020-09-13,0.07692734,0.07758764
2020-09-14,0.07692738,0.0758972
2020-09-15,0.35716304,0.35746816
2020-09-16,0.0,-0.0014430458
2020-09-17,0.4210776,0.42049295
2020-09-18,0.037039403,0.03517523
2020-09-19,0.0,-0.00018521068
2020-09-20,0.0,-0.0010706575
2020-09-21,0.0,-0.0006742181
2020-09-22,0.04762211,0.046442878
2020-09-23,0.047622137,0.046711836
2020-09-24,0.1428665,0.14198907
2020-09-25,0.1250084,0.12389666
2020-09-26,0.07692837,0.07575211
2020-09-27,0.0,-0.00077513105
2020-09-28,0.0,-0.00067216175
2020-09-29,0.12500875,0.12368664
2020-09-30,0.0,-0.0011129032
2020-10-01,0.0,-7.595292e-05
2020-10-02,0.07143369,0.0701622
2020-10-03,0.0,-0.0005133714
2020-10-04,0.21430118,0.21314305
2020-10-05,0.5294509,0.52921844
2020-10-06,0.30771658,0.30681092
2020-10-07,0.0,-0.0010426724
2020-10-08,0.0,-0.001644976
2020-10-09,0.0,-0.0029913709
2020-10-10,0.0,-0.0014780494
2020-10-11,0.08334028,0.08187392
2020-10-12,0.03846479,0.036668688
2020-10-13,0.0,-0.0012382993
2020-10-14,0.04167021,0.03999038
2020-10-15,0.080006845,0.07797627
2020-10-16,0.0,-0.0008305497
2020-10-17,0.0,-0.0015115332
2020-10-18,0.038464874,0.035747256
2020-10-19,0.0,-0.0017914874
2020-10-20,0.0,0.00017664232
2020-10-21,0.28573924,0.28263807
2020-10-22,0.22224188,0.21964884
2020-10-23,0.0,0.0008100453
2020-10-24,0.0,-0.000668183
2020-10-25,0.0,-0.0002463366
2020-10-26,0.0,-0.0016724544
2020-10-27,0.3750336,0.3745819
2020-10-28,0.090917386,0.08841908
2020-10-29,0.18183486,0.17870814
2020-10-30,0.0,-0.0018860971
2020-10-31,0.0,-0.0010948129
2020-11-01,0.0,-0.0006520447
2020-11-02,0.0,-0.00115953
2020-11-03,0.0,-0.00054992473
2020-11-04,0.0,-0.00093740836
2020-11-05,0.12501162,0.12059076
2020-11-06,0.0,-0.0028968805
2020-11-07,0.0,-0.002322368
2020-11-08,0.571482,0.56943333
2020-11-09,0.0,-0.0028217768
2020-11-10,0.09091779,0.09030207
2020-11-11,0.0,-0.0021343858
2020-11-12,0.0,-0.0015357778
2020-11-13,0.6667308,0.66372555
2020-11-14,0.20001969,0.19751845
2020-11-15,0.083341636,0.079970345
2020-11-16,0.0,-0.0016646758
2020-11-17,0.0,-0.0016247844
2020-11-18,0.15386157,0.15030348
2020-11-19,0.8667545,0.86396104
2020-11-20,0.51857483,0.5170901
2020-11-21,0.292717,0.28995904
2020-11-22,0.16983223,0.16887763
2020-11-23,0.25865382,0.25575605
2020-11-24,0.10960401,0.10782704
2020-11-25,0.2000282,0.19695932
2020-11-26,0.25003752,0.2470297
2020-11-27,0.07501225,0.07416456
2020-11-28,0.13602291,0.13619901
2020-11-29,0.114306055,0.11095617
2020-11-30,0.058075372,0.056948833
2020-12-01,0.15856703,0.15616034
2020-12-02,0.047378205,0.046461504
2020-12-03,0.07108103,0.07072568
2020-12-04,0.085877426,0.08335237
2020-12-05,0.059715163,0.05906443
2020-12-06,0.10947853,0.10641515
2020-12-07,0.060762726,0.060671065
2020-12-08,0.05661822,0.055348877
2020-12-09,0.03704674,0.03581324
2020-12-10,0.03366281,0.03181317
2020-12-11,0.03142211,0.031714823
2020-12-12,0.047885448,0.047973424
2020-12-13,0.044456836,0.042708267
2020-12-14,0.087234005,0.08678336
2020-12-15,0.4214712,0.4204207
2020-12-16,0.08372837,0.08157221
2020-12-17,0.06753379,0.06613294
2020-12-18,0.06278368,0.05964821
2020-12-19,0.12240712,0.11973861
2020-12-20,0.051200446,0.050850816
2020-12-21,0.016332818,0.015157815
2020-12-22,0.08901752,0.087881014
2020-12-23,0.048999142,0.047804605
2020-12-24,0.056247722,0.055310532
2020-12-25,0.14459105,0.14317639
2020-12-26,0.027886676,0.026140977
2020-12-27,0.0034980383,0.0018385316
2020-12-28,0.028686438,0.02791099
2020-12-29,0.117699295,0.11667474
2020-12-30,0.05242595,0.052234925
2020-12-31,0.036052924,0.03463751
2021-01-01,0.051426187,0.051111203
2021-01-02,0.023820935,0.02236914
2021-01-03,0.069926165,0.068637475
2021-01-04,0.026894875,0.026038887
2021-01-05,0.117704965,0.116530955
2021-01-06,0.010643665,0.009103428
2021-01-07,0.044966545,0.0445738
2021-01-08,0.08143687,0.080535546
2021-01-09,0.040289313,0.037402976
2021-01-10,0.04764387,0.04496748
2021-01-11,0.07847257,0.07629346
2021-01-12,0.050982516,0.048247524
2021-01-13,0.02256849,0.01989725
2021-01-14,0.048413135,0.04830145
2021-01-15,0.1394197,0.13629253
2021-01-16,0.039084025,0.037093204
2021-01-17,0.023450479,0.021922214
2021-01-18,0.025437852,0.02438129
2021-01-19,0.017250985,0.01663728
2021-01-20,0.052112408,0.048187993
2021-01-21,0.0,-0.0041244505
2021-01-22,0.07696623,0.0748403
2021-01-23,0.047645953,0.044647083
2021-01-24,0.0,-0.0023445564
2021-01-25,0.013340897,0.014241105
2021-01-26,0.20324033,0.19910611
2021-01-27,0.014501088,0.015225543
2021-01-28,0.08960379,0.08534376
2021-01-29,0.044802044,0.0447654
2021-01-30,0.03775776,0.033171635
2021-01-31,0.06003491,0.055790927
2021-02-01,0.04002334,0.03803288
