,Actual_data,Predicted_data
2021-08-31,0.07652416,0.076694
2021-09-01,0.05968443,0.0596083
2021-09-02,0.039966386,0.040059898
2021-09-03,0.10217771,0.102405
2021-09-04,0.053886794,0.053938843
2021-09-05,0.055025067,0.05497279
2021-09-06,0.048529275,0.048461374
2021-09-07,0.0720037,0.07201937
2021-09-08,0.07409936,0.074300855
2021-09-09,0.07295843,0.07291179
2021-09-10,0.0793665,0.07923561
2021-09-11,0.045086823,0.045046426
2021-09-12,0.034528315,0.034520797
2021-09-13,0.05377482,0.053901657
2021-09-14,0.076006524,0.076087944
2021-09-15,0.09585639,0.095713325
2021-09-16,0.101425566,0.10131244
2021-09-17,0.118393525,0.118297674
2021-09-18,0.112633795,0.11256236
2021-09-19,0.06507018,0.064959995
2021-09-20,0.090010054,0.089932434
2021-09-21,0.073299706,0.07324713
2021-09-22,0.06885879,0.068650275
2021-09-23,0.09594024,0.09596892
2021-09-24,0.12441538,0.1243436
2021-09-25,0.097706616,0.0976077
2021-09-26,0.078600556,0.078585364
2021-09-27,0.04861798,0.04863451
2021-09-28,0.037054073,0.03716139
2021-09-29,0.06028839,0.060403224
2021-09-30,0.09871147,0.09884411
2021-10-01,0.061143365,0.061181754
2021-10-02,0.095280364,0.09511416
2021-10-03,0.069978625,0.069922574
2021-10-04,0.044636093,0.044685993
2021-10-05,0.05930317,0.059209663
2021-10-06,0.05569043,0.055564657
2021-10-07,0.06361634,0.06361238
2021-10-08,0.055035,0.055068653
2021-10-09,0.03750898,0.037285
2021-10-10,0.037693426,0.03754664
2021-10-11,0.06540475,0.065417334
2021-10-12,0.039526906,0.039355498
2021-10-13,0.051510744,0.051639277
2021-10-14,0.050343566,0.05019966
2021-10-15,0.04918883,0.049123712
2021-10-16,0.064459905,0.06428955
2021-10-17,0.02309232,0.023077235
2021-10-18,0.022042785,0.022056082
2021-10-19,0.08980859,0.08993578
2021-10-20,0.10449949,0.10457542
2021-10-21,0.060273822,0.060361546
2021-10-22,0.07049653,0.07046721
2021-10-23,0.047146764,0.04710779
2021-10-24,0.07386744,0.073963016
2021-10-25,0.09132821,0.09148512
2021-10-26,0.07017613,0.07032461
2021-10-27,0.08066446,0.08077509
2021-10-28,0.076998994,0.07698203
2021-10-29,0.09166673,0.091518246
2021-10-30,0.08252759,0.08248838
2021-10-31,0.046813924,0.046739284
2021-11-01,0.102593355,0.10266069
2021-11-02,0.095219165,0.0954521
2021-11-03,0.12722427,0.12740168
2021-11-04,0.06995241,0.06986951
2021-11-05,0.1318781,0.13174056
2021-11-06,0.12339809,0.123340026
2021-11-07,0.081253946,0.08115328
2021-11-08,0.055385992,0.05558483
2021-11-09,0.06130531,0.061098985
2021-11-10,0.07648762,0.07653282
2021-11-11,0.07769908,0.07759754
2021-11-12,0.078470424,0.07852061
2021-11-13,0.0773037,0.07718824
2021-11-14,0.08558125,0.08546059
2021-11-15,0.118370816,0.11839625
2021-11-16,0.11927768,0.11914848
2021-11-17,0.12982029,0.12967435
2021-11-18,0.14387132,0.14370887
2021-11-19,0.10724004,0.107129954
2021-11-20,0.13226146,0.1321815
2021-11-21,0.09168821,0.0916868
2021-11-22,0.105649635,0.10546983
2021-11-23,0.09709586,0.09679714
2021-11-24,0.122330315,0.1222053
2021-11-25,0.06893534,0.06897843
2021-11-26,0.11747096,0.117401615
2021-11-27,0.07383125,0.073951066
2021-11-28,0.06327073,0.06317085
2021-11-29,0.09272175,0.09251084
2021-11-30,0.11185667,0.11178694
2021-12-01,0.14555053,0.14546457
2021-12-02,0.09058812,0.09088227
2021-12-03,0.10405574,0.103917986
2021-12-04,0.10085554,0.10073382
2021-12-05,0.09405226,0.094014205
2021-12-06,0.08738212,0.08764965
2021-12-07,0.11084909,0.1106556
2021-12-08,0.10165008,0.10133394
2021-12-09,0.107118934,0.106928654
2021-12-10,0.11204794,0.112134725
2021-12-11,0.07718679,0.07725276
2021-12-12,0.06715013,0.06745859
2021-12-13,0.077304855,0.07704104
2021-12-14,0.09116532,0.09083853
2021-12-15,0.08179091,0.08165307
2021-12-16,0.07389886,0.07382452
2021-12-17,0.06811292,0.068014726
2021-12-18,0.053716328,0.053624474
2021-12-19,0.07043686,0.07038255
2021-12-20,0.06279059,0.062898815
2021-12-21,0.069476545,0.06920326
2021-12-22,0.064583056,0.06461233
2021-12-23,0.07068792,0.0702208
2021-12-24,0.080899015,0.0807667
2021-12-25,0.059640516,0.059662025
2021-12-26,0.067488484,0.06738614
2021-12-27,0.04421137,0.044295043
2021-12-28,0.05016732,0.05003623
2021-12-29,0.054763902,0.05470057
2021-12-30,0.0448588,0.044923387
2021-12-31,0.0382258,0.03826494
2022-01-01,0.039947376,0.039980937
2022-01-02,0.03759871,0.037569296
2022-01-03,0.046296645,0.04632545
2022-01-04,0.052785505,0.05296931
2022-01-05,0.04572358,0.0456474
2022-01-06,0.07600725,0.076161675
2022-01-07,0.07078181,0.07092327
2022-01-08,0.07137191,0.071430035
2022-01-09,0.057194334,0.057257786
2022-01-10,0.0889317,0.08915165
2022-01-11,0.117188744,0.11742683
2022-01-12,0.08657133,0.08675015
2022-01-13,0.14034931,0.14057228
2022-01-14,0.07199604,0.072006054
2022-01-15,0.066245966,0.066301055
2022-01-16,0.0697965,0.069937736
2022-01-17,0.0812741,0.081391536
2022-01-18,0.12465992,0.12479509
2022-01-19,0.0877195,0.087844074
2022-01-20,0.12207972,0.12189561
2022-01-21,0.071273595,0.07106574
2022-01-22,0.06326614,0.06329988
2022-01-23,0.07049398,0.07062361
2022-01-24,0.11316176,0.11332503
2022-01-25,0.10624457,0.10623858
2022-01-26,0.11965149,0.119495094
2022-01-27,0.12630978,0.12613855
2022-01-28,0.118590325,0.11868866
2022-01-29,0.1180568,0.117825985
2022-01-30,0.13731843,0.13712104
2022-01-31,0.11478737,0.11469729
2022-02-01,0.14932106,0.14924565
2022-02-02,0.18220955,0.18220183
2022-02-03,0.2172725,0.21701205
2022-02-04,0.20556515,0.20556958
2022-02-05,0.19719993,0.19711293
2022-02-06,0.15817438,0.15795264
2022-02-07,0.13923162,0.13903074
2022-02-08,0.16134378,0.16174097
2022-02-09,0.14536425,0.14521469
2022-02-10,0.14706989,0.14671202
2022-02-11,0.11628044,0.11584069
2022-02-12,0.10966303,0.11024506
2022-02-13,0.112258874,0.11215453
2022-02-14,0.11205767,0.11138749
2022-02-15,0.15619771,0.15581569
2022-02-16,0.1349685,0.13509093
2022-02-17,0.13770454,0.13782065
2022-02-18,0.117735475,0.11753322
2022-02-19,0.12235543,0.12189736
2022-02-20,0.11520202,0.114753135
2022-02-21,0.10987808,0.11069035
2022-02-22,0.15971938,0.1599017
2022-02-23,0.14111625,0.14068043
2022-02-24,0.14192416,0.14140254
2022-02-25,0.123778075,0.123969294
2022-02-26,0.118447684,0.118501425
2022-02-27,0.107810274,0.10771987
2022-02-28,0.105859816,0.105440564
2022-03-01,0.14215046,0.1420448
2022-03-02,0.121782035,0.12185417
2022-03-03,0.13781972,0.1378938
2022-03-04,0.1349645,0.13470815
2022-03-05,0.12007683,0.11994649
2022-03-06,0.107201554,0.10711442
2022-03-07,0.101306416,0.101388685
2022-03-08,0.15279391,0.15252896
2022-03-09,0.132654,0.13282312
2022-03-10,0.11351462,0.11336924
2022-03-11,0.13616188,0.13615558
2022-03-12,0.12600735,0.12595996
2022-03-13,0.11393803,0.11384716
2022-03-14,0.115515694,0.115464784
2022-03-15,0.108460866,0.1082695
2022-03-16,0.16696379,0.16686435
2022-03-17,0.11289737,0.11289468
2022-03-18,0.100198366,0.10024396
2022-03-19,0.08487973,0.08482523
2022-03-20,0.059769213,0.059729196
2022-03-21,0.09392388,0.09387507
2022-03-22,0.12517065,0.1250875
2022-03-23,0.097853735,0.097801544
2022-03-24,0.08819886,0.088051304
2022-03-25,0.082962945,0.08312855
2022-03-26,0.07678897,0.076773494
2022-03-27,0.057983536,0.057855856
2022-03-28,0.089629285,0.089558475
2022-03-29,0.11213607,0.11210006
2022-03-30,0.0901017,0.090134986
2022-03-31,0.07978345,0.07949419
2022-04-01,0.08165114,0.08160868
2022-04-02,0.06881689,0.06884544
2022-04-03,0.048786446,0.04882311
2022-04-04,0.07833035,0.07822378
2022-04-05,0.097191244,0.09721181
2022-04-06,0.0771395,0.077066794
2022-04-07,0.077933304,0.07789201
2022-04-08,0.07162305,0.07152323
2022-04-09,0.06336523,0.06325325
2022-04-10,0.039144218,0.039221488
2022-04-11,0.08199111,0.08201094
2022-04-12,0.09025584,0.09024347
2022-04-13,0.071908325,0.0719783
2022-04-14,0.063906655,0.06403482
2022-04-15,0.058432482,0.05852858
2022-04-16,0.048667286,0.048702493
2022-04-17,0.030510368,0.03051951
2022-04-18,0.07614736,0.07629019
2022-04-19,0.08139516,0.08153739
2022-04-20,0.06687386,0.06693963
2022-04-21,0.06594324,0.06603266
2022-04-22,0.062266976,0.06230743
2022-04-23,0.053797014,0.053803846
2022-04-24,0.032283522,0.03223856
2022-04-25,0.07904457,0.079205446
2022-04-26,0.08354114,0.099591635
2022-04-27,0.06791085,0.06004128
2022-04-28,0.061284393,0.0836578
2022-04-29,0.05850938,0.0640428
2022-04-30,0.052950528,0.046968345
2022-05-01,0.029824635,0.062851
2022-05-02,0.07268383,0.097118065
2022-05-03,0.082191505,0.091791205
2022-05-04,0.07827063,0.07840886
2022-05-05,0.049135894,0.07998259
2022-05-06,0.08258586,0.07403802
2022-05-07,0.08380224,0.04922858
2022-05-08,0.049014073,0.05607522
2022-05-09,0.11311724,0.1274814
