,Actual_data,Predicted_data
2021-08-31,0.07652416,0.06804999
2021-09-01,0.05968443,0.054487776
2021-09-02,0.039966386,0.037716758
2021-09-03,0.10217771,0.088567615
2021-09-04,0.053886794,0.050924446
2021-09-05,0.055025067,0.048169762
2021-09-06,0.048529275,0.044019938
2021-09-07,0.0720037,0.06385312
2021-09-08,0.07409936,0.065462396
2021-09-09,0.07295843,0.062675506
2021-09-10,0.0793665,0.0667794
2021-09-11,0.045086823,0.04103184
2021-09-12,0.034528315,0.030908905
2021-09-13,0.05377482,0.04795578
2021-09-14,0.076006524,0.06767127
2021-09-15,0.09585639,0.08344448
2021-09-16,0.101425566,0.08671968
2021-09-17,0.118393525,0.100513235
2021-09-18,0.112633795,0.09750384
2021-09-19,0.06507018,0.055553984
2021-09-20,0.090010054,0.07661937
2021-09-21,0.073299706,0.062312894
2021-09-22,0.06885879,0.060059488
2021-09-23,0.09594024,0.08233347
2021-09-24,0.12441538,0.10535258
2021-09-25,0.097706616,0.08226634
2021-09-26,0.078600556,0.06978045
2021-09-27,0.04861798,0.04523222
2021-09-28,0.037054073,0.03493129
2021-09-29,0.06028839,0.05491318
2021-09-30,0.09871147,0.08437731
2021-10-01,0.061143365,0.054111093
2021-10-02,0.095280364,0.083698735
2021-10-03,0.069978625,0.064654015
2021-10-04,0.044636093,0.041085914
2021-10-05,0.05930317,0.05444078
2021-10-06,0.05569043,0.04741018
2021-10-07,0.06361634,0.0580014
2021-10-08,0.055035,0.05187732
2021-10-09,0.03750898,0.033262566
2021-10-10,0.037693426,0.037042834
2021-10-11,0.06540475,0.05798245
2021-10-12,0.039526906,0.038023017
2021-10-13,0.051510744,0.045208782
2021-10-14,0.050343566,0.047684193
2021-10-15,0.04918883,0.043962367
2021-10-16,0.064459905,0.05864056
2021-10-17,0.02309232,0.023703873
2021-10-18,0.022042785,0.02175663
2021-10-19,0.08980859,0.07908417
2021-10-20,0.10449949,0.090226114
2021-10-21,0.060273822,0.054624908
2021-10-22,0.07049653,0.060066175
2021-10-23,0.047146764,0.041268542
2021-10-24,0.07386744,0.068003535
2021-10-25,0.09132821,0.08074613
2021-10-26,0.07017613,0.06051846
2021-10-27,0.08066446,0.069238134
2021-10-28,0.076998994,0.06722935
