,Actual_data,Predicted_data
2021-08-31,0.07652416,0.07763725
2021-09-01,0.05968443,0.061351366
2021-09-02,0.039966386,0.042028964
2021-09-03,0.10217771,0.103230305
2021-09-04,0.053886794,0.055260293
2021-09-05,0.055025067,0.05643106
2021-09-06,0.048529275,0.050658964
2021-09-07,0.0720037,0.07366572
2021-09-08,0.07409936,0.07533662
2021-09-09,0.07295843,0.0751076
2021-09-10,0.0793665,0.08082292
2021-09-11,0.045086823,0.046411734
2021-09-12,0.034528315,0.035500303
2021-09-13,0.05377482,0.05422599
2021-09-14,0.076006524,0.077594995
2021-09-15,0.09585639,0.09641548
2021-09-16,0.101425566,0.10366398
2021-09-17,0.118393525,0.119813696
2021-09-18,0.112633795,0.11400151
2021-09-19,0.06507018,0.06793024
2021-09-20,0.090010054,0.09169211
2021-09-21,0.073299706,0.07511703
2021-09-22,0.06885879,0.07077266
2021-09-23,0.09594024,0.098423645
2021-09-24,0.12441538,0.12667869
2021-09-25,0.097706616,0.09983268
2021-09-26,0.078600556,0.08001935
2021-09-27,0.04861798,0.049415767
2021-09-28,0.037054073,0.038263086
2021-09-29,0.06028839,0.061115272
2021-09-30,0.09871147,0.10018879
2021-10-01,0.061143365,0.06254306
2021-10-02,0.095280364,0.09638275
2021-10-03,0.069978625,0.0703576
2021-10-04,0.044636093,0.045778822
2021-10-05,0.05930317,0.061037842
2021-10-06,0.05569043,0.055514183
2021-10-07,0.06361634,0.06519984
2021-10-08,0.055035,0.05480941
2021-10-09,0.03750898,0.038266346
2021-10-10,0.037693426,0.039099567
2021-10-11,0.06540475,0.066467665
2021-10-12,0.039526906,0.04030985
2021-10-13,0.051510744,0.05250444
2021-10-14,0.050343566,0.05201991
2021-10-15,0.04918883,0.050827246
2021-10-16,0.064459905,0.06583194
2021-10-17,0.02309232,0.024846265
2021-10-18,0.022042785,0.024920044
2021-10-19,0.08980859,0.088991866
2021-10-20,0.10449949,0.10530093
2021-10-21,0.060273822,0.061389446
2021-10-22,0.07049653,0.07193646
2021-10-23,0.047146764,0.04839204
2021-10-24,0.07386744,0.0749997
2021-10-25,0.09132821,0.092446804
2021-10-26,0.07017613,0.07049357
2021-10-27,0.08066446,0.08217634
2021-10-28,0.076998994,0.07958911
2021-10-29,0.09166673,0.094158046
2021-10-30,0.08252759,0.08390238
2021-10-31,0.046813924,0.048584938
2021-11-01,0.102593355,0.10311515
2021-11-02,0.095219165,0.095343046
2021-11-03,0.12722427,0.12862088
2021-11-04,0.06995241,0.071976334
2021-11-05,0.1318781,0.13393652
2021-11-06,0.12339809,0.12580694
2021-11-07,0.081253946,0.08383377
2021-11-08,0.055385992,0.057250742
2021-11-09,0.06130531,0.06271832
2021-11-10,0.07648762,0.07816756
2021-11-11,0.07769908,0.08014092
2021-11-12,0.078470424,0.080220416
2021-11-13,0.0773037,0.079769306
2021-11-14,0.08558125,0.08718414
2021-11-15,0.118370816,0.12050748
2021-11-16,0.11927768,0.12208582
2021-11-17,0.12982029,0.1336068
2021-11-18,0.14387132,0.1457397
2021-11-19,0.10724004,0.110043615
2021-11-20,0.13226146,0.13452844
2021-11-21,0.09168821,0.09147001
2021-11-22,0.105649635,0.10872129
2021-11-23,0.09709586,0.09888
2021-11-24,0.122330315,0.1227094
2021-11-25,0.06893534,0.07065929
2021-11-26,0.11747096,0.119875856
2021-11-27,0.07383125,0.074953154
2021-11-28,0.06327073,0.06530333
2021-11-29,0.09272175,0.09210359
2021-11-30,0.11185667,0.111774385
2021-12-01,0.14555053,0.14436702
2021-12-02,0.09058812,0.09291944
2021-12-03,0.10405574,0.102979705
2021-12-04,0.10085554,0.100905865
2021-12-05,0.09405226,0.09409022
2021-12-06,0.08738212,0.08861887
2021-12-07,0.11084909,0.11057118
2021-12-08,0.10165008,0.10221653
2021-12-09,0.107118934,0.10714286
2021-12-10,0.11204794,0.112911314
2021-12-11,0.07718679,0.0785611
2021-12-12,0.06715013,0.06835856
2021-12-13,0.077304855,0.07752365
2021-12-14,0.09116532,0.09050598
2021-12-15,0.08179091,0.08356393
2021-12-16,0.07389886,0.07536914
2021-12-17,0.06811292,0.07032272
2021-12-18,0.053716328,0.054910365
2021-12-19,0.07043686,0.069552876
2021-12-20,0.06279059,0.06369904
2021-12-21,0.069476545,0.06972078
2021-12-22,0.064583056,0.0658815
2021-12-23,0.07068792,0.07095379
2021-12-24,0.080899015,0.08141857
2021-12-25,0.059640516,0.05980469
2021-12-26,0.067488484,0.068186015
2021-12-27,0.04421137,0.044516254
2021-12-28,0.05016732,0.051351234
2021-12-29,0.054763902,0.055314485
2021-12-30,0.0448588,0.04534627
2021-12-31,0.0382258,0.039140634
2022-01-01,0.039947376,0.040230468
2022-01-02,0.03759871,0.038245283
2022-01-03,0.046296645,0.046705306
2022-01-04,0.052785505,0.052951314
2022-01-05,0.04572358,0.047100343
2022-01-06,0.07600725,0.076273106
2022-01-07,0.07078181,0.07118446
2022-01-08,0.07137191,0.07332756
2022-01-09,0.057194334,0.057709724
2022-01-10,0.0889317,0.08930592
2022-01-11,0.117188744,0.118764795
2022-01-12,0.08657133,0.08760977
2022-01-13,0.14034931,0.14060208
2022-01-14,0.07199604,0.073583454
2022-01-15,0.066245966,0.06826222
2022-01-16,0.0697965,0.07233694
2022-01-17,0.0812741,0.0824067
2022-01-18,0.12465992,0.12566671
2022-01-19,0.0877195,0.08929905
2022-01-20,0.12207972,0.12449641
2022-01-21,0.071273595,0.071740866
2022-01-22,0.06326614,0.06481393
2022-01-23,0.07049398,0.071518965
2022-01-24,0.11316176,0.113872886
2022-01-25,0.10624457,0.10929391
2022-01-26,0.11965149,0.12087906
2022-01-27,0.12630978,0.1299374
2022-01-28,0.118590325,0.12248192
2022-01-29,0.1180568,0.119798616
2022-01-30,0.13731843,0.1380572
2022-01-31,0.11478737,0.1171213
2022-02-01,0.14932106,0.15194976
2022-02-02,0.18220955,0.1838262
2022-02-03,0.2172725,0.2150437
2022-02-04,0.20556515,0.20674059
2022-02-05,0.19719993,0.19644223
2022-02-06,0.15817438,0.16075863
2022-02-07,0.13923162,0.1415901
2022-02-08,0.16134378,0.16460615
2022-02-09,0.14536425,0.14789063
2022-02-10,0.14706989,0.14925317
2022-02-11,0.11628044,0.116940476
2022-02-12,0.10966303,0.11343581
2022-02-13,0.112258874,0.11453212
2022-02-14,0.11205767,0.11217806
2022-02-15,0.15619771,0.15655766
2022-02-16,0.1349685,0.13725854
2022-02-17,0.13770454,0.1403456
2022-02-18,0.117735475,0.120400235
2022-02-19,0.12235543,0.12366972
2022-02-20,0.11520202,0.11692735
2022-02-21,0.10987808,0.11433985
2022-02-22,0.15971938,0.16103055
2022-02-23,0.14111625,0.14263247
2022-02-24,0.14192416,0.143024
2022-02-25,0.123778075,0.12611666
2022-02-26,0.118447684,0.120360255
2022-02-27,0.107810274,0.11103005
2022-02-28,0.105859816,0.10855896
2022-03-01,0.14215046,0.1430909
2022-03-02,0.121782035,0.12569627
2022-03-03,0.13781972,0.1395139
2022-03-04,0.1349645,0.13604975
2022-03-05,0.12007683,0.12183746
2022-03-06,0.107201554,0.110394716
2022-03-07,0.101306416,0.10414946
2022-03-08,0.15279391,0.15308672
2022-03-09,0.132654,0.13499528
2022-03-10,0.11351462,0.11739774
2022-03-11,0.13616188,0.13960953
2022-03-12,0.12600735,0.1282037
2022-03-13,0.11393803,0.11122498
2022-03-14,0.115515694,0.11931902
2022-03-15,0.108460866,0.11285835
2022-03-16,0.16696379,0.1612837
2022-03-17,0.11289737,0.11579584
2022-03-18,0.100198366,0.10376685
2022-03-19,0.08487973,0.08760844
2022-03-20,0.059769213,0.05932326
2022-03-21,0.09392388,0.09545048
2022-03-22,0.12517065,0.12562808
2022-03-23,0.097853735,0.10025441
2022-03-24,0.08819886,0.09023687
2022-03-25,0.082962945,0.08483864
2022-03-26,0.07678897,0.078693956
2022-03-27,0.057983536,0.059942745
2022-03-28,0.089629285,0.09125843
2022-03-29,0.11213607,0.113828994
2022-03-30,0.0901017,0.09204809
2022-03-31,0.07978345,0.08143535
2022-04-01,0.08165114,0.08267672
2022-04-02,0.06881689,0.069668494
2022-04-03,0.048786446,0.050571315
2022-04-04,0.07833035,0.08003092
2022-04-05,0.097191244,0.09956456
2022-04-06,0.0771395,0.079432316
2022-04-07,0.077933304,0.07915046
2022-04-08,0.07162305,0.0738011
2022-04-09,0.06336523,0.06440486
2022-04-10,0.039144218,0.03969408
2022-04-11,0.08199111,0.08207792
2022-04-12,0.09025584,0.09009514
2022-04-13,0.071908325,0.073780835
2022-04-14,0.063906655,0.06604691
2022-04-15,0.058432482,0.06094191
2022-04-16,0.048667286,0.05062972
2022-04-17,0.030510368,0.032965805
2022-04-18,0.07614736,0.07769152
2022-04-19,0.08139516,0.08334115
2022-04-20,0.06687386,0.06915801
2022-04-21,0.06594324,0.06768209
