,Actual_data,Predicted_data
2021-08-31,0.0878282,0.08773282
2021-09-01,0.09420746,0.09393921
2021-09-02,0.06983686,0.071027145
2021-09-03,0.07922079,0.07843995
2021-09-04,0.061352227,0.062492654
2021-09-05,0.05535359,0.055284526
2021-09-06,0.066528045,0.06461882
2021-09-07,0.09714323,0.09598062
2021-09-08,0.087462634,0.08693554
2021-09-09,0.0819559,0.08286136
2021-09-10,0.07582262,0.07567178
2021-09-11,0.064435795,0.06523331
2021-09-12,0.05302654,0.054595314
2021-09-13,0.06085875,0.060432468
2021-09-14,0.09075968,0.09032519
2021-09-15,0.0857202,0.08697283
2021-09-16,0.086577535,0.08681553
2021-09-17,0.08671558,0.087272175
2021-09-18,0.06976568,0.069992945
2021-09-19,0.06386506,0.06508342
2021-09-20,0.062401637,0.06263017
2021-09-21,0.06559018,0.066753075
2021-09-22,0.06943751,0.07137462
2021-09-23,0.090801165,0.08930239
2021-09-24,0.13964832,0.13584569
2021-09-25,0.11060632,0.111833565
2021-09-26,0.08524508,0.086735524
2021-09-27,0.07830969,0.079435416
2021-09-28,0.104597606,0.10526831
2021-09-29,0.09055366,0.09195426
2021-09-30,0.082599066,0.08363082
2021-10-01,0.074761555,0.07632915
2021-10-02,0.06622314,0.067104846
2021-10-03,0.05150611,0.053022996
2021-10-04,0.04781557,0.049173493
2021-10-05,0.06593668,0.06577971
2021-10-06,0.08109539,0.08220286
2021-10-07,0.06997124,0.07134919
2021-10-08,0.0585464,0.06093338
2021-10-09,0.052701544,0.05325878
2021-10-10,0.035695005,0.037924476
2021-10-11,0.042528942,0.04355793
2021-10-12,0.05440388,0.055537608
2021-10-13,0.07771944,0.07765456
2021-10-14,0.07035078,0.07142794
2021-10-15,0.0692852,0.07045109
2021-10-16,0.059148576,0.06044925
2021-10-17,0.044977237,0.045874745
2021-10-18,0.050457664,0.050369486
2021-10-19,0.07488787,0.07400199
2021-10-20,0.06782611,0.06865217
2021-10-21,0.06973319,0.07138881
2021-10-22,0.07205592,0.07206452
2021-10-23,0.073696844,0.07259291
2021-10-24,0.05695658,0.05842806
2021-10-25,0.060859237,0.061017696
2021-10-26,0.104062036,0.10310619
2021-10-27,0.09646152,0.096834846
2021-10-28,0.10373235,0.10443718
2021-10-29,0.09579444,0.096338965
2021-10-30,0.09193718,0.09300298
2021-10-31,0.07200592,0.07344214
2021-11-01,0.062392928,0.06358165
2021-11-02,0.110596515,0.10983671
2021-11-03,0.10324109,0.10405374
2021-11-04,0.0845278,0.086674795
2021-11-05,0.0770014,0.07858309
2021-11-06,0.07663868,0.07673611
2021-11-07,0.05816374,0.059625134
2021-11-08,0.055612188,0.055604827
2021-11-09,0.0903012,0.09059016
2021-11-10,0.08450479,0.08556519
2021-11-11,0.08048556,0.08245187
2021-11-12,0.06574662,0.068008624
2021-11-13,0.081748165,0.08146332
2021-11-14,0.06090835,0.061579548
2021-11-15,0.066425264,0.06580785
2021-11-16,0.09556379,0.09601275
2021-11-17,0.09526868,0.09541401
2021-11-18,0.08296558,0.0833536
2021-11-19,0.096048355,0.09606925
2021-11-20,0.09327658,0.09286224
2021-11-21,0.0750875,0.07523126
2021-11-22,0.06896941,0.06954466
2021-11-23,0.103546746,0.10360348
2021-11-24,0.09379962,0.09532943
2021-11-25,0.093132965,0.09364305
2021-11-26,0.08979276,0.09078194
2021-11-27,0.08511508,0.08530312
2021-11-28,0.06950636,0.07112659
2021-11-29,0.06770466,0.0679797
2021-11-30,0.11590005,0.11607599
2021-12-01,0.10476249,0.10504975
2021-12-02,0.09917831,0.1004758
2021-12-03,0.10891139,0.10852733
2021-12-04,0.092508905,0.09474786
2021-12-05,0.07945058,0.08094407
2021-12-06,0.07758833,0.07766741
2021-12-07,0.12910394,0.12866057
2021-12-08,0.114881724,0.11556696
2021-12-09,0.10324909,0.10310662
