,Actual_data,Predicted_data
2021-08-31,0.051511824,0.05679555
2021-09-01,0.055269487,0.060852647
2021-09-02,0.055303585,0.061016917
2021-09-03,0.058870967,0.06417594
2021-09-04,0.060722347,0.06573186
2021-09-05,0.0669518,0.07441661
2021-09-06,0.10183362,0.105671644
2021-09-07,0.08025169,0.08739788
2021-09-08,0.091847666,0.09647729
2021-09-09,0.053110097,0.059998296
2021-09-10,0.046376847,0.053370513
2021-09-11,0.05718455,0.062292803
2021-09-12,0.02884286,0.035008784
2021-09-13,0.029002909,0.035938196
2021-09-14,0.03863937,0.044541582
2021-09-15,0.047161426,0.053564414
2021-09-16,0.05156267,0.054696284
2021-09-17,0.06487328,0.06638353
2021-09-18,0.03364678,0.041241895
2021-09-19,0.05128652,0.0548218
2021-09-20,0.043404095,0.0491428
2021-09-21,0.05388147,0.058013294
2021-09-22,0.05629846,0.06206396
2021-09-23,0.08472544,0.08974116
2021-09-24,0.10644907,0.112356715
2021-09-25,0.16204602,0.16566373
2021-09-26,0.21156771,0.21974802
2021-09-27,0.12069699,0.12857458
2021-09-28,0.14001301,0.14352816
2021-09-29,0.10217522,0.10551004
2021-09-30,0.10005724,0.10189733
2021-10-01,0.14928003,0.15541206
2021-10-02,0.08246424,0.087645054
2021-10-03,0.056554757,0.059766326
2021-10-04,0.082743496,0.085286856
2021-10-05,0.13485982,0.14093612
2021-10-06,0.09791397,0.10329157
2021-10-07,0.05247206,0.055609625
2021-10-08,0.06853834,0.07345263
2021-10-09,0.035747733,0.03887743
2021-10-10,0.03216375,0.03544662
2021-10-11,0.01716604,0.023303254
2021-10-12,0.031897683,0.03425094
2021-10-13,0.03947225,0.041253585
2021-10-14,0.015208084,0.018837528
2021-10-15,0.02127623,0.022463033
2021-10-16,0.04235201,0.044037357
2021-10-17,0.043060355,0.04650738
2021-10-18,0.03050944,0.034319304
2021-10-19,0.054480754,0.059384633
2021-10-20,0.038532697,0.043804962
2021-10-21,0.07669352,0.07958547
