,Actual_data,Predicted_data
2021-08-31,0.051511824,0.04741874
2021-09-01,0.055269487,0.051714484
2021-09-02,0.055303585,0.051969163
2021-09-03,0.058870967,0.05554416
2021-09-04,0.060722347,0.056745518
2021-09-05,0.0669518,0.061675675
2021-09-06,0.10183362,0.09739698
2021-09-07,0.08025169,0.075860105
2021-09-08,0.091847666,0.08813622
2021-09-09,0.053110097,0.049461327
2021-09-10,0.046376847,0.04391813
2021-09-11,0.05718455,0.052992083
2021-09-12,0.02884286,0.024774682
2021-09-13,0.029002909,0.025459973
2021-09-14,0.03863937,0.034999378
2021-09-15,0.047161426,0.042639297
2021-09-16,0.05156267,0.048903484
2021-09-17,0.06487328,0.06035264
2021-09-18,0.03364678,0.03241961
2021-09-19,0.05128652,0.047568135
2021-09-20,0.043404095,0.040854294
2021-09-21,0.05388147,0.050870225
2021-09-22,0.05629846,0.053179108
2021-09-23,0.08472544,0.080536954
2021-09-24,0.10644907,0.10004159
2021-09-25,0.16204602,0.15547387
2021-09-26,0.21156771,0.20424837
2021-09-27,0.12069699,0.116144545
2021-09-28,0.14001301,0.13395132
2021-09-29,0.10217522,0.09676362
2021-09-30,0.10005724,0.09392235
2021-10-01,0.14928003,0.14331082
2021-10-02,0.08246424,0.0759825
2021-10-03,0.056554757,0.050888386
2021-10-04,0.082743496,0.076393604
2021-10-05,0.13485982,0.1287895
2021-10-06,0.09791397,0.09195422
2021-10-07,0.05247206,0.047351874
2021-10-08,0.06853834,0.064153604
2021-10-09,0.035747733,0.032010946
2021-10-10,0.03216375,0.030011594
2021-10-11,0.01716604,0.015054134
2021-10-12,0.031897683,0.028754836
2021-10-13,0.03947225,0.03517375
2021-10-14,0.015208084,0.011607791
2021-10-15,0.02127623,0.019199558
2021-10-16,0.04235201,0.039186556
2021-10-17,0.043060355,0.041337915
2021-10-18,0.03050944,0.026419928
2021-10-19,0.054480754,0.0519913
2021-10-20,0.038532697,0.035684783
2021-10-21,0.07669352,0.070966594
2021-10-22,0.17045544,0.16358845
2021-10-23,0.0640733,0.058112558
2021-10-24,0.043963064,0.040784974
2021-10-25,0.07369882,0.06895705
2021-10-26,0.110989414,0.106282406
2021-10-27,0.08325781,0.07798363
2021-10-28,0.080879875,0.07421548
2021-10-29,0.39203137,0.38424766
2021-10-30,0.102236085,0.09540072
2021-10-31,0.07967805,0.07610795
2021-11-01,0.08327768,0.077792875
2021-11-02,0.15829097,0.15253478
2021-11-03,0.047558274,0.04245138
2021-11-04,0.042696685,0.040199343
2021-11-05,0.09457305,0.090573385
2021-11-06,0.059518497,0.055829223
2021-11-07,0.05051901,0.047958277
2021-11-08,0.09463152,0.08956802
2021-11-09,0.06964861,0.065276355
2021-11-10,0.08671938,0.083027564
2021-11-11,0.07413863,0.06884139
2021-11-12,0.04311066,0.04039134
2021-11-13,0.05368617,0.05048403
2021-11-14,0.057311025,0.054339916
2021-11-15,0.05634555,0.051480643
2021-11-16,0.08357918,0.07926076
2021-11-17,0.13104552,0.1265908
2021-11-18,0.09635029,0.09180902
2021-11-19,0.09246962,0.08793238
2021-11-20,0.088342465,0.08452503
2021-11-21,0.0730223,0.06978366
2021-11-22,0.08743045,0.081378624
2021-11-23,0.09477353,0.08902359
2021-11-24,0.078320555,0.07312548
2021-11-25,0.09121546,0.086919494
2021-11-26,0.090557255,0.085068226
2021-11-27,0.08842633,0.08310316
2021-11-28,0.08085548,0.07628218
2021-11-29,0.05504309,0.050653365
2021-11-30,0.11493553,0.110355504
2021-12-01,0.080642,0.075609796
2021-12-02,0.085225,0.08050065
2021-12-03,0.09640601,0.09212484
2021-12-04,0.112544656,0.1065036
2021-12-05,0.09468238,0.090347424
2021-12-06,0.09672743,0.09259881
2021-12-07,0.112850666,0.10811979
2021-12-08,0.13301545,0.1283012
2021-12-09,0.13126934,0.12677084
2021-12-10,0.114295825,0.10994987
2021-12-11,0.11036969,0.10599962
2021-12-12,0.11459747,0.11063623
2021-12-13,0.08896526,0.08344765
2021-12-14,0.09049721,0.08653646
2021-12-15,0.08954774,0.084497586
2021-12-16,0.07349823,0.070964515
