,Actual_data,Predicted_data
2021-08-31,0.059062198,0.05952611
2021-09-01,0.05585509,0.055990573
2021-09-02,0.061583992,0.061425146
2021-09-03,0.055097014,0.05536825
2021-09-04,0.06410472,0.063966885
2021-09-05,0.058715392,0.05972962
2021-09-06,0.06921246,0.06943495
2021-09-07,0.037643727,0.03766095
2021-09-08,0.05337689,0.053575337
2021-09-09,0.04767374,0.04783194
2021-09-10,0.06177048,0.06109697
2021-09-11,0.037212428,0.037056405
2021-09-12,0.049647655,0.049885064
2021-09-13,0.030763565,0.03053607
2021-09-14,0.04625525,0.046321504
2021-09-15,0.07273827,0.072115
2021-09-16,0.08545051,0.08546341
2021-09-17,0.05495527,0.05523892
2021-09-18,0.09744231,0.09718491
2021-09-19,0.088146,0.08814908
2021-09-20,0.06447682,0.064399906
2021-09-21,0.06985952,0.06958835
2021-09-22,0.05200709,0.05269059
2021-09-23,0.117399715,0.11708433
2021-09-24,0.14154534,0.14145939
2021-09-25,0.19599667,0.19625194
2021-09-26,0.14243658,0.14154652
2021-09-27,0.13778868,0.1377317
2021-09-28,0.1456691,0.14642245
2021-09-29,0.0776258,0.077593654
2021-09-30,0.08710717,0.086891875
2021-10-01,0.07879327,0.07861683
2021-10-02,0.13062173,0.13052861
2021-10-03,0.075151004,0.0753019
2021-10-04,0.06940227,0.06907301
2021-10-05,0.06461604,0.06394388
2021-10-06,0.06263707,0.06269449
2021-10-07,0.08443518,0.08395052
2021-10-08,0.04136567,0.04106932
2021-10-09,0.048708625,0.048352066
2021-10-10,0.03393737,0.034206368
2021-10-11,0.028465997,0.028729985
2021-10-12,0.05174951,0.051723715
2021-10-13,0.06036806,0.060588337
2021-10-14,0.046043098,0.046337623
2021-10-15,0.072980486,0.07294303
2021-10-16,0.039519053,0.039443582
2021-10-17,0.028135862,0.028200053
2021-10-18,0.070246354,0.07054211
2021-10-19,0.1286584,0.1287847
2021-10-20,0.05805744,0.058233432
2021-10-21,0.07719829,0.077100545
2021-10-22,0.06351867,0.06345469
2021-10-23,0.043873597,0.04392711
2021-10-24,0.030412657,0.030414227
2021-10-25,0.03905151,0.038848165
2021-10-26,0.08265201,0.08292825
2021-10-27,0.08052751,0.08044665
2021-10-28,0.08314372,0.08321013
2021-10-29,0.07795569,0.07752089
2021-10-30,0.11174337,0.111645885
2021-10-31,0.05103643,0.05095008
2021-11-01,0.03903382,0.03861396
2021-11-02,0.059953336,0.05996122
2021-11-03,0.08241289,0.082466975
2021-11-04,0.17602502,0.17528668
2021-11-05,0.067823924,0.067972645
2021-11-06,0.18215811,0.18179455
2021-11-07,0.102433026,0.102173515
2021-11-08,0.07624304,0.075868316
2021-11-09,0.054757368,0.05454637
2021-11-10,0.05065545,0.050841022
2021-11-11,0.063715756,0.06335048
2021-11-12,0.05447668,0.05453619
2021-11-13,0.06588362,0.06634069
2021-11-14,0.054528013,0.054354392
2021-11-15,0.014274456,0.014606706
2021-11-16,0.042034317,0.04195383
2021-11-17,0.08312201,0.08323952
2021-11-18,0.07833782,0.07849702
2021-11-19,0.059259307,0.05906564
2021-11-20,0.04402179,0.04373505
2021-11-21,0.07458623,0.07446306
2021-11-22,0.10160135,0.101319686
2021-11-23,0.12872821,0.12859628
2021-11-24,0.18358636,0.18364875
