,Actual_data,Predicted_data
2021-08-31,0.11381708,0.11022648
2021-09-01,0.12686613,0.12434045
2021-09-02,0.12251041,0.12015239
2021-09-03,0.06990765,0.06753214
2021-09-04,0.10514527,0.102176555
2021-09-05,0.072191864,0.06991493
2021-09-06,0.088804714,0.08581923
2021-09-07,0.106228486,0.103881724
2021-09-08,0.051799394,0.049460743
2021-09-09,0.05984725,0.059681732
2021-09-10,0.048986524,0.047230482
2021-09-11,0.06283746,0.061436128
2021-09-12,0.03220934,0.031828236
2021-09-13,0.08359172,0.07953314
2021-09-14,0.08742834,0.08452327
2021-09-15,0.02984204,0.028796358
2021-09-16,0.051633272,0.049314894
2021-09-17,0.070170306,0.06767376
2021-09-18,0.05702913,0.055391204
2021-09-19,0.09489821,0.09271837
2021-09-20,0.106443934,0.10306922
2021-09-21,0.10477932,0.102648936
2021-09-22,0.095048524,0.09265886
2021-09-23,0.10695237,0.102699906
2021-09-24,0.07323682,0.07028962
2021-09-25,0.09555861,0.091404624
2021-09-26,0.06488456,0.06251651
2021-09-27,0.062853605,0.061481208
2021-09-28,0.06385479,0.060911994
2021-09-29,0.0746755,0.07211999
2021-09-30,0.06257747,0.05959522
2021-10-01,0.05501612,0.05289129
2021-10-02,0.048628308,0.04656581
2021-10-03,0.02873535,0.026716327
2021-10-04,0.034845,0.03405564
2021-10-05,0.039451458,0.037476547
2021-10-06,0.034063313,0.032346822
2021-10-07,0.06969213,0.06801376
2021-10-08,0.052666225,0.051009234
2021-10-09,0.069736324,0.06629506
2021-10-10,0.04474707,0.042621918
2021-10-11,0.023417862,0.02106443
2021-10-12,0.05036124,0.047009103
2021-10-13,0.037873104,0.036282387
2021-10-14,0.02478134,0.023453716
2021-10-15,0.027248375,0.025699705
2021-10-16,0.044717196,0.043141447
2021-10-17,0.02124146,0.019855103
2021-10-18,0.016727697,0.015598661
2021-10-19,0.07169027,0.07058659
2021-10-20,0.09179929,0.090127796
2021-10-21,0.018138845,0.016239718
2021-10-22,0.062730305,0.060494926
2021-10-23,0.029738996,0.028524637
2021-10-24,0.025957601,0.024156047
2021-10-25,0.04779505,0.04499633
2021-10-26,0.087701894,0.08593157
2021-10-27,0.07169327,0.06931866
2021-10-28,0.052826878,0.04939519
2021-10-29,0.17084497,0.16861944
2021-10-30,0.22197774,0.21898706
2021-10-31,0.04253142,0.040047575
2021-11-01,0.14339215,0.14093497
2021-11-02,0.09056453,0.088388056
2021-11-03,0.10565949,0.10332467
2021-11-04,0.091252275,0.089562476
2021-11-05,0.12814257,0.12575786
2021-11-06,0.13383946,0.13235483
2021-11-07,0.16931735,0.16720074
2021-11-08,0.057812173,0.055977747
2021-11-09,0.11210365,0.11053008
2021-11-10,0.15296802,0.1513658
2021-11-11,0.04698989,0.045099463
2021-11-12,0.12913014,0.12717852
2021-11-13,0.07450853,0.0733805
2021-11-14,0.103578806,0.100879736
2021-11-15,0.04045163,0.038284145
2021-11-16,0.127843,0.12572567
2021-11-17,0.11811381,0.11529186
2021-11-18,0.0779799,0.076580405
2021-11-19,0.12198227,0.12055264
2021-11-20,0.20550428,0.20300603
2021-11-21,0.14600204,0.14440642
2021-11-22,0.13118011,0.1289465
2021-11-23,0.09933651,0.09857793
2021-11-24,0.07187488,0.07104315
2021-11-25,0.063273974,0.06336566
2021-11-26,0.06864928,0.067609265
2021-11-27,0.10120505,0.099303365
2021-11-28,0.1115891,0.11030097
2021-11-29,0.08942793,0.08873576
2021-11-30,0.046603277,0.045487907
2021-12-01,0.063180074,0.061568648
2021-12-02,0.07231886,0.070775315
2021-12-03,0.06064078,0.059788078
2021-12-04,0.06219736,0.06058088
2021-12-05,0.070120394,0.06923393
2021-12-06,0.07842797,0.076440476
2021-12-07,0.09639894,0.09352446
2021-12-08,0.05977894,0.058391616
2021-12-09,0.058023967,0.056779847
2021-12-10,0.04117492,0.03955945
2021-12-11,0.1188878,0.11668487
2021-12-12,0.060056876,0.05847542
2021-12-13,0.119895875,0.11886099
2021-12-14,0.096553504,0.09483156
2021-12-15,0.06865451,0.067347854
2021-12-16,0.06503096,0.06283003
2021-12-17,0.08866876,0.08652278
2021-12-18,0.043890998,0.042561807
2021-12-19,0.08002847,0.07844552
2021-12-20,0.115378715,0.11350856
2021-12-21,0.15417749,0.1517321
2021-12-22,0.08964735,0.08661691
2021-12-23,0.07049336,0.06704407
2021-12-24,0.099375464,0.097247645
2021-12-25,0.07999226,0.07762261
2021-12-26,0.07198015,0.069075204
2021-12-27,0.08173698,0.07967926
2021-12-28,0.09352688,0.090311356
2021-12-29,0.11641084,0.11494603
2021-12-30,0.091023475,0.087969035
2021-12-31,0.094211124,0.0910555
2022-01-01,0.091963544,0.08916895
2022-01-02,0.069777824,0.06670075
2022-01-03,0.0555732,0.052892897
2022-01-04,0.0692718,0.067084365
2022-01-05,0.08651703,0.08428046
2022-01-06,0.08080984,0.07882431
2022-01-07,0.08022794,0.07792558
2022-01-08,0.08212791,0.080034025
2022-01-09,0.116159275,0.111778654
2022-01-10,0.14456782,0.13961169
2022-01-11,0.119461365,0.116432555
2022-01-12,0.13428986,0.1311074
