,Actual_data,Predicted_data
2021-08-31,0.059995607,0.06033467
2021-09-01,0.07246798,0.07285817
2021-09-02,0.05623804,0.056630366
2021-09-03,0.04479782,0.044974692
2021-09-04,0.021153217,0.021278406
2021-09-05,0.047012273,0.04733062
2021-09-06,0.042188477,0.04246209
2021-09-07,0.070446126,0.0707922
2021-09-08,0.060523715,0.06091296
2021-09-09,0.056311335,0.056560487
2021-09-10,0.06117227,0.061371934
2021-09-11,0.08796855,0.08837524
2021-09-12,0.043677405,0.043909118
2021-09-13,0.04115464,0.041449983
2021-09-14,0.042708132,0.042858854
2021-09-15,0.0777684,0.07803432
2021-09-16,0.06490614,0.06523666
2021-09-17,0.124226704,0.12458418
2021-09-18,0.07828856,0.07881176
2021-09-19,0.055806484,0.05616709
2021-09-20,0.0742886,0.07459796
2021-09-21,0.065375544,0.065655686
2021-09-22,0.087277636,0.0875593
2021-09-23,0.20975854,0.21043882
2021-09-24,0.17010927,0.17072469
2021-09-25,0.18663998,0.18722285
2021-09-26,0.13583367,0.13624085
2021-09-27,0.1354768,0.13604753
2021-09-28,0.10599354,0.106539406
2021-09-29,0.06577833,0.06614626
2021-09-30,0.07485128,0.07515122
2021-10-01,0.067668274,0.067950465
2021-10-02,0.04869289,0.048987288
2021-10-03,0.056570612,0.056875445
2021-10-04,0.04049288,0.040706385
2021-10-05,0.051665716,0.051945437
2021-10-06,0.036463197,0.036606856
2021-10-07,0.035868913,0.03601289
2021-10-08,0.04265847,0.042871047
2021-10-09,0.043457318,0.043614574
2021-10-10,0.044547856,0.044707246
2021-10-11,0.05315737,0.05333642
2021-10-12,0.0762919,0.07652333
2021-10-13,0.0559361,0.05615828
2021-10-14,0.047766585,0.04790203
2021-10-15,0.06276342,0.062973656
2021-10-16,0.055861603,0.05612683
2021-10-17,0.064454496,0.06471206
2021-10-18,0.05182787,0.052042425
2021-10-19,0.054511923,0.054715887
2021-10-20,0.041100882,0.04132336
2021-10-21,0.034273315,0.03440943
2021-10-22,0.035660747,0.035831925
2021-10-23,0.055349316,0.05567761
2021-10-24,0.058911223,0.059278317
2021-10-25,0.115034945,0.11558376
2021-10-26,0.072064355,0.07242825
2021-10-27,0.2060799,0.20680763
2021-10-28,0.20386232,0.20445521
2021-10-29,0.13796774,0.13857102
2021-10-30,0.08201507,0.082395256
2021-10-31,0.080072425,0.08048527
2021-11-01,0.05803092,0.05838989
2021-11-02,0.090325736,0.09072195
2021-11-03,0.08679059,0.087250344
2021-11-04,0.053740654,0.054035574
2021-11-05,0.046230726,0.04642699
2021-11-06,0.06556777,0.06597297
2021-11-07,0.039414283,0.03959118
2021-11-08,0.050890323,0.05120562
2021-11-09,0.03892824,0.039159182
2021-11-10,0.049896285,0.050142802
2021-11-11,0.08995068,0.0902906
2021-11-12,0.09979084,0.10029172
2021-11-13,0.10075084,0.10109735
2021-11-14,0.067169264,0.06741539
2021-11-15,0.052664746,0.05293437
2021-11-16,0.078041844,0.078364216
2021-11-17,0.103162386,0.10353244
2021-11-18,0.06577589,0.06605068
2021-11-19,0.08489875,0.085274175
2021-11-20,0.05935445,0.059565462
2021-11-21,0.07256502,0.07289276
2021-11-22,0.06673628,0.06700584
2021-11-23,0.10328995,0.1037699
2021-11-24,0.10127737,0.10163336
2021-11-25,0.12284508,0.12330741
2021-11-26,0.087239906,0.08766134
2021-11-27,0.12126627,0.121797584
2021-11-28,0.09693733,0.097257815
2021-11-29,0.08241226,0.08276443
2021-11-30,0.08721114,0.08754673
2021-12-01,0.06890865,0.06921209
2021-12-02,0.097745754,0.09802569
2021-12-03,0.08455697,0.08483741
2021-12-04,0.10703538,0.107268654
2021-12-05,0.1252736,0.12561938
2021-12-06,0.102575056,0.10297762
2021-12-07,0.09506728,0.0953996
2021-12-08,0.095346935,0.09568913
2021-12-09,0.1135956,0.113926396
2021-12-10,0.095696285,0.09598224
2021-12-11,0.0877838,0.0880797
2021-12-12,0.09049219,0.09089997
2021-12-13,0.07894484,0.07924005
2021-12-14,0.10481815,0.10517448
2021-12-15,0.08830523,0.0886728
2021-12-16,0.08527169,0.085563965
2021-12-17,0.11049791,0.11080552
2021-12-18,0.07429335,0.0746648
2021-12-19,0.05298466,0.053166017
2021-12-20,0.06649953,0.066763274
2021-12-21,0.064314194,0.06451509
2021-12-22,0.08101065,0.08138936
2021-12-23,0.071587,0.07196253
2021-12-24,0.049110793,0.049284536
2021-12-25,0.058320902,0.058570605
2021-12-26,0.06419565,0.06440863
2021-12-27,0.07299101,0.07338431
2021-12-28,0.06795907,0.06820499
2021-12-29,0.058307525,0.058680486
2021-12-30,0.06714491,0.067296945
2021-12-31,0.06449753,0.06471425
2022-01-01,0.046490952,0.046690524
2022-01-02,0.05495092,0.055219404
2022-01-03,0.04744521,0.047693774
