,Actual_data,Predicted_data
2021-08-31,0.059995607,0.060000926
2021-09-01,0.07246798,0.07249649
2021-09-02,0.05623804,0.056025602
2021-09-03,0.04479782,0.04480795
2021-09-04,0.021153217,0.021388533
2021-09-05,0.047012273,0.047013544
2021-09-06,0.042188477,0.04212896
2021-09-07,0.070446126,0.070366696
2021-09-08,0.060523715,0.060348608
2021-09-09,0.056311335,0.0562025
2021-09-10,0.06117227,0.06108819
2021-09-11,0.08796855,0.08780594
2021-09-12,0.043677405,0.043672737
2021-09-13,0.04115464,0.04096066
2021-09-14,0.042708132,0.042626318
2021-09-15,0.0777684,0.07768673
2021-09-16,0.06490614,0.06477122
2021-09-17,0.124226704,0.124099374
2021-09-18,0.07828856,0.078175396
2021-09-19,0.055806484,0.055651315
2021-09-20,0.0742886,0.0743283
2021-09-21,0.065375544,0.06525631
2021-09-22,0.087277636,0.08709389
2021-09-23,0.20975854,0.20959006
2021-09-24,0.17010927,0.16977902
2021-09-25,0.18663998,0.18642968
2021-09-26,0.13583367,0.13570955
2021-09-27,0.1354768,0.13515146
2021-09-28,0.10599354,0.105920814
2021-09-29,0.06577833,0.065545045
2021-09-30,0.07485128,0.074792236
2021-10-01,0.067668274,0.0677171
2021-10-02,0.04869289,0.04853582
2021-10-03,0.056570612,0.056555383
2021-10-04,0.04049288,0.040362123
2021-10-05,0.051665716,0.051540937
2021-10-06,0.036463197,0.036325272
2021-10-07,0.035868913,0.03576956
2021-10-08,0.04265847,0.042543624
2021-10-09,0.043457318,0.043281443
2021-10-10,0.044547856,0.044359885
2021-10-11,0.05315737,0.053054158
2021-10-12,0.0762919,0.076101154
2021-10-13,0.0559361,0.05582145
2021-10-14,0.047766585,0.047575857
2021-10-15,0.06276342,0.06264307
2021-10-16,0.055861603,0.05576141
2021-10-17,0.064454496,0.06425562
2021-10-18,0.05182787,0.051722687
2021-10-19,0.054511923,0.054301403
2021-10-20,0.041100882,0.04101025
2021-10-21,0.034273315,0.034528516
2021-10-22,0.035660747,0.036008164
2021-10-23,0.055349316,0.055306893
2021-10-24,0.058911223,0.058699295
2021-10-25,0.115034945,0.11488074
2021-10-26,0.072064355,0.07199042
2021-10-27,0.2060799,0.2057378
2021-10-28,0.20386232,0.20364568
2021-10-29,0.13796774,0.13758634
2021-10-30,0.08201507,0.0819263
2021-10-31,0.080072425,0.079929635
2021-11-01,0.05803092,0.05803603
2021-11-02,0.090325736,0.09020428
2021-11-03,0.08679059,0.08664665
2021-11-04,0.053740654,0.053603314
2021-11-05,0.046230726,0.0461569
2021-11-06,0.06556777,0.06544323
