,Actual_data,Predicted_data
2021-08-31,0.059995607,0.059638936
2021-09-01,0.07246798,0.07225363
2021-09-02,0.05623804,0.056127194
2021-09-03,0.04479782,0.044429228
2021-09-04,0.021153217,0.021361064
2021-09-05,0.047012273,0.04698069
2021-09-06,0.042188477,0.04220792
2021-09-07,0.070446126,0.07058542
2021-09-08,0.060523715,0.060421098
2021-09-09,0.056311335,0.05625164
2021-09-10,0.06117227,0.060682278
2021-09-11,0.08796855,0.08791892
2021-09-12,0.043677405,0.04403078
2021-09-13,0.04115464,0.04089858
2021-09-14,0.042708132,0.04242218
2021-09-15,0.0777684,0.07766972
2021-09-16,0.06490614,0.064497165
2021-09-17,0.124226704,0.12441179
2021-09-18,0.07828856,0.07814619
2021-09-19,0.055806484,0.05548684
2021-09-20,0.0742886,0.07441898
2021-09-21,0.065375544,0.06556647
2021-09-22,0.087277636,0.0872769
2021-09-23,0.20975854,0.2104517
2021-09-24,0.17010927,0.17054752
2021-09-25,0.18663998,0.18700787
2021-09-26,0.13583367,0.13608189
2021-09-27,0.1354768,0.13578586
2021-09-28,0.10599354,0.10619646
2021-09-29,0.06577833,0.06590775
2021-09-30,0.07485128,0.07487988
2021-10-01,0.067668274,0.06756417
2021-10-02,0.04869289,0.048322294
2021-10-03,0.056570612,0.056403924
2021-10-04,0.04049288,0.040334783
2021-10-05,0.051665716,0.051403645
2021-10-06,0.036463197,0.036276974
2021-10-07,0.035868913,0.036098562
2021-10-08,0.04265847,0.04246836
2021-10-09,0.043457318,0.04342788
2021-10-10,0.044547856,0.04425447
2021-10-11,0.05315737,0.052878026
2021-10-12,0.0762919,0.07584205
2021-10-13,0.0559361,0.055742357
2021-10-14,0.047766585,0.047222987
2021-10-15,0.06276342,0.062227745
2021-10-16,0.055861603,0.05560237
2021-10-17,0.064454496,0.06409685
2021-10-18,0.05182787,0.052045174
2021-10-19,0.054511923,0.05401041
2021-10-20,0.041100882,0.04047868
2021-10-21,0.034273315,0.034281246
2021-10-22,0.035660747,0.03563974
2021-10-23,0.055349316,0.054905165
2021-10-24,0.058911223,0.059022974
2021-10-25,0.115034945,0.115166984
2021-10-26,0.072064355,0.072126605
2021-10-27,0.2060799,0.20644335
2021-10-28,0.20386232,0.2045335
2021-10-29,0.13796774,0.1386512
2021-10-30,0.08201507,0.08226094
2021-10-31,0.080072425,0.080445684
2021-11-01,0.05803092,0.05832886
2021-11-02,0.090325736,0.09039965
2021-11-03,0.08679059,0.08682399
2021-11-04,0.053740654,0.053785488
2021-11-05,0.046230726,0.046318024
2021-11-06,0.06556777,0.06554811
2021-11-07,0.039414283,0.039259687
2021-11-08,0.050890323,0.0508207
2021-11-09,0.03892824,0.03897262
2021-11-10,0.049896285,0.049521267
2021-11-11,0.08995068,0.09008167
2021-11-12,0.09979084,0.09993029
2021-11-13,0.10075084,0.10077301
2021-11-14,0.067169264,0.06683081
2021-11-15,0.052664746,0.05234345
2021-11-16,0.078041844,0.07774452
2021-11-17,0.103162386,0.103071414
2021-11-18,0.06577589,0.06548547
2021-11-19,0.08489875,0.084685
2021-11-20,0.05935445,0.05934641
2021-11-21,0.07256502,0.07234166
2021-11-22,0.06673628,0.06650566
2021-11-23,0.10328995,0.10374872
2021-11-24,0.10127737,0.10128833
2021-11-25,0.12284508,0.12324886
2021-11-26,0.087239906,0.08768641
2021-11-27,0.12126627,0.121871375
2021-11-28,0.09693733,0.09695616
2021-11-29,0.08241226,0.082438596
2021-11-30,0.08721114,0.087149404
2021-12-01,0.06890865,0.06883325
2021-12-02,0.097745754,0.097736835
2021-12-03,0.08455697,0.084402435
2021-12-04,0.10703538,0.10729597
2021-12-05,0.1252736,0.1253546
2021-12-06,0.102575056,0.102749355
2021-12-07,0.09506728,0.09488497
2021-12-08,0.095346935,0.09551114
2021-12-09,0.1135956,0.11395515
2021-12-10,0.095696285,0.09592266
2021-12-11,0.0877838,0.08776798
2021-12-12,0.09049219,0.09065921
2021-12-13,0.07894484,0.078735255
2021-12-14,0.10481815,0.104970455
2021-12-15,0.08830523,0.08835313
2021-12-16,0.08527169,0.085030854
2021-12-17,0.11049791,0.11046639
2021-12-18,0.07429335,0.07420578
2021-12-19,0.05298466,0.053518485
2021-12-20,0.06649953,0.06646206
2021-12-21,0.064314194,0.0637909
2021-12-22,0.08101065,0.08099022
2021-12-23,0.071587,0.07136924
2021-12-24,0.049110793,0.04870995
2021-12-25,0.058320902,0.05788454
2021-12-26,0.06419565,0.06388143
2021-12-27,0.07299101,0.07316764
2021-12-28,0.06795907,0.067690626
