,Actual_data,Predicted_data
2021-08-31,0.051658593,0.05118119
2021-09-01,0.105767,0.104215354
2021-09-02,0.07814254,0.07688183
2021-09-03,0.08670066,0.085912526
2021-09-04,0.06348266,0.06278675
2021-09-05,0.048898764,0.04651605
2021-09-06,0.05541975,0.05442793
2021-09-07,0.06671186,0.064799614
2021-09-08,0.06789465,0.066824764
2021-09-09,0.08763512,0.08517687
2021-09-10,0.12065078,0.11968362
2021-09-11,0.08069712,0.079108626
2021-09-12,0.06672269,0.06500543
2021-09-13,0.068971284,0.067631975
2021-09-14,0.061522767,0.05887433
2021-09-15,0.059175707,0.057435457
2021-09-16,0.07369937,0.07159094
2021-09-17,0.07580362,0.07395921
2021-09-18,0.083557315,0.08038697
2021-09-19,0.08384775,0.080805816
2021-09-20,0.07293369,0.07048153
2021-09-21,0.026091594,0.026058579
2021-09-22,0.072841674,0.0693115
2021-09-23,0.119271375,0.11746855
2021-09-24,0.12941921,0.12666892
2021-09-25,0.08372267,0.0818841
2021-09-26,0.07956546,0.07635122
2021-09-27,0.082707606,0.08137928
2021-09-28,0.043555565,0.04157273
2021-09-29,0.054724462,0.053367067
2021-09-30,0.057766147,0.057681736
2021-10-01,0.0536126,0.05225558
2021-10-02,0.063678496,0.06281396
2021-10-03,0.0596663,0.058007877
2021-10-04,0.062309008,0.061586183
2021-10-05,0.04992588,0.047561776
2021-10-06,0.04718221,0.045917705
2021-10-07,0.049768467,0.04646816
2021-10-08,0.051451713,0.050841995
2021-10-09,0.018750826,0.018084463
2021-10-10,0.04485016,0.044399142
2021-10-11,0.049820106,0.048709903
2021-10-12,0.04874534,0.04780554
2021-10-13,0.0141896065,0.014058856
2021-10-14,0.030534724,0.031107875
2021-10-15,0.02451487,0.02525235
2021-10-16,0.023442937,0.02234054
2021-10-17,0.016211636,0.016166262
2021-10-18,0.054429147,0.053061984
2021-10-19,0.035755802,0.034732047
2021-10-20,0.0348101,0.03412594
2021-10-21,0.024046583,0.025020493
2021-10-22,0.04394101,0.042512197
2021-10-23,0.04994565,0.048703715
2021-10-24,0.025287088,0.024488728
2021-10-25,0.09267474,0.09208404
2021-10-26,0.115096204,0.112815954
2021-10-27,0.04824883,0.046412453
2021-10-28,0.072373554,0.070294835
2021-10-29,0.05767509,0.056183252
2021-10-30,0.09214327,0.08989955
2021-10-31,0.07355172,0.07185421
2021-11-01,0.2216218,0.21944745
2021-11-02,0.13642444,0.1344799
2021-11-03,0.11392786,0.11285849
2021-11-04,0.151737,0.14870276
2021-11-05,0.11859978,0.11780238
2021-11-06,0.12105574,0.11957233
2021-11-07,0.10736266,0.10553142
2021-11-08,0.112200916,0.110386714
2021-11-09,0.09797781,0.09584311
2021-11-10,0.14009026,0.1367888
2021-11-11,0.09240599,0.09080673
2021-11-12,0.1117105,0.10993952
2021-11-13,0.057819497,0.05717251
2021-11-14,0.1036849,0.101603374
2021-11-15,0.10229892,0.09978771
2021-11-16,0.12890726,0.1277044
2021-11-17,0.09601667,0.09277792
2021-11-18,0.13457891,0.13236013
2021-11-19,0.075713485,0.074384324
2021-11-20,0.099175364,0.09705042
2021-11-21,0.079391204,0.07710317
2021-11-22,0.14549787,0.14263134
2021-11-23,0.09998131,0.09843617
2021-11-24,0.092951,0.08960616
2021-11-25,0.07944998,0.07789048
2021-11-26,0.06635454,0.064111605
2021-11-27,0.09159544,0.08851211
2021-11-28,0.070100345,0.06764655
2021-11-29,0.06898437,0.066663906
2021-11-30,0.13940285,0.13624406
2021-12-01,0.24630179,0.24208757
2021-12-02,0.12078122,0.11826159
2021-12-03,0.1487987,0.14608395
2021-12-04,0.15104392,0.14892247
2021-12-05,0.10207944,0.0987251
2021-12-06,0.10831459,0.10625038
2021-12-07,0.15869513,0.15499668
2021-12-08,0.12931387,0.12736726
2021-12-09,0.11154549,0.109991565
2021-12-10,0.077653304,0.07647246
2021-12-11,0.0719245,0.0705403
2021-12-12,0.046978354,0.045104567
2021-12-13,0.08908537,0.08683152
2021-12-14,0.091007166,0.0887418
2021-12-15,0.06871569,0.0670403
2021-12-16,0.08802414,0.0853173
2021-12-17,0.06300159,0.061458606
2021-12-18,0.07847886,0.07578783
2021-12-19,0.058781818,0.058418047
2021-12-20,0.06592865,0.063377336
2021-12-21,0.081901215,0.08187295
2021-12-22,0.070372306,0.068861514
2021-12-23,0.04364117,0.042726744
2021-12-24,0.058408823,0.05666315
2021-12-25,0.047550626,0.046272792
2021-12-26,0.023045603,0.021971283
2021-12-27,0.047115564,0.04642348
2021-12-28,0.04854235,0.04805892
2021-12-29,0.057677507,0.05674614
2021-12-30,0.047229353,0.04628506
2021-12-31,0.046001583,0.045064364
2022-01-01,0.043433547,0.042820092
2022-01-02,0.038609818,0.036795788
2022-01-03,0.028178295,0.028027954
2022-01-04,0.04572506,0.04428353
2022-01-05,0.04058464,0.04110499
2022-01-06,0.031556047,0.030175818
2022-01-07,0.054182976,0.054303396
2022-01-08,0.049328048,0.04739595
2022-01-09,0.04301028,0.043720875
2022-01-10,0.05655647,0.055313885
2022-01-11,0.124377504,0.124334216
2022-01-12,0.09258486,0.09119629
2022-01-13,0.09248712,0.09221766
2022-01-14,0.07479275,0.072258115
2022-01-15,0.07750756,0.07587248
2022-01-16,0.11854422,0.11774528
2022-01-17,0.14909156,0.14678478
2022-01-18,0.14667943,0.1462628
2022-01-19,0.11240045,0.11015823
2022-01-20,0.120861225,0.12046814
2022-01-21,0.11905098,0.11663661
2022-01-22,0.14848566,0.1477141
2022-01-23,0.13293423,0.13073426
2022-01-24,0.17222698,0.17058194
2022-01-25,0.24778625,0.24434546
2022-01-26,0.2333302,0.23226178
2022-01-27,0.17480287,0.17313261
2022-01-28,0.17799361,0.17565708
2022-01-29,0.1617898,0.16010618
2022-01-30,0.14028637,0.13913788
2022-01-31,0.13088095,0.12845217
2022-02-01,0.1240136,0.12291439
2022-02-02,0.13193654,0.13045141
2022-02-03,0.16263644,0.15875039
2022-02-04,0.19353251,0.19132142
2022-02-05,0.19104095,0.18838364
2022-02-06,0.13384306,0.13135862
2022-02-07,0.11738266,0.1149777
2022-02-08,0.1293815,0.12791842
2022-02-09,0.1530458,0.15012787
2022-02-10,0.13573907,0.13210125
2022-02-11,0.13130863,0.1301009
2022-02-12,0.119068995,0.11776582
2022-02-13,0.118974596,0.11740476
2022-02-14,0.10732256,0.10432602
2022-02-15,0.16413847,0.16170172
2022-02-16,0.15179771,0.14800116
2022-02-17,0.15016644,0.1477175
2022-02-18,0.13809153,0.1345353
2022-02-19,0.13040958,0.12856077
2022-02-20,0.11332323,0.110727645
2022-02-21,0.10371403,0.10208921
2022-02-22,0.13941935,0.13719098
2022-02-23,0.14076759,0.13860868
2022-02-24,0.12654942,0.124024324
2022-02-25,0.11357326,0.11142248
2022-02-26,0.101054884,0.0992171
2022-02-27,0.086941324,0.08486013
2022-02-28,0.08311066,0.08098512
2022-03-01,0.1148772,0.112645455
2022-03-02,0.10462462,0.103799306
2022-03-03,0.118059225,0.1150838
2022-03-04,0.10737114,0.10626352
2022-03-05,0.111960664,0.11039507
2022-03-06,0.09954982,0.097581826
2022-03-07,0.09309795,0.09031209
2022-03-08,0.12760505,0.12456737
2022-03-09,0.12001796,0.11827674
2022-03-10,0.10550135,0.10259747
2022-03-11,0.12076057,0.119253054
2022-03-12,0.11712175,0.11576246
2022-03-13,0.107032545,0.106090024
2022-03-14,0.102550164,0.100240976
2022-03-15,0.104215436,0.10259869
2022-03-16,0.14338031,0.1412045
2022-03-17,0.12239492,0.119886816
2022-03-18,0.112660505,0.112260684
2022-03-19,0.11499474,0.113083854
2022-03-20,0.08114949,0.08101495
2022-03-21,0.094144054,0.091985926
2022-03-22,0.1350709,0.13345912
2022-03-23,0.10099131,0.100016095
2022-03-24,0.07290252,0.0716583
2022-03-25,0.098852955,0.09762124
2022-03-26,0.078367546,0.07666877
2022-03-27,0.04643353,0.047924336
2022-03-28,0.10019445,0.0983135
2022-03-29,0.10051444,0.09998338
2022-03-30,0.08923751,0.08911814
2022-03-31,0.07367428,0.07314463
2022-04-01,0.07491155,0.07287334
2022-04-02,0.06725765,0.06554878
2022-04-03,0.046032205,0.04441269
2022-04-04,0.080717504,0.0784694
2022-04-05,0.096374586,0.09464558
2022-04-06,0.082818165,0.08240247
2022-04-07,0.08063817,0.07810786
2022-04-08,0.08287753,0.081948765
