,Actual_data,Predicted_data
2021-08-31,0.09208803,0.09199589
2021-09-01,0.07591308,0.078157976
2021-09-02,0.07376774,0.0738397
2021-09-03,0.077027254,0.077613026
2021-09-04,0.06888804,0.0708625
2021-09-05,0.06283182,0.06425622
2021-09-06,0.06461323,0.06430669
2021-09-07,0.08940716,0.08857918
2021-09-08,0.08895099,0.08381099
2021-09-09,0.088226125,0.08696984
2021-09-10,0.0855115,0.08659596
2021-09-11,0.08441072,0.08402698
2021-09-12,0.070074625,0.070449956
2021-09-13,0.066982396,0.06749644
2021-09-14,0.099401265,0.09943523
2021-09-15,0.08693402,0.08856141
2021-09-16,0.08850906,0.08878076
2021-09-17,0.0814607,0.083191246
2021-09-18,0.08453138,0.08042597
2021-09-19,0.06480616,0.06505466
2021-09-20,0.07417685,0.0711363
2021-09-21,0.06921143,0.07178923
2021-09-22,0.06952342,0.07395555
2021-09-23,0.09778464,0.088203005
2021-09-24,0.1288104,0.12884144
2021-09-25,0.09240342,0.09305587
2021-09-26,0.07546666,0.07459381
2021-09-27,0.07997671,0.07932101
2021-09-28,0.09707218,0.09624254
2021-09-29,0.08539476,0.08570123
2021-09-30,0.08096547,0.08322369
2021-10-01,0.06914686,0.0697512
2021-10-02,0.06368617,0.06534633
2021-10-03,0.04950524,0.052882947
2021-10-04,0.04521955,0.044635337
2021-10-05,0.060698725,0.060013417
2021-10-06,0.07307916,0.07210791
2021-10-07,0.06682082,0.067876376
2021-10-08,0.062082134,0.06222047
2021-10-09,0.053176273,0.05567036
2021-10-10,0.048108824,0.048688263
2021-10-11,0.04653766,0.046807364
2021-10-12,0.058295485,0.057861537
2021-10-13,0.078007735,0.07394957
2021-10-14,0.07292719,0.075433016
2021-10-15,0.06423553,0.06466014
2021-10-16,0.056729097,0.05606311
2021-10-17,0.040926084,0.04155162
2021-10-18,0.035222974,0.035529442
2021-10-19,0.061045565,0.06140011
2021-10-20,0.062821865,0.062123787
2021-10-21,0.067141116,0.06638614
2021-10-22,0.073696405,0.06962952
2021-10-23,0.07106626,0.069065824
2021-10-24,0.06271995,0.06341825
2021-10-25,0.059315458,0.060287368
2021-10-26,0.1019017,0.10156697
2021-10-27,0.107866056,0.10763132
2021-10-28,0.105080865,0.10511297
2021-10-29,0.09521256,0.09496131
2021-10-30,0.10087704,0.100779854
2021-10-31,0.08297883,0.08305616
2021-11-01,0.074331805,0.07393205
2021-11-02,0.11983885,0.11946702
2021-11-03,0.10674439,0.107293025
2021-11-04,0.10542469,0.10387533
2021-11-05,0.09395079,0.093827896
2021-11-06,0.083885126,0.08542139
2021-11-07,0.06786918,0.06722757
2021-11-08,0.061793707,0.063486695
2021-11-09,0.08918546,0.08795068
2021-11-10,0.090041324,0.08959039
2021-11-11,0.08350713,0.08586612
2021-11-12,0.08700388,0.087629214
2021-11-13,0.08265445,0.0825189
2021-11-14,0.07130908,0.07112435
2021-11-15,0.06895096,0.0687732
2021-11-16,0.114840835,0.113191485
2021-11-17,0.1105303,0.110697895
2021-11-18,0.1046094,0.102742486
2021-11-19,0.099742144,0.09903584
2021-11-20,0.09230004,0.090894684
2021-11-21,0.08683861,0.086190276
2021-11-22,0.076261014,0.07649446
2021-11-23,0.10987814,0.109028175
2021-11-24,0.10655314,0.10560675
2021-11-25,0.10087563,0.10195717
2021-11-26,0.104683176,0.1030016
2021-11-27,0.088668644,0.09012999
2021-11-28,0.07092034,0.0711813
2021-11-29,0.05899339,0.06307698
2021-11-30,0.108676046,0.10840602
2021-12-01,0.106908,0.10682479
2021-12-02,0.09530057,0.09725525
2021-12-03,0.100104176,0.10030424
2021-12-04,0.086169206,0.08514793
2021-12-05,0.05799013,0.060611848
2021-12-06,0.08682977,0.08263792
2021-12-07,0.11450257,0.1132272
2021-12-08,0.105383195,0.10345501
2021-12-09,0.10189939,0.10167687
2021-12-10,0.09944164,0.099442214
2021-12-11,0.08586573,0.08549069
2021-12-12,0.08427962,0.08316586
2021-12-13,0.06566488,0.06504947
2021-12-14,0.098115414,0.09833106
2021-12-15,0.09221765,0.0933066
2021-12-16,0.08389121,0.08399235
2021-12-17,0.08067383,0.08168609
2021-12-18,0.06600621,0.065918826
2021-12-19,0.053890288,0.052441247
2021-12-20,0.05556272,0.055490114
2021-12-21,0.07827751,0.07730176
2021-12-22,0.07630399,0.07593618
2021-12-23,0.06595808,0.06640652
2021-12-24,0.060344167,0.059536714
2021-12-25,0.055714723,0.054950453
2021-12-26,0.04425481,0.042954072
2021-12-27,0.039305467,0.0412044
2021-12-28,0.059763923,0.061055735
2021-12-29,0.055877198,0.058305413
2021-12-30,0.05659907,0.05719886
2021-12-31,0.051666953,0.052105777
2022-01-01,0.04372104,0.04419457
2022-01-02,0.03814976,0.038964503
2022-01-03,0.037364084,0.037970904
2022-01-04,0.058930807,0.058217708
2022-01-05,0.05335504,0.054220535
2022-01-06,0.049140114,0.05072899
2022-01-07,0.049987555,0.050034218
2022-01-08,0.051537775,0.05124017
2022-01-09,0.043617222,0.044017702
2022-01-10,0.044064224,0.043179736
2022-01-11,0.06588597,0.0670071
2022-01-12,0.061756592,0.062566236
2022-01-13,0.062152192,0.062043626
2022-01-14,0.063577436,0.06418028
2022-01-15,0.06678148,0.06641065
2022-01-16,0.058292173,0.058466196
2022-01-17,0.05711803,0.05704954
2022-01-18,0.09309681,0.09349481
2022-01-19,0.10453861,0.104513
2022-01-20,0.11780201,0.118150435
2022-01-21,0.1164478,0.11613931
2022-01-22,0.11893864,0.11975352
2022-01-23,0.1123865,0.11213121
2022-01-24,0.108947635,0.109217554
2022-01-25,0.1891953,0.18866271
2022-01-26,0.1825747,0.18385586
2022-01-27,0.18871391,0.1893702
2022-01-28,0.17416377,0.17461173
2022-01-29,0.1533368,0.15264505
2022-01-30,0.13770083,0.13708247
2022-01-31,0.122435145,0.12158392
2022-02-01,0.11377568,0.11358516
2022-02-02,0.13087957,0.12970124
2022-02-03,0.14132805,0.14065064
2022-02-04,0.17903592,0.17808859
2022-02-05,0.14281656,0.1423277
2022-02-06,0.113467894,0.11304207
2022-02-07,0.09005757,0.09020876
2022-02-08,0.1677095,0.16766387
2022-02-09,0.15274572,0.15202451
2022-02-10,0.13442326,0.13395429
2022-02-11,0.14202411,0.14030999
2022-02-12,0.11656182,0.11652521
2022-02-13,0.10676714,0.106326126
2022-02-14,0.10772726,0.10914525
2022-02-15,0.15298563,0.15207453
2022-02-16,0.1435425,0.1434154
2022-02-17,0.1702687,0.17004724
2022-02-18,0.13744353,0.13759233
2022-02-19,0.12134171,0.12140351
2022-02-20,0.10253395,0.10238872
2022-02-21,0.10526135,0.10461342
2022-02-22,0.18710129,0.18679376
2022-02-23,0.14957896,0.14977203
2022-02-24,0.13138805,0.13017486
2022-02-25,0.12597567,0.12583292
2022-02-26,0.11294276,0.11265642
2022-02-27,0.08388965,0.083922684
2022-02-28,0.080266744,0.08182237
2022-03-01,0.13021427,0.12979074
2022-03-02,0.11372454,0.11352878
2022-03-03,0.14676099,0.14719434
2022-03-04,0.12332266,0.12280563
2022-03-05,0.108562246,0.108968265
2022-03-06,0.08290202,0.08340941
2022-03-07,0.07614843,0.07657955
2022-03-08,0.14729002,0.1461631
2022-03-09,0.12662183,0.12641457
2022-03-10,0.10300758,0.10442653
2022-03-11,0.14266221,0.14260218
2022-03-12,0.11388533,0.11407629
2022-03-13,0.091914445,0.09124041
2022-03-14,0.10359783,0.10381237
2022-03-15,0.12254493,0.12210028
2022-03-16,0.18720284,0.18648915
2022-03-17,0.11034138,0.109544955
2022-03-18,0.10900202,0.10880685
2022-03-19,0.08573649,0.08572585
2022-03-20,0.05303851,0.052770097
2022-03-21,0.08425585,0.0839233
2022-03-22,0.12865257,0.12781465
2022-03-23,0.09772234,0.09691779
2022-03-24,0.08410837,0.08414304
2022-03-25,0.08039886,0.079829976
2022-03-26,0.07616808,0.07618892
2022-03-27,0.044767544,0.044813983
2022-03-28,0.088819765,0.08909193
2022-03-29,0.11108513,0.11022598
2022-03-30,0.08259901,0.08185991
2022-03-31,0.07677868,0.076884806
2022-04-01,0.0752579,0.074567854
2022-04-02,0.06808604,0.06835258
2022-04-03,0.034937695,0.034821104
2022-04-04,0.088375114,0.08851838
2022-04-05,0.09223794,0.0916458
2022-04-06,0.075158976,0.074889876
2022-04-07,0.07217748,0.07195912
2022-04-08,0.06759434,0.06751384
2022-04-09,0.063607745,0.06362286
2022-04-10,0.032971684,0.0337471
2022-04-11,0.09452282,0.094851315
2022-04-12,0.08316474,0.08263742
2022-04-13,0.068704404,0.06858434
2022-04-14,0.063275695,0.06366898
2022-04-15,0.056957964,0.05719918
2022-04-16,0.04982531,0.05030761
2022-04-17,0.026358103,0.027005939
2022-04-18,0.08093866,0.081170075
2022-04-19,0.07338929,0.07302579
2022-04-20,0.06700484,0.06747308
2022-04-21,0.06266096,0.06256364
2022-04-22,0.0633537,0.0627636
2022-04-23,0.05711405,0.057048775
2022-04-24,0.02809744,0.02823335
2022-04-25,0.08297425,0.08351713
2022-04-26,0.07867497,0.0652024
2022-04-27,0.06871473,0.05648349
2022-04-28,0.06327365,0.062356617
2022-04-29,0.05702477,0.04988027
2022-04-30,0.051686745,0.0709741
2022-05-01,0.026622275,0.032044426
2022-05-02,0.08951225,0.06262805
2022-05-03,0.0843225,0.08035968
2022-05-04,0.08180519,0.06441392
2022-05-05,0.04750637,0.07651843
2022-05-06,0.09539213,0.056248114
2022-05-07,0.0906844,0.07189566
2022-05-08,0.043029737,0.054712243
2022-05-09,0.13163297,0.068752535
