,Actual_data,Predicted_data
2021-08-31,0.09208803,0.092362404
2021-09-01,0.07591308,0.07632832
2021-09-02,0.07376774,0.07396567
2021-09-03,0.077027254,0.0774178
2021-09-04,0.06888804,0.06895238
2021-09-05,0.06283182,0.06281749
2021-09-06,0.06461323,0.06488272
2021-09-07,0.08940716,0.08944161
2021-09-08,0.08895099,0.088785574
2021-09-09,0.088226125,0.08837554
2021-09-10,0.0855115,0.085765876
2021-09-11,0.08441072,0.084557295
2021-09-12,0.070074625,0.07026213
2021-09-13,0.066982396,0.06738653
2021-09-14,0.099401265,0.09953111
2021-09-15,0.08693402,0.08765964
2021-09-16,0.08850906,0.08877908
2021-09-17,0.0814607,0.081630945
2021-09-18,0.08453138,0.08450282
2021-09-19,0.06480616,0.06509054
2021-09-20,0.07417685,0.07402904
2021-09-21,0.06921143,0.06982768
2021-09-22,0.06952342,0.07032538
2021-09-23,0.09778464,0.09731852
2021-09-24,0.1288104,0.12897328
2021-09-25,0.09240342,0.0926253
2021-09-26,0.07546666,0.07555404
2021-09-27,0.07997671,0.079988666
2021-09-28,0.09707218,0.097384825
2021-09-29,0.08539476,0.08569889
2021-09-30,0.08096547,0.08114498
2021-10-01,0.06914686,0.0692383
2021-10-02,0.06368617,0.06407955
2021-10-03,0.04950524,0.049649574
2021-10-04,0.04521955,0.0453625
2021-10-05,0.060698725,0.060643815
2021-10-06,0.07307916,0.07278433
2021-10-07,0.06682082,0.067087874
2021-10-08,0.062082134,0.062253542
2021-10-09,0.053176273,0.05355087
2021-10-10,0.048108824,0.048209187
2021-10-11,0.04653766,0.046751823
2021-10-12,0.058295485,0.05840986
2021-10-13,0.078007735,0.077924
2021-10-14,0.07292719,0.07337525
2021-10-15,0.06423553,0.06454832
2021-10-16,0.056729097,0.056815322
2021-10-17,0.040926084,0.040967368
2021-10-18,0.035222974,0.03533758
2021-10-19,0.061045565,0.06115133
2021-10-20,0.062821865,0.062778704
2021-10-21,0.067141116,0.06748003
2021-10-22,0.073696405,0.073679075
2021-10-23,0.07106626,0.07122718
2021-10-24,0.06271995,0.06297684
2021-10-25,0.059315458,0.05956688
2021-10-26,0.1019017,0.10218821
2021-10-27,0.107866056,0.10810564
2021-10-28,0.105080865,0.10529505
2021-10-29,0.09521256,0.095466994
2021-10-30,0.10087704,0.10111637
2021-10-31,0.08297883,0.08314451
2021-11-01,0.074331805,0.07446868
2021-11-02,0.11983885,0.120046444
2021-11-03,0.10674439,0.10694093
2021-11-04,0.10542469,0.105582036
2021-11-05,0.09395079,0.09410791
2021-11-06,0.083885126,0.084207796
2021-11-07,0.06786918,0.06791503
2021-11-08,0.061793707,0.062068652
2021-11-09,0.08918546,0.089395896
2021-11-10,0.090041324,0.09006143
2021-11-11,0.08350713,0.08393429
2021-11-12,0.08700388,0.087164074
2021-11-13,0.08265445,0.08284492
2021-11-14,0.07130908,0.071369775
2021-11-15,0.06895096,0.06929865
2021-11-16,0.114840835,0.11502937
2021-11-17,0.1105303,0.110925004
2021-11-18,0.1046094,0.104796484
2021-11-19,0.099742144,0.09996467
2021-11-20,0.09230004,0.09247788
2021-11-21,0.08683861,0.08712493
2021-11-22,0.076261014,0.07642694
2021-11-23,0.10987814,0.11022315
2021-11-24,0.10655314,0.106721
2021-11-25,0.10087563,0.10108758
2021-11-26,0.104683176,0.10495902
2021-11-27,0.088668644,0.08917661
2021-11-28,0.07092034,0.07063907
2021-11-29,0.05899339,0.059241425
2021-11-30,0.108676046,0.10889379
2021-12-01,0.106908,0.10709661
2021-12-02,0.09530057,0.09571534
2021-12-03,0.100104176,0.10044915
2021-12-04,0.086169206,0.08645412
2021-12-05,0.05799013,0.05830067
2021-12-06,0.08682977,0.08684468
2021-12-07,0.11450257,0.11484035
2021-12-08,0.105383195,0.10546108
2021-12-09,0.10189939,0.10218726
2021-12-10,0.09944164,0.09983817
2021-12-11,0.08586573,0.08603979
2021-12-12,0.08427962,0.08401466
2021-12-13,0.06566488,0.06597891
2021-12-14,0.098115414,0.098246954
2021-12-15,0.09221765,0.09251491
2021-12-16,0.08389121,0.0840533
2021-12-17,0.08067383,0.08085548
2021-12-18,0.06600621,0.06627154
2021-12-19,0.053890288,0.053878892
2021-12-20,0.05556272,0.055693258
2021-12-21,0.07827751,0.07855351
2021-12-22,0.07630399,0.0762922
2021-12-23,0.06595808,0.0660778
2021-12-24,0.060344167,0.060416732
2021-12-25,0.055714723,0.05581239
2021-12-26,0.04425481,0.044256505
2021-12-27,0.039305467,0.03946119
2021-12-28,0.059763923,0.06007334
2021-12-29,0.055877198,0.05606731
2021-12-30,0.05659907,0.056540184
2021-12-31,0.051666953,0.05195938
2022-01-01,0.04372104,0.04387512
2022-01-02,0.03814976,0.03832208
2022-01-03,0.037364084,0.03742192
2022-01-04,0.058930807,0.05907004
2022-01-05,0.05335504,0.053664733
2022-01-06,0.049140114,0.049298335
2022-01-07,0.049987555,0.0501974
2022-01-08,0.051537775,0.051686905
2022-01-09,0.043617222,0.043822587
2022-01-10,0.044064224,0.044313733
2022-01-11,0.06588597,0.06626299
2022-01-12,0.061756592,0.06197819
2022-01-13,0.062152192,0.06221677
2022-01-14,0.063577436,0.06376959
2022-01-15,0.06678148,0.06683819
2022-01-16,0.058292173,0.058560792
2022-01-17,0.05711803,0.057192396
2022-01-18,0.09309681,0.093427114
2022-01-19,0.10453861,0.10472385
2022-01-20,0.11780201,0.11804876
2022-01-21,0.1164478,0.11672685
2022-01-22,0.11893864,0.119239055
2022-01-23,0.1123865,0.11263978
2022-01-24,0.108947635,0.10922781
2022-01-25,0.1891953,0.1895259
2022-01-26,0.1825747,0.1829649
2022-01-27,0.18871391,0.18901642
2022-01-28,0.17416377,0.17444712
2022-01-29,0.1533368,0.15356755
2022-01-30,0.13770083,0.13791066
2022-01-31,0.122435145,0.122644186
2022-02-01,0.11377568,0.113956496
2022-02-02,0.13087957,0.13113056
2022-02-03,0.14132805,0.14170976
2022-02-04,0.17903592,0.1793721
2022-02-05,0.14281656,0.14301567
2022-02-06,0.113467894,0.113674864
2022-02-07,0.09005757,0.09019525
2022-02-08,0.1677095,0.16803157
2022-02-09,0.15274572,0.15296717
2022-02-10,0.13442326,0.13457665
2022-02-11,0.14202411,0.14222728
2022-02-12,0.11656182,0.11667223
2022-02-13,0.10676714,0.10694822
2022-02-14,0.10772726,0.10800423
2022-02-15,0.15298563,0.15318424
2022-02-16,0.1435425,0.14377174
2022-02-17,0.1702687,0.17049389
2022-02-18,0.13744353,0.13752882
2022-02-19,0.12134171,0.12153439
2022-02-20,0.10253395,0.10275767
2022-02-21,0.10526135,0.10534841
2022-02-22,0.18710129,0.18733782
2022-02-23,0.14957896,0.1497516
2022-02-24,0.13138805,0.13149892
2022-02-25,0.12597567,0.12619832
2022-02-26,0.11294276,0.113134295
2022-02-27,0.08388965,0.0840828
2022-02-28,0.080266744,0.080389306
2022-03-01,0.13021427,0.13036238
2022-03-02,0.11372454,0.11389312
2022-03-03,0.14676099,0.14695849
2022-03-04,0.12332266,0.12352399
2022-03-05,0.108562246,0.10881132
2022-03-06,0.08290202,0.08311685
2022-03-07,0.07614843,0.07626975
2022-03-08,0.14729002,0.14757387
2022-03-09,0.12662183,0.12684073
2022-03-10,0.10300758,0.10320255
2022-03-11,0.14266221,0.14289546
2022-03-12,0.11388533,0.11406907
2022-03-13,0.091914445,0.092143565
2022-03-14,0.10359783,0.103788435
2022-03-15,0.12254493,0.12279818
2022-03-16,0.18720284,0.1875628
2022-03-17,0.11034138,0.110473596
2022-03-18,0.10900202,0.10919985
2022-03-19,0.08573649,0.08588291
2022-03-20,0.05303851,0.053156443
2022-03-21,0.08425585,0.084438145
2022-03-22,0.12865257,0.12892142
2022-03-23,0.09772234,0.09792103
2022-03-24,0.08410837,0.08428234
2022-03-25,0.08039886,0.080538705
2022-03-26,0.07616808,0.07634747
2022-03-27,0.044767544,0.044879142
2022-03-28,0.088819765,0.08899975
2022-03-29,0.11108513,0.11132143
2022-03-30,0.08259901,0.08280491
2022-03-31,0.07677868,0.07694922
2022-04-01,0.0752579,0.075378835
2022-04-02,0.06808604,0.06818329
2022-04-03,0.034937695,0.035090584
2022-04-04,0.088375114,0.08851773
2022-04-05,0.09223794,0.09243359
2022-04-06,0.075158976,0.075332016
2022-04-07,0.07217748,0.072297476
2022-04-08,0.06759434,0.06770644
2022-04-09,0.063607745,0.0637983
2022-04-10,0.032971684,0.03306649
2022-04-11,0.09452282,0.094706416
2022-04-12,0.08316474,0.083382025
2022-04-13,0.068704404,0.06877236
2022-04-14,0.063275695,0.06342844
2022-04-15,0.056957964,0.05710286
2022-04-16,0.04982531,0.049925223
2022-04-17,0.026358103,0.026430875
2022-04-18,0.08093866,0.081116386
2022-04-19,0.07338929,0.07360669
2022-04-20,0.06700484,0.06714693
2022-04-21,0.06266096,0.06278321
2022-04-22,0.0633537,0.06351479
2022-04-23,0.05711405,0.057287842
2022-04-24,0.02809744,0.028205726
2022-04-25,0.08297425,0.083149694
2022-04-26,0.07867497,0.06522956
2022-04-27,0.06871473,0.06902851
2022-04-28,0.06327365,0.06435926
2022-04-29,0.05702477,0.052426055
2022-04-30,0.051686745,0.07937799
2022-05-01,0.026622275,0.030380234
2022-05-02,0.08951225,0.07208303
2022-05-03,0.0843225,0.08402683
2022-05-04,0.08180519,0.064098425
2022-05-05,0.04750637,0.07372786
2022-05-06,0.09539213,0.06044559
2022-05-07,0.0906844,0.070015036
2022-05-08,0.043029737,0.078196265
2022-05-09,0.13163297,0.101786755
