,Actual_data,Predicted_data
2021-08-31,0.084973544,0.0853011
2021-09-01,0.05753283,0.0579019
2021-09-02,0.03457703,0.034795545
2021-09-03,0.07497157,0.0753579
2021-09-04,0.026622118,0.025521932
2021-09-05,0.03487912,0.03507567
2021-09-06,0.046425257,0.046568997
2021-09-07,0.075682946,0.07573819
2021-09-08,0.061397195,0.06157697
2021-09-09,0.0533424,0.053257767
2021-09-10,0.10028507,0.10044006
2021-09-11,0.0461092,0.045632266
2021-09-12,0.045073528,0.044935793
2021-09-13,0.24777451,0.24690601
2021-09-14,0.08187378,0.082219884
2021-09-15,0.07313364,0.072902426
2021-09-16,0.12537433,0.12542178
2021-09-17,0.1157339,0.11595759
2021-09-18,0.07430072,0.07459645
2021-09-19,0.07989144,0.080104984
2021-09-20,0.03400359,0.033985797
2021-09-21,0.03429459,0.034633003
2021-09-22,0.088772364,0.089118615
2021-09-23,0.120035626,0.12086787
2021-09-24,0.07961848,0.08003537
2021-09-25,0.06319496,0.06312489
2021-09-26,0.10721668,0.107624374
2021-09-27,0.028461838,0.028415814
2021-09-28,0.08091054,0.08105769
2021-09-29,0.11147976,0.111426756
2021-09-30,0.060352232,0.060269825
2021-10-01,0.08555933,0.08530189
2021-10-02,0.05487385,0.054723527
2021-10-03,0.023702988,0.023496127
2021-10-04,0.082928486,0.08293988
2021-10-05,0.039506376,0.039552405
2021-10-06,0.08623618,0.086484075
2021-10-07,0.07779111,0.07776551
2021-10-08,0.032113045,0.032294493
2021-10-09,0.033732552,0.03394967
2021-10-10,0.026179679,0.025728457
2021-10-11,0.057897836,0.057461437
2021-10-12,0.028403174,0.027624512
2021-10-13,0.030411726,0.029919349
2021-10-14,0.03421347,0.03363406
2021-10-15,0.012091605,0.011483592
2021-10-16,0.0,0.0011374525
2021-10-17,0.030412301,0.03146596
2021-10-18,0.0,0.00021754026
2021-10-19,0.05474244,0.054532032
2021-10-20,0.15148975,0.15175535
2021-10-21,0.020072825,0.019796198
2021-10-22,0.048958246,0.049292397
2021-10-23,0.0,-0.0008760246
2021-10-24,0.0,-0.0002702476
2021-10-25,0.18818428,0.18836741
2021-10-26,0.031364556,0.031695798
2021-10-27,0.066911235,0.0671573
2021-10-28,0.03460945,0.034768585
2021-10-29,0.14869285,0.14914478
2021-10-30,0.133825,0.13431501
2021-10-31,0.059041087,0.059368443
2021-11-01,0.14760351,0.14781116
2021-11-02,0.025736345,0.025746044
2021-11-03,0.0,-6.7930596e-05
2021-11-04,0.069222085,0.06918665
2021-11-05,0.06691504,0.06697129
2021-11-06,0.06691541,0.06706987
2021-11-07,0.03136677,0.03106042
2021-11-08,0.09124903,0.091361165
2021-11-09,0.13383299,0.13366313
2021-11-10,0.1825015,0.18263648
2021-11-11,0.16277425,0.16318174
2021-11-12,0.023899784,0.023697322
2021-11-13,0.051476598,0.05147216
2021-11-14,0.027129706,0.027240757
2021-11-15,0.1673003,0.1676346
2021-11-16,0.43408352,0.433113
2021-11-17,0.19305031,0.19318753
2021-11-18,0.048575267,0.048718974
2021-11-19,0.1115441,0.11156161
2021-11-20,0.1033443,0.103320934
2021-11-21,0.068762675,0.06907957
2021-11-22,0.10430636,0.1044283
2021-11-23,0.085704796,0.08575003
2021-11-24,0.23623283,0.23655607
2021-11-25,0.15212786,0.15312988
2021-11-26,0.10226789,0.102591716
2021-11-27,0.042547233,0.042683765
2021-11-28,0.12447872,0.12450035
2021-11-29,0.16364238,0.16388093
2021-11-30,0.13301048,0.1332752
2021-12-01,0.051833987,0.05187906
2021-12-02,0.04594861,0.045979504
2021-12-03,0.051175762,0.05164028
2021-12-04,0.10170594,0.101777576
2021-12-05,0.07818603,0.0782187
2021-12-06,0.06313529,0.06333537
2021-12-07,0.09028809,0.09054521
2021-12-08,0.0859464,0.0857599
2021-12-09,0.054893017,0.055042606
2021-12-10,0.03950554,0.039679646
2021-12-11,0.08660246,0.08693194
2021-12-12,0.0655193,0.065292746
2021-12-13,0.111012384,0.11163355
2021-12-14,0.14593649,0.14640573
2021-12-15,0.15207595,0.15217723
2021-12-16,0.12254436,0.12268773
2021-12-17,0.1937761,0.19329022
2021-12-18,0.089597404,0.08996432
2021-12-19,0.060686,0.06117932
2021-12-20,0.07876219,0.079027094
2021-12-21,0.16994604,0.1702089
2021-12-22,0.061817087,0.06183666
2021-12-23,0.11278445,0.1129819
2021-12-24,0.062656544,0.06271776
2021-12-25,0.034377627,0.034265846
2021-12-26,0.028895933,0.029147707
2021-12-27,0.052314747,0.05226728
2021-12-28,0.061391722,0.061246864
2021-12-29,0.062300757,0.062177796
2021-12-30,0.051500246,0.0515824
2021-12-31,0.04966992,0.04957286
2022-01-01,0.040640794,0.04054347
2022-01-02,0.035171065,0.035229612
2022-01-03,0.039518278,0.03984861
2022-01-04,0.06333758,0.063235804
2022-01-05,0.07544972,0.075361475
2022-01-06,0.05893153,0.058832016
2022-01-07,0.05538075,0.055119444
2022-01-08,0.062581405,0.06256471
2022-01-09,0.062285595,0.06198555
2022-01-10,0.07558216,0.075983234
2022-01-11,0.06676415,0.06686509
2022-01-12,0.034528855,0.034906037
2022-01-13,0.042370047,0.042286906
2022-01-14,0.0833959,0.083348274
2022-01-15,0.11740768,0.11789598
2022-01-16,0.03194949,0.031946152
2022-01-17,0.12512314,0.12498513
2022-01-18,0.13283601,0.13294712
2022-01-19,0.043975893,0.044386152
2022-01-20,0.08686258,0.087328084
2022-01-21,0.060397826,0.060303453
2022-01-22,0.120799586,0.12083929
2022-01-23,0.1574505,0.15743813
2022-01-24,0.30073822,0.30103064
2022-01-25,0.27302682,0.27354363
2022-01-26,0.22060126,0.22111705
2022-01-27,0.14288028,0.14340544
2022-01-28,0.09061826,0.090842
2022-01-29,0.15503137,0.1551291
2022-01-30,0.14320064,0.14356853
2022-01-31,0.1753263,0.17532687
2022-02-01,0.19997048,0.1997309
2022-02-02,0.16977485,0.16997807
2022-02-03,0.26798204,0.26828635
2022-02-04,0.2524699,0.25253388
2022-02-05,0.18520232,0.18529515
2022-02-06,0.0,9.353232e-06
2022-02-07,0.30463535,0.30426633
2022-02-08,0.13730948,0.13735507
2022-02-09,0.11891775,0.11895536
2022-02-10,0.13343006,0.13309075
2022-02-11,0.11833824,0.11815085
2022-02-12,0.12665658,0.12667044
2022-02-13,0.10596173,0.10594454
2022-02-14,0.11533464,0.11552616
2022-02-15,0.17867845,0.1786126
2022-02-16,0.14800924,0.14792016
2022-02-17,0.14238285,0.1423586
2022-02-18,0.1263123,0.12612925
2022-02-19,0.11502263,0.115044296
2022-02-20,0.10610693,0.10607942
2022-02-21,0.09665993,0.0966072
2022-02-22,0.15799516,0.15819639
2022-02-23,0.14286931,0.14287218
2022-02-24,0.12774543,0.12807924
2022-02-25,0.11080736,0.1106515
2022-02-26,0.09569465,0.09605694
2022-02-27,0.08247734,0.082449295
2022-02-28,0.08306468,0.082745
2022-03-01,0.12885967,0.12895663
2022-03-02,0.08817188,0.08833161
2022-03-03,0.1324942,0.1327836
2022-03-04,0.11507249,0.11501884
2022-03-05,0.10369049,0.103833884
2022-03-06,0.08324866,0.08325746
2022-03-07,0.09366137,0.0937314
2022-03-08,0.14765398,0.14801884
2022-03-09,0.12195652,0.12215185
