,Actual_data,Predicted_data
2021-08-31,0.084973544,0.08426662
2021-09-01,0.05753283,0.05765091
2021-09-02,0.03457703,0.03435858
2021-09-03,0.07497157,0.07407911
2021-09-04,0.026622118,0.025741825
2021-09-05,0.03487912,0.034319215
2021-09-06,0.046425257,0.04733157
2021-09-07,0.075682946,0.07527535
2021-09-08,0.061397195,0.061677307
2021-09-09,0.0533424,0.05239222
2021-09-10,0.10028507,0.09906276
2021-09-11,0.0461092,0.045797866
2021-09-12,0.045073528,0.04419798
2021-09-13,0.24777451,0.24685867
2021-09-14,0.08187378,0.08098755
2021-09-15,0.07313364,0.07347405
2021-09-16,0.12537433,0.12473347
2021-09-17,0.1157339,0.11493981
2021-09-18,0.07430072,0.07407665
2021-09-19,0.07989144,0.07942241
2021-09-20,0.03400359,0.033357207
2021-09-21,0.03429459,0.03431103
2021-09-22,0.088772364,0.087888986
2021-09-23,0.120035626,0.11949921
2021-09-24,0.07961848,0.0794703
2021-09-25,0.06319496,0.06275768
2021-09-26,0.10721668,0.10695609
2021-09-27,0.028461838,0.028032703
2021-09-28,0.08091054,0.08021938
2021-09-29,0.11147976,0.11084859
2021-09-30,0.060352232,0.06038286
2021-10-01,0.08555933,0.084324226
2021-10-02,0.05487385,0.054972615
2021-10-03,0.023702988,0.022665113
2021-10-04,0.082928486,0.08251977
2021-10-05,0.039506376,0.038862832
2021-10-06,0.08623618,0.086005956
2021-10-07,0.07779111,0.07727136
2021-10-08,0.032113045,0.033116736
2021-10-09,0.033732552,0.033423062
2021-10-10,0.026179679,0.025946315
2021-10-11,0.057897836,0.05802493
2021-10-12,0.028403174,0.0284672
2021-10-13,0.030411726,0.030632429
2021-10-14,0.03421347,0.033657435
2021-10-15,0.012091605,0.011459296
2021-10-16,0.0,-8.7450455e-05
2021-10-17,0.030412301,0.030342123
2021-10-18,0.0,0.0005667179
2021-10-19,0.05474244,0.052890554
2021-10-20,0.15148975,0.15112396
2021-10-21,0.020072825,0.019638674
2021-10-22,0.048958246,0.048854504
2021-10-23,0.0,0.00072942756
2021-10-24,0.0,0.00015466468
2021-10-25,0.18818428,0.1877361
2021-10-26,0.031364556,0.031101074
2021-10-27,0.066911235,0.066512205
2021-10-28,0.03460945,0.03425348
2021-10-29,0.14869285,0.14797212
2021-10-30,0.133825,0.13318977
2021-10-31,0.059041087,0.058295406
2021-11-01,0.14760351,0.14686674
2021-11-02,0.025736345,0.024858475
2021-11-03,0.0,-0.00068353623
2021-11-04,0.069222085,0.06845456
2021-11-05,0.06691504,0.06612165
2021-11-06,0.06691541,0.066480055
2021-11-07,0.03136677,0.03192161
2021-11-08,0.09124903,0.090971775
2021-11-09,0.13383299,0.13273695
2021-11-10,0.1825015,0.1810267
2021-11-11,0.16277425,0.16179898
2021-11-12,0.023899784,0.023835594
2021-11-13,0.051476598,0.050907772
2021-11-14,0.027129706,0.02669202
2021-11-15,0.1673003,0.16678058
2021-11-16,0.43408352,0.4323255
2021-11-17,0.19305031,0.19208448
2021-11-18,0.048575267,0.048208497
2021-11-19,0.1115441,0.11074065
2021-11-20,0.1033443,0.10282019
2021-11-21,0.068762675,0.06844689
2021-11-22,0.10430636,0.10437006
2021-11-23,0.085704796,0.085019425
2021-11-24,0.23623283,0.2355357
2021-11-25,0.15212786,0.1517027
2021-11-26,0.10226789,0.1017538
2021-11-27,0.042547233,0.04321778
2021-11-28,0.12447872,0.12447158
2021-11-29,0.16364238,0.16334593
2021-11-30,0.13301048,0.13279293
2021-12-01,0.051833987,0.051946484
2021-12-02,0.04594861,0.046090584
2021-12-03,0.051175762,0.05123513
2021-12-04,0.10170594,0.10164741
2021-12-05,0.07818603,0.07764986
2021-12-06,0.06313529,0.06303785
2021-12-07,0.09028809,0.09080195
2021-12-08,0.0859464,0.08589444
2021-12-09,0.054893017,0.054590162
2021-12-10,0.03950554,0.03966899
2021-12-11,0.08660246,0.08707467
2021-12-12,0.0655193,0.0658047
2021-12-13,0.111012384,0.11092714
2021-12-14,0.14593649,0.14559402
2021-12-15,0.15207595,0.15145774
2021-12-16,0.12254436,0.12224738
2021-12-17,0.1937761,0.19344445
2021-12-18,0.089597404,0.08915322
2021-12-19,0.060686,0.060698334
2021-12-20,0.07876219,0.078307234
2021-12-21,0.16994604,0.16929714
2021-12-22,0.061817087,0.06215963
2021-12-23,0.11278445,0.11254913
2021-12-24,0.062656544,0.06268994
2021-12-25,0.034377627,0.03441913
2021-12-26,0.028895933,0.028060071
2021-12-27,0.052314747,0.05226137
2021-12-28,0.061391722,0.061723996
2021-12-29,0.062300757,0.06165214
2021-12-30,0.051500246,0.051784866
2021-12-31,0.04966992,0.049912713
2022-01-01,0.040640794,0.040809516
2022-01-02,0.035171065,0.03491113
2022-01-03,0.039518278,0.039139368
2022-01-04,0.06333758,0.062861554
2022-01-05,0.07544972,0.074767254
2022-01-06,0.05893153,0.059132773
2022-01-07,0.05538075,0.05535985
2022-01-08,0.062581405,0.062018227
2022-01-09,0.062285595,0.062406432
2022-01-10,0.07558216,0.07551381
2022-01-11,0.06676415,0.06616306
2022-01-12,0.034528855,0.034711268
2022-01-13,0.042370047,0.042655084
2022-01-14,0.0833959,0.08313264
2022-01-15,0.11740768,0.117307045
2022-01-16,0.03194949,0.03133398
2022-01-17,0.12512314,0.123754404
2022-01-18,0.13283601,0.13249819
2022-01-19,0.043975893,0.04314338
2022-01-20,0.08686258,0.086202964
2022-01-21,0.060397826,0.06024722
2022-01-22,0.120799586,0.11990746
2022-01-23,0.1574505,0.15674226
2022-01-24,0.30073822,0.2995746
2022-01-25,0.27302682,0.27127695
2022-01-26,0.22060126,0.2190965
2022-01-27,0.14288028,0.14213589
2022-01-28,0.09061826,0.09005449
2022-01-29,0.15503137,0.15402913
2022-01-30,0.14320064,0.14180298
2022-01-31,0.1753263,0.17396386
2022-02-01,0.19997048,0.1990432
2022-02-02,0.16977485,0.16835426
2022-02-03,0.26798204,0.26641977
2022-02-04,0.2524699,0.2509047
2022-02-05,0.18520232,0.18434681
2022-02-06,0.0,0.0006732241
2022-02-07,0.30463535,0.30334526
2022-02-08,0.13730948,0.1365842
2022-02-09,0.11891775,0.11812376
2022-02-10,0.13343006,0.1326138
2022-02-11,0.11833824,0.11796054
2022-02-12,0.12665658,0.12645204
2022-02-13,0.10596173,0.10571133
2022-02-14,0.11533464,0.11485137
2022-02-15,0.17867845,0.17806436
2022-02-16,0.14800924,0.14763206
2022-02-17,0.14238285,0.1427051
2022-02-18,0.1263123,0.12647445
2022-02-19,0.11502263,0.115507625
2022-02-20,0.10610693,0.106306046
2022-02-21,0.09665993,0.09643391
2022-02-22,0.15799516,0.15792696
2022-02-23,0.14286931,0.1427955
2022-02-24,0.12774543,0.12885019
2022-02-25,0.11080736,0.11136595
2022-02-26,0.09569465,0.09560064
2022-02-27,0.08247734,0.08250667
2022-02-28,0.08306468,0.083599314
2022-03-01,0.12885967,0.12815095
2022-03-02,0.08817188,0.088751264
2022-03-03,0.1324942,0.13263962
2022-03-04,0.11507249,0.11436562
2022-03-05,0.10369049,0.103715196
2022-03-06,0.08324866,0.08284446
2022-03-07,0.09366137,0.093790516
2022-03-08,0.14765398,0.14709412
2022-03-09,0.12195652,0.12147386
2022-03-10,0.11060163,0.11004557
2022-03-11,0.14561768,0.14534606
2022-03-12,0.12576553,0.1256443
2022-03-13,0.10904911,0.10909898
2022-03-14,0.12174763,0.1211503
2022-03-15,0.09262647,0.0928686
2022-03-16,0.23423463,0.23362742
2022-03-17,0.12162141,0.12104007
2022-03-18,0.116952166,0.11631216
2022-03-19,0.0701033,0.07018343
2022-03-20,0.08423976,0.08453152
2022-03-21,0.11525451,0.11460688
2022-03-22,0.11410023,0.11314167
2022-03-23,0.12113906,0.12112099
2022-03-24,0.10896229,0.10846708
2022-03-25,0.09131302,0.09095145
2022-03-26,0.07106144,0.070485815
2022-03-27,0.06775469,0.06714346
2022-03-28,0.07604501,0.075701125
2022-03-29,0.13171451,0.13181917
2022-03-30,0.11640549,0.11553241
2022-03-31,0.08533489,0.085527584
2022-04-01,0.07552751,0.07575237
2022-04-02,0.064204134,0.063283406
2022-04-03,0.053741854,0.05382085
2022-04-04,0.07574863,0.07552451
2022-04-05,0.07610211,0.07510177
2022-04-06,0.09574737,0.09538626
2022-04-07,0.07169799,0.07086564
2022-04-08,0.05960033,0.059307437
2022-04-09,0.05668333,0.05721454
2022-04-10,0.047792442,0.046647575
2022-04-11,0.08089382,0.07986659
2022-04-12,0.064215176,0.06637172
