,Actual_data,Predicted_data
2021-08-31,0.09448709,0.094541624
2021-09-01,0.09230179,0.092372715
2021-09-02,0.090584435,0.09071756
2021-09-03,0.07534937,0.07548635
2021-09-04,0.07653804,0.07651483
2021-09-05,0.061924,0.06197976
2021-09-06,0.06466989,0.06476302
2021-09-07,0.0876455,0.08767561
2021-09-08,0.07882684,0.07883522
2021-09-09,0.08720833,0.08731148
2021-09-10,0.09436265,0.094232105
2021-09-11,0.10309045,0.10320743
2021-09-12,0.10132089,0.10135215
2021-09-13,0.07863804,0.07858022
2021-09-14,0.1007652,0.10085979
2021-09-15,0.08212119,0.08212238
2021-09-16,0.083822645,0.08385921
2021-09-17,0.08622035,0.08634994
2021-09-18,0.104355834,0.104200445
2021-09-19,0.052284554,0.052236885
2021-09-20,0.07193143,0.07189506
2021-09-21,0.0781137,0.078210995
2021-09-22,0.05565843,0.055672318
2021-09-23,0.07286447,0.072866865
2021-09-24,0.10354511,0.10389948
2021-09-25,0.08608257,0.08604148
2021-09-26,0.0712723,0.07138979
2021-09-27,0.060639475,0.06048885
2021-09-28,0.07596302,0.07596983
2021-09-29,0.073367245,0.0736672
2021-09-30,0.07839895,0.07841893
2021-10-01,0.056699287,0.056805797
2021-10-02,0.063524544,0.06356934
2021-10-03,0.061218765,0.061112937
2021-10-04,0.053428214,0.053549025
2021-10-05,0.067959465,0.06787623
2021-10-06,0.10298425,0.10304367
2021-10-07,0.0629183,0.06314943
2021-10-08,0.06477567,0.064641826
2021-10-09,0.048651144,0.048576947
2021-10-10,0.038398635,0.038507383
2021-10-11,0.044938944,0.04491252
2021-10-12,0.048845835,0.048768353
2021-10-13,0.08387529,0.083693966
2021-10-14,0.056907665,0.057019703
2021-10-15,0.06341335,0.0634067
2021-10-16,0.0676479,0.0677439
2021-10-17,0.053380586,0.053329203
2021-10-18,0.059710883,0.05965696
2021-10-19,0.0705714,0.07057434
2021-10-20,0.06905057,0.06903174
2021-10-21,0.08484347,0.084914654
2021-10-22,0.074693106,0.07474075
2021-10-23,0.0738751,0.07402759
2021-10-24,0.068466485,0.068514995
2021-10-25,0.051895276,0.052122228
2021-10-26,0.08809286,0.08814791
2021-10-27,0.09398702,0.093963414
2021-10-28,0.09087078,0.090845235
2021-10-29,0.08264385,0.082833536
2021-10-30,0.10410303,0.10414833
2021-10-31,0.081633925,0.08167307
2021-11-01,0.07074079,0.07083583
2021-11-02,0.113159485,0.11309536
2021-11-03,0.10114814,0.1012621
2021-11-04,0.08712762,0.0871707
2021-11-05,0.08054884,0.080550164
2021-11-06,0.08765266,0.08766219
2021-11-07,0.052075233,0.052134633
2021-11-08,0.058922954,0.059042174
2021-11-09,0.08279154,0.0828342
2021-11-10,0.09569414,0.09562708
2021-11-11,0.05989032,0.060100924
2021-11-12,0.08334728,0.083419874
2021-11-13,0.07668696,0.07675297
2021-11-14,0.05016863,0.05022241
2021-11-15,0.06523078,0.06539748
2021-11-16,0.07847849,0.07854961
2021-11-17,0.09739773,0.0975378
2021-11-18,0.0928034,0.09287245
2021-11-19,0.09901015,0.09895368
2021-11-20,0.097179145,0.09704924
2021-11-21,0.07435475,0.07405966
2021-11-22,0.058805294,0.058657393
2021-11-23,0.09833428,0.098444596
2021-11-24,0.112613544,0.112538695
2021-11-25,0.10415801,0.10408823
2021-11-26,0.11484296,0.11503246
2021-11-27,0.10576223,0.10586775
2021-11-28,0.08474919,0.0850255
2021-11-29,0.06669014,0.06655493
2021-11-30,0.110911176,0.11083724
2021-12-01,0.114348255,0.114474155
2021-12-02,0.09409086,0.094197676
2021-12-03,0.08401299,0.08446661
2021-12-04,0.09741574,0.097463384
2021-12-05,0.084149785,0.08395498
2021-12-06,0.06732469,0.067401245
2021-12-07,0.11256129,0.11269777
2021-12-08,0.12252636,0.12238088
2021-12-09,0.10838258,0.10825606
2021-12-10,0.103005715,0.102837965
2021-12-11,0.097901255,0.09797414
2021-12-12,0.08031837,0.08022744
2021-12-13,0.069454685,0.06926707
2021-12-14,0.09217146,0.09214721
2021-12-15,0.09619896,0.096095674
2021-12-16,0.10465935,0.10463117
2021-12-17,0.104776725,0.10480999
2021-12-18,0.081651405,0.08162759
2021-12-19,0.06057055,0.060697064
2021-12-20,0.06131717,0.061346125
2021-12-21,0.07492337,0.07465921
2021-12-22,0.06555212,0.065756835
