,Actual_data,Predicted_data
2021-08-31,0.09091905,0.09089622
2021-09-01,0.09877263,0.09872521
2021-09-02,0.08318601,0.08320675
2021-09-03,0.101157986,0.10110707
2021-09-04,0.07281514,0.07291242
2021-09-05,0.0605216,0.060559925
2021-09-06,0.08346273,0.08373783
2021-09-07,0.080514595,0.080781594
2021-09-08,0.14459404,0.14469151
2021-09-09,0.07111198,0.07110393
2021-09-10,0.08142946,0.081582405
2021-09-11,0.06818252,0.06816964
2021-09-12,0.049973983,0.050132096
2021-09-13,0.050924424,0.051084477
2021-09-14,0.07206646,0.072239414
2021-09-15,0.042429578,0.042520743
2021-09-16,0.04940142,0.049509946
2021-09-17,0.06584653,0.06581061
2021-09-18,0.043409877,0.04347132
2021-09-19,0.032173138,0.03221227
2021-09-20,0.04373701,0.043756947
2021-09-21,0.0626886,0.06284659
2021-09-22,0.05583846,0.055854328
2021-09-23,0.086261496,0.08635682
2021-09-24,0.10746043,0.10740472
2021-09-25,0.08656584,0.086555935
2021-09-26,0.090447515,0.09049433
2021-09-27,0.05440558,0.054542854
2021-09-28,0.088374816,0.08844003
2021-09-29,0.069501445,0.0694992
2021-09-30,0.06871091,0.06863674
2021-10-01,0.058140744,0.058154438
2021-10-02,0.05144656,0.051541176
2021-10-03,0.049281213,0.049407415
2021-10-04,0.03952571,0.039727166
2021-10-05,0.08124966,0.081317715
2021-10-06,0.06073522,0.06084729
2021-10-07,0.07024418,0.070283
2021-10-08,0.069112904,0.06915583
2021-10-09,0.038540825,0.038611997
2021-10-10,0.032871816,0.03278718
2021-10-11,0.080535516,0.08062553
2021-10-12,0.047439527,0.047452513
2021-10-13,0.06974452,0.06998337
2021-10-14,0.04992941,0.050012726
2021-10-15,0.06150955,0.06162195
2021-10-16,0.070729084,0.07064105
2021-10-17,0.053047918,0.05310172
2021-10-18,0.06524099,0.06542453
2021-10-19,0.06945884,0.06964536
2021-10-20,0.07417622,0.07419284
2021-10-21,0.04613747,0.04608215
2021-10-22,0.07603774,0.07613334
2021-10-23,0.119308874,0.11934897
2021-10-24,0.04743102,0.047505144
2021-10-25,0.07002423,0.07004618
2021-10-26,0.10644011,0.10653019
2021-10-27,0.14158313,0.14154999
2021-10-28,0.11075447,0.11083273
2021-10-29,0.08631612,0.086333975
2021-10-30,0.09313836,0.09320719
2021-10-31,0.068757,0.06868595
2021-11-01,0.098927386,0.09907487
2021-11-02,0.12529051,0.12556879
2021-11-03,0.11368979,0.11380667
2021-11-04,0.13451086,0.13461216
2021-11-05,0.07219779,0.072342634
2021-11-06,0.07149381,0.07149358
2021-11-07,0.067018524,0.06710907
2021-11-08,0.06250616,0.062627085
2021-11-09,0.05919745,0.0593261
2021-11-10,0.051085547,0.051002063
2021-11-11,0.062308673,0.062395446
2021-11-12,0.082096495,0.082185395
2021-11-13,0.056322012,0.05640646
2021-11-14,0.059950043,0.060019057
2021-11-15,0.04371761,0.043749727
2021-11-16,0.07603012,0.0760979
2021-11-17,0.08972344,0.08985677
2021-11-18,0.061679617,0.06180273
2021-11-19,0.08663124,0.0867894
2021-11-20,0.054453943,0.05456123
2021-11-21,0.055673823,0.055719707
2021-11-22,0.092852846,0.09284057
2021-11-23,0.34391397,0.3443635
2021-11-24,0.10300067,0.10300799
2021-11-25,0.07555482,0.07564519
2021-11-26,0.066950515,0.0670827
2021-11-27,0.10377443,0.10379268
2021-11-28,0.04300135,0.043025028
2021-11-29,0.065933384,0.066202015
2021-11-30,0.07496679,0.07495748
2021-12-01,0.115412325,0.11554433
2021-12-02,0.11491577,0.11494798
2021-12-03,0.09129681,0.09144976
2021-12-04,0.114827186,0.114779934
2021-12-05,0.09565128,0.09568059
2021-12-06,0.077119,0.07708242
2021-12-07,0.11227576,0.11240208
2021-12-08,0.12031663,0.12055864
2021-12-09,0.088123076,0.08806675
2021-12-10,0.08628909,0.08632555
2021-12-11,0.10490229,0.10478478
2021-12-12,0.08938686,0.08945965
2021-12-13,0.09230662,0.09222306
2021-12-14,0.08924399,0.089537695
2021-12-15,0.07319362,0.073263235
2021-12-16,0.08299827,0.08317575
2021-12-17,0.096298635,0.09632663
2021-12-18,0.079672016,0.07972006
2021-12-19,0.07032501,0.070532285
2021-12-20,0.06131982,0.061350934
2021-12-21,0.061434925,0.06150397
2021-12-22,0.06835711,0.06836875
