,Actual_data,Predicted_data
2021-08-31,0.08873378,0.08843299
2021-09-01,0.047523115,0.047285426
2021-09-02,0.05594514,0.05540469
2021-09-03,0.057440937,0.05696563
2021-09-04,0.03324844,0.033203863
2021-09-05,0.049751967,0.04963367
2021-09-06,0.07767843,0.077424064
2021-09-07,0.08308152,0.08297923
2021-09-08,0.07341905,0.073062584
2021-09-09,0.071993865,0.07166109
2021-09-10,0.06764728,0.067597024
2021-09-11,0.10501259,0.104763016
2021-09-12,0.07892554,0.078783385
2021-09-13,0.04767779,0.04723836
2021-09-14,0.082879774,0.08255828
2021-09-15,0.094369635,0.09393844
2021-09-16,0.082515456,0.081981815
2021-09-17,0.090037584,0.089903496
2021-09-18,0.07505672,0.0750153
2021-09-19,0.074343525,0.07437499
2021-09-20,0.05441532,0.05397022
2021-09-21,0.05541777,0.05620642
2021-09-22,0.052604526,0.052878726
2021-09-23,0.1284064,0.1279628
2021-09-24,0.12117682,0.121041596
2021-09-25,0.097140566,0.09647365
2021-09-26,0.118650146,0.118053384
2021-09-27,0.105575055,0.105343655
2021-09-28,0.14077991,0.14029615
2021-09-29,0.09480003,0.094516106
2021-09-30,0.05879199,0.058435082
2021-10-01,0.09018062,0.08978021
2021-10-02,0.064305894,0.063972935
2021-10-03,0.06347611,0.063269995
2021-10-04,0.06275652,0.062517144
2021-10-05,0.052922357,0.053094268
2021-10-06,0.10151305,0.10118133
2021-10-07,0.08229063,0.08194894
2021-10-08,0.0818746,0.081622414
2021-10-09,0.09546422,0.094796464
2021-10-10,0.07412036,0.07389693
2021-10-11,0.08555734,0.08534622
2021-10-12,0.1077906,0.10743291
2021-10-13,0.058512695,0.058176387
2021-10-14,0.059452426,0.058812585
2021-10-15,0.0845274,0.084776595
2021-10-16,0.048471514,0.048084956
2021-10-17,0.03531312,0.03489895
2021-10-18,0.052091185,0.051971093
2021-10-19,0.085792474,0.08583821
2021-10-20,0.06825636,0.06795658
2021-10-21,0.05133615,0.051002238
2021-10-22,0.057773035,0.0575921
2021-10-23,0.050110385,0.0500195
2021-10-24,0.05657063,0.05680841
2021-10-25,0.04416829,0.044066127
2021-10-26,0.04217166,0.042483214
2021-10-27,0.08426893,0.08378097
2021-10-28,0.055214327,0.054587755
2021-10-29,0.07408085,0.07413162
2021-10-30,0.04514759,0.044869717
2021-10-31,0.03589175,0.0358224
2021-11-01,0.04158547,0.04120323
2021-11-02,0.08583608,0.08596196
2021-11-03,0.087312944,0.08686267
2021-11-04,0.06624672,0.06579112
2021-11-05,0.082477905,0.081555195
2021-11-06,0.104176134,0.10408355
2021-11-07,0.0656342,0.06540093
2021-11-08,0.032302026,0.032105003
2021-11-09,0.06062332,0.06046545
2021-11-10,0.06623367,0.065825425
2021-11-11,0.052586693,0.052311443
2021-11-12,0.047377706,0.046845
2021-11-13,0.058369115,0.05843984
2021-11-14,0.038913406,0.038711447
2021-11-15,0.060925722,0.060253114
2021-11-16,0.060403813,0.0600843
2021-11-17,0.058605503,0.0583726
2021-11-18,0.047309466,0.047256827
2021-11-19,0.08336957,0.0832288
2021-11-20,0.05014266,0.049587794
2021-11-21,0.07122534,0.07097677
2021-11-22,0.05616701,0.056054164
2021-11-23,0.1114019,0.110309064
2021-11-24,0.10597748,0.10523815
2021-11-25,0.06703014,0.066483706
2021-11-26,0.10484826,0.10484488
2021-11-27,0.06445465,0.06395957
2021-11-28,0.085520044,0.08521417
2021-11-29,0.14721149,0.14641601
2021-11-30,0.11121475,0.111459054
2021-12-01,0.1085336,0.10825577
2021-12-02,0.20449878,0.20409597
2021-12-03,0.10165814,0.10133981
2021-12-04,0.14317611,0.14303534
2021-12-05,0.09301071,0.09260816
2021-12-06,0.11991823,0.119152375
2021-12-07,0.08393673,0.08439259
2021-12-08,0.123062655,0.12274492
2021-12-09,0.11746633,0.11700844
2021-12-10,0.09323538,0.09272429
2021-12-11,0.09884992,0.0985313
2021-12-12,0.077946834,0.0784219
2021-12-13,0.0845032,0.08398694
2021-12-14,0.10052748,0.09980971
2021-12-15,0.13532357,0.13461529
2021-12-16,0.10663769,0.10642043
2021-12-17,0.10316566,0.10249776
2021-12-18,0.07068934,0.0701937
2021-12-19,0.051855832,0.05132584
2021-12-20,0.0674134,0.06702179
2021-12-21,0.09254535,0.092520945
2021-12-22,0.061126586,0.06092122
2021-12-23,0.06577378,0.065623984
2021-12-24,0.060124394,0.059810285
2021-12-25,0.0571476,0.057053454
2021-12-26,0.045938693,0.045708597
2021-12-27,0.047849372,0.04735921
2021-12-28,0.075512804,0.07494363
2021-12-29,0.059994083,0.059600614
2021-12-30,0.05850307,0.05834467
2021-12-31,0.0858638,0.08532224
2022-01-01,0.04207663,0.041648142
2022-01-02,0.04099158,0.040631816
2022-01-03,0.05418866,0.053714707
2022-01-04,0.061938707,0.061799143
2022-01-05,0.04313569,0.043004222
2022-01-06,0.089687236,0.08949693
2022-01-07,0.052871108,0.052435182
2022-01-08,0.03495677,0.035104502
2022-01-09,0.03232938,0.032416496
2022-01-10,0.060323037,0.060206097
2022-01-11,0.07690277,0.07707044
2022-01-12,0.0716427,0.07158492
2022-01-13,0.08407796,0.083677255
2022-01-14,0.100174434,0.09952276
2022-01-15,0.048286777,0.04805759
2022-01-16,0.052714784,0.052552443
2022-01-17,0.07325467,0.07267996
2022-01-18,0.102693744,0.102045104
2022-01-19,0.21955815,0.21918252
2022-01-20,0.09232713,0.09204199
2022-01-21,0.1617334,0.16118385
2022-01-22,0.10746676,0.10714786
2022-01-23,0.13377312,0.133671
2022-01-24,0.10207448,0.10177347
2022-01-25,0.19235027,0.19192296
2022-01-26,0.20117922,0.2007281
2022-01-27,0.1767061,0.1762896
2022-01-28,0.16156685,0.16106927
2022-01-29,0.16376895,0.16322912
2022-01-30,0.14519511,0.14464706
2022-01-31,0.14842609,0.14795786
2022-02-01,0.14726007,0.14666624
2022-02-02,0.16367872,0.1631712
2022-02-03,0.16222976,0.16184457
2022-02-04,0.1761383,0.17582008
2022-02-05,0.1897513,0.18932426
2022-02-06,0.15122348,0.15078656
2022-02-07,0.12146986,0.12105681
2022-02-08,0.19017604,0.18968901
2022-02-09,0.12960136,0.1290646
2022-02-10,0.12676147,0.12637873
2022-02-11,0.116202936,0.11581862
2022-02-12,0.123436645,0.12312251
2022-02-13,0.13137658,0.130806
2022-02-14,0.1029429,0.102478534
2022-02-15,0.15972799,0.15972038
2022-02-16,0.14022052,0.13966139
2022-02-17,0.15012991,0.14973518
2022-02-18,0.12689525,0.12645869
2022-02-19,0.11324744,0.11287287
2022-02-20,0.10216958,0.10202717
2022-02-21,0.095191635,0.09521822
2022-02-22,0.14305936,0.1422381
2022-02-23,0.16581927,0.16525376
2022-02-24,0.13515064,0.13501269
2022-02-25,0.11851829,0.11814109
2022-02-26,0.11878052,0.11844139
2022-02-27,0.08244558,0.08198726
2022-02-28,0.09125294,0.09058984
2022-03-01,0.13806193,0.13806838
2022-03-02,0.11119868,0.110832244
2022-03-03,0.14708056,0.14693354
2022-03-04,0.14019799,0.13997263
2022-03-05,0.11630218,0.11569988
2022-03-06,0.08591033,0.08572906
2022-03-07,0.09660416,0.09676195
2022-03-08,0.14636669,0.14550842
2022-03-09,0.13020562,0.12965886
2022-03-10,0.11154637,0.111565456
2022-03-11,0.13317372,0.13268547
2022-03-12,0.12622716,0.12581146
2022-03-13,0.09918442,0.09914566
2022-03-14,0.12391321,0.12357723
2022-03-15,0.14615203,0.1459642
2022-03-16,0.17709951,0.17664593
2022-03-17,0.11027421,0.10978321
2022-03-18,0.10450342,0.10417318
2022-03-19,0.096053466,0.09580409
2022-03-20,0.044551484,0.04437652
2022-03-21,0.09802883,0.097744875
2022-03-22,0.13356912,0.13293813
