,Actual_data,Predicted_data
2020-05-08,0.0,-0.0061770873
2020-05-09,0.0,-0.0054500583
2020-05-10,0.0,-0.008006739
2020-05-11,0.0,-0.006744368
2020-05-12,0.0,-0.006843937
2020-05-13,1.000035,0.9536399
2020-05-14,0.0,-0.004526514
2020-05-15,0.0,-0.0063425144
2020-05-16,0.0,-0.008180259
2020-05-17,0.0,-0.021731574
2020-05-18,0.0,-0.009826838
2020-05-19,0.0,-0.00753414
2020-05-20,0.0,-0.008815334
2020-05-21,0.0,-0.0061867894
2020-05-22,0.0,-0.013167628
2020-05-23,0.5000179,0.43500978
2020-05-24,0.0,-0.020708669
2020-05-25,0.0,-0.00772532
2020-05-26,0.0,-0.011252416
2020-05-27,0.0,-0.009924575
2020-05-28,0.0,-0.004696442
2020-05-29,1.0000364,0.96441483
2020-05-30,0.0,-0.0060398276
2020-05-31,0.0,-0.0046511656
2020-06-01,0.0,-0.0074770604
2020-06-02,0.0,-0.0058542816
2020-06-03,0.0,-0.009092239
2020-06-04,0.0,-0.005867441
2020-06-05,0.50001854,0.49100214
2020-06-06,0.0,-0.002734612
2020-06-07,0.0,-0.0035297344
2020-06-08,0.0,-0.0030567027
2020-06-09,0.50001884,0.4586532
2020-06-10,0.0,-0.008555808
2020-06-11,0.0,-0.020303387
2020-06-12,0.0,-0.007579014
2020-06-13,0.5000192,0.4626358
2020-06-14,0.0,-0.0034364397
2020-06-15,0.0,-0.007208294
2020-06-16,0.0,-0.0051974915
2020-06-17,0.0,-0.0049569816
2020-06-18,0.0,-0.008356819
2020-06-19,0.0,-0.004893821
2020-06-20,1.000039,0.9770219
2020-06-21,0.0,-0.0038572948
2020-06-22,0.0,-0.0027673398
2020-06-23,0.25001007,0.23915657
2020-06-24,0.0,-0.006631341
2020-06-25,0.25001022,0.24061719
2020-06-26,0.0,-0.005246345
2020-06-27,0.0,-0.006613025
2020-06-28,0.0,-0.008291349
2020-06-29,0.2500104,0.23176275
2020-06-30,0.0,-0.006695947
2020-07-01,0.0,-0.0023802854
2020-07-02,0.0,-0.0064610704
2020-07-03,0.0,-0.007217981
2020-07-04,0.20000844,0.18931068
2020-07-05,0.25001073,0.21704105
2020-07-06,0.0,-0.0050658504
2020-07-07,0.0,-0.004224289
2020-07-08,0.0,-0.0054166154
2020-07-09,0.0,-0.008904635
2020-07-10,0.0,-0.008183151
2020-07-11,0.0,-0.0053056153
2020-07-12,0.6666957,0.62468284
2020-07-13,0.0,-0.0043124426
2020-07-14,0.0,-0.008084833
2020-07-15,0.7500336,0.7249687
2020-07-16,0.0,-0.005264795
2020-07-17,0.0,-0.005766754
2020-07-18,0.0,-0.005343127
2020-07-19,0.0,-0.006433335
2020-07-20,0.0,-0.005456422
2020-07-21,0.0,-0.016851151
2020-07-22,0.0,-0.004276779
2020-07-23,0.0,-0.0043548127
2020-07-24,0.0,-0.008185505
2020-07-25,0.0,-0.0063662706
2020-07-26,0.0,-0.0071833306
2020-07-27,0.0,-0.004431237
2020-07-28,0.0,-0.020738773
2020-07-29,0.0,-0.0036898707
2020-07-30,0.0,-0.0074326335
2020-07-31,0.0,-0.0062704124
2020-08-01,0.0,-0.0073960456
2020-08-02,0.0,-0.0050433166
2020-08-03,0.0,-0.014728886
2020-08-04,0.500024,0.49085215
2020-08-05,0.6666992,0.6176962
2020-08-06,0.0,-0.004257539
2020-08-07,0.0,-0.006146819
2020-08-08,0.0,-0.0063905776
2020-08-09,0.0,-0.012355919
2020-08-10,0.0,-0.0073452997
2020-08-11,0.0,-0.0057995263
2020-08-12,0.0,-0.0063432595
2020-08-13,0.20001,0.19169174
2020-08-14,0.75003797,0.7180454
2020-08-15,0.0,-0.0065529495
2020-08-16,0.14286466,0.1350441
2020-08-17,0.25001332,0.24110503
2020-08-18,0.60003275,0.569356
2020-08-19,0.33335283,0.32457218
2020-08-20,0.5000309,0.46402317
2020-08-21,0.59263265,0.57208604
2020-08-22,0.3488644,0.34176883
2020-08-23,0.103457354,0.096178405
2020-08-24,0.12501144,0.117286704
2020-08-25,0.2500242,0.24004143
2020-08-26,0.15557243,0.1464487
2020-08-27,0.028849546,0.01913893
2020-08-28,0.0,-0.0072716475
2020-08-29,0.019419797,0.013867906
2020-08-30,0.02857488,0.02350498
2020-08-31,0.037387766,0.030475015
2020-09-01,0.018350925,0.013029907
2020-09-02,0.038100064,0.027663397
2020-09-03,0.028849883,0.0211579
2020-09-04,0.030616263,0.024215259
2020-09-05,0.058831364,0.038752817
2020-09-06,0.0,-0.004834804
2020-09-07,0.0,-0.004695756
2020-09-08,0.0,-0.0040291897
2020-09-09,0.046517972,0.03950956
2020-09-10,0.0,-0.0069120154
2020-09-11,0.10715762,0.10145322
2020-09-12,0.03226257,0.028925858
2020-09-13,0.0,-0.004653371
2020-09-14,0.037042234,0.030341227
2020-09-15,0.0,-0.0047157863
2020-09-16,0.0,-0.005595664
2020-09-17,0.0,-0.003995285
2020-09-18,0.0,-0.0044182413
2020-09-19,0.0,-0.0073845554
2020-09-20,0.0,-0.0075511895
2020-09-21,0.28575456,0.2783701
2020-09-22,0.11112692,0.104169175
2020-09-23,0.20002858,0.19429076
2020-09-24,0.10001442,0.09175879
2020-09-25,0.0,-0.004397734
2020-09-26,0.0,-0.00013983794
2020-09-27,0.14287783,0.13685267
2020-09-28,0.0,-0.0044504474
2020-09-29,0.0,-0.005870437
2020-09-30,0.0,-0.0073493836
2020-10-01,0.0,-0.006046758
2020-10-02,0.0,-0.005392576
2020-10-03,0.0,-0.0041549588
2020-10-04,0.0,-0.0089135775
2020-10-05,0.0,-0.005573637
2020-10-06,0.0,-0.027075863
2020-10-07,0.0,-0.0050106337
2020-10-08,0.0,-0.015776338
2020-10-09,0.0,-0.014239014
2020-10-10,2.000291,1.962649
2020-10-11,0.33338228,0.29357278
2020-10-12,1.33353,1.2878758
2020-10-13,0.0,-0.008204149
2020-10-14,0.14287858,0.110947564
2020-10-15,0.0,-0.0063711884
2020-10-16,0.3750565,0.33309668
2020-10-17,0.18184595,0.17172368
2020-10-18,0.076934926,0.072139554
2020-10-19,0.21431886,0.2048983
2020-10-20,0.11766548,0.11094423
2020-10-21,0.10527977,0.095142774
2020-10-22,0.047626626,0.03931795
2020-10-23,0.0,-0.008125281
2020-10-24,0.0,-0.008488579
2020-10-25,0.0,-0.016926501
2020-10-26,0.31583995,0.30609545
2020-10-27,0.6667758,0.63076794
2020-10-28,0.20003457,0.18905935
2020-10-29,0.14636742,0.13675235
2020-10-30,0.0,-0.007616898
2020-10-31,0.06819418,0.06009149
2020-11-01,0.022226293,0.012091131
2020-11-02,0.022226308,0.012179404
2020-11-03,0.0,-0.007950837
2020-11-04,0.024394745,0.017515168
2020-11-05,0.1750324,0.16738692
2020-11-06,0.08697302,0.065554984
2020-11-07,0.18003462,0.16313998
2020-11-08,0.18647763,0.17928694
2020-11-09,0.04286594,0.03686343
2020-11-10,0.1343562,0.12839052
2020-11-11,0.09679482,0.092311375
2020-11-12,0.37713102,0.34839067
2020-11-13,0.23082276,0.20754535
2020-11-14,0.19796489,0.19067931
2020-11-15,0.17861715,0.1577692
2020-11-16,0.09926334,0.09369918
2020-11-17,0.034974735,0.025098922
2020-11-18,0.13517307,0.12962507
2020-11-19,0.1437548,0.13899975
2020-11-20,0.081546955,0.076449834
2020-11-21,0.06668794,0.060622692
2020-11-22,0.060321257,0.055360433
2020-11-23,0.23007713,0.22235855
2020-11-24,0.053517483,0.048465315
2020-11-25,0.03240077,0.02604582
