,Actual_data,Predicted_data
2020-05-08,0.16667509,0.16551414
2020-05-09,0.23078096,0.23059188
2020-05-10,0.11539054,0.11452498
2020-05-11,0.30770814,0.30621812
2020-05-12,0.096779235,0.09634569
2020-05-13,0.18750982,0.18595114
2020-05-14,0.07895154,0.07800528
2020-05-15,0.102569535,0.10198987
2020-05-16,0.0,-0.00031606402
2020-05-17,0.07317463,0.07259843
2020-05-18,0.02325706,0.023233388
2020-05-19,0.22728491,0.22608548
2020-05-20,0.0,-5.6607994e-05
2020-05-21,0.113213696,0.112905204
2020-05-22,0.22808267,0.22612928
2020-05-23,0.09091416,0.09025923
2020-05-24,0.090914205,0.08788535
2020-05-25,0.028987149,0.028868789
2020-05-26,0.0952435,0.0942302
2020-05-27,0.31820002,0.31645474
2020-05-28,0.2469281,0.24662304
2020-05-29,0.13266106,0.13112673
2020-05-30,0.11215639,0.111757375
2020-05-31,0.100846596,0.10004379
2020-06-01,0.10938189,0.108260244
2020-06-02,0.09220449,0.0918993
2020-06-03,0.10417344,0.10416905
2020-06-04,0.08176641,0.0810185
2020-06-05,0.048196003,0.047949247
2020-06-06,0.11802041,0.117170714
2020-06-07,0.04598019,0.045610726
2020-06-08,0.07386878,0.07332464
2020-06-09,0.1123074,0.1110827
2020-06-10,0.07921364,0.079036176
2020-06-11,0.09645377,0.095038325
2020-06-12,0.07143391,0.07108551
2020-06-13,0.05076527,0.049769305
2020-06-14,0.051285975,0.050781112
2020-06-15,0.025908737,0.025502594
2020-06-16,0.070657656,0.071249716
2020-06-17,0.086963356,0.08631054
2020-06-18,0.059464205,0.05939944
2020-06-19,0.09290366,0.09217397
2020-06-20,0.052087598,0.05160727
2020-06-21,0.03278959,0.032427076
2020-06-22,0.038677245,0.038323626
2020-06-23,0.04000334,0.039896384
2020-06-24,0.05590532,0.05535678
2020-06-25,0.025976226,0.025839165
2020-06-26,0.12231255,0.12184221
2020-06-27,0.11972864,0.120107256
2020-06-28,0.10739195,0.10630206
2020-06-29,0.045165297,0.04523346
2020-06-30,0.10191992,0.10142072
2020-07-01,0.06250565,0.062016226
2020-07-02,0.116893776,0.11664505
2020-07-03,0.11802333,0.118961096
2020-07-04,0.049084365,0.048860922
2020-07-05,0.0372706,0.03650042
2020-07-06,0.080753006,0.08106453
2020-07-07,0.10779477,0.10739775
2020-07-08,0.04494819,0.044442575
2020-07-09,0.07910378,0.07929856
2020-07-10,0.021392489,0.021003855
2020-07-11,0.09771084,0.096765555
2020-07-12,0.06322473,0.063072
2020-07-13,0.05325983,0.052577842
2020-07-14,0.029242747,0.028890684
2020-07-15,0.13126342,0.13106668
2020-07-16,0.0877284,0.08675057
2020-07-17,0.059530053,0.059588805
2020-07-18,0.02515989,0.024801377
2020-07-19,0.0064522964,0.006189134
2020-07-20,0.0133347465,0.012855641
2020-07-21,0.10792513,0.10737171
2020-07-22,0.20590445,0.20477188
2020-07-23,0.05128766,0.050895557
2020-07-24,0.09334359,0.09318967
2020-07-25,0.043754853,0.043262903
2020-07-26,0.04000446,0.03955451
2020-07-27,0.04138394,0.040790826
2020-07-28,0.07747349,0.07723356
2020-07-29,0.03378761,0.033145577
2020-07-30,0.075766176,0.07594969
2020-07-31,0.05512441,0.054295845
2020-08-01,0.024196325,0.023960374
2020-08-02,0.008131017,0.008272915
2020-08-03,0.08944119,0.089073956
2020-08-04,0.053036448,0.05260422
2020-08-05,0.10485092,0.104591444
2020-08-06,0.045876946,0.04519921
2020-08-07,0.16983132,0.16881002
2020-08-08,0.13637987,0.13660763
2020-08-09,0.05085357,0.049813747
2020-08-10,0.11018278,0.11043731
2020-08-11,0.15201849,0.1513974
2020-08-12,0.12783527,0.12692435
2020-08-13,0.32417822,0.32368284
2020-08-14,0.39565495,0.397103
2020-08-15,0.39681393,0.39613584
2020-08-16,0.20470709,0.2040069
2020-08-17,0.12653908,0.12612097
2020-08-18,0.21905926,0.21704021
2020-08-19,0.15627448,0.15602028
2020-08-20,0.16723505,0.16688329
2020-08-21,0.13307592,0.13228022
2020-08-22,0.15679142,0.15603513
