,Actual_data,Predicted_data
2020-05-08,0.0,-0.021620577
2020-05-09,0.0,-0.023660744
2020-05-10,0.0,-0.026958687
2020-05-11,0.0,-0.025431693
2020-05-12,0.0,-0.026912095
2020-05-13,0.0,-0.0052892817
2020-05-14,0.0,-0.013546212
2020-05-15,0.0,-0.0039712763
2020-05-16,0.0,-0.0055649825
2020-05-17,0.0,-0.017503224
2020-05-18,0.0,0.0097744
2020-05-19,0.0,0.008097393
2020-05-20,0.0,0.005919065
2020-05-21,0.0,-0.01762404
2020-05-22,0.0,-0.001627554
2020-05-23,0.0,0.00862684
2020-05-24,0.0,-0.011778974
2020-05-25,0.0,-0.002983834
2020-05-26,0.0,0.0070308093
2020-05-27,0.0,0.008943275
2020-05-28,0.0,-0.0030973603
2020-05-29,0.0,0.014287509
2020-05-30,0.0,0.013383948
2020-05-31,0.0,0.013383948
2020-06-01,0.0,0.013383948
2020-06-02,0.0,0.013383948
2020-06-03,0.0,0.013383948
2020-06-04,0.0,0.013383948
2020-06-05,0.0,0.013383948
2020-06-06,0.0,0.013383948
2020-06-07,0.0,0.013383948
2020-06-08,0.0,0.013383948
2020-06-09,0.0,0.013383948
2020-06-10,0.0,0.013383948
2020-06-11,0.0,0.013383948
2020-06-12,0.0,0.013383948
2020-06-13,0.0,0.013383948
2020-06-14,0.0,0.013383948
2020-06-15,0.0,0.013383948
2020-06-16,0.0,0.013383948
2020-06-17,0.0,0.013383948
2020-06-18,0.0,0.013383948
2020-06-19,0.0,0.013383948
2020-06-20,1.0001296,0.013383948
2020-06-21,0.0,-0.014016995
2020-06-22,0.0,-0.025823379
2020-06-23,0.0,-0.0052008843
2020-06-24,0.0,-0.0036685243
2020-06-25,0.0,-0.019415153
2020-06-26,0.0,-0.02054988
2020-06-27,0.0,-0.0022140993
2020-06-28,0.0,-0.013265414
2020-06-29,0.50006616,0.46434256
2020-06-30,0.0,-0.018758856
2020-07-01,0.0,-0.008722615
2020-07-02,0.0,-0.018352592
2020-07-03,0.0,-0.0091734575
2020-07-04,0.0,-0.015305893
2020-07-05,0.0,-0.011859145
2020-07-06,0.0,-0.014989726
2020-07-07,0.0,-0.014924848
2020-07-08,0.0,-0.008355745
2020-07-09,0.0,-0.013404158
2020-07-10,0.0,-0.01718545
2020-07-11,0.0,-0.009927721
2020-07-12,0.0,-0.013596737
2020-07-13,0.0,-0.008500929
2020-07-14,0.0,-0.015001173
2020-07-15,0.0,-0.01638048
2020-07-16,0.0,-0.018759526
2020-07-17,0.0,-0.011409332
2020-07-18,0.0,-0.013018464
2020-07-19,0.0,-0.015060284
2020-07-20,0.0,-0.014510672
2020-07-21,0.0,-0.014151089
2020-07-22,0.0,-0.016180212
2020-07-23,0.0,-0.02096513
2020-07-24,0.0,-0.015480586
2020-07-25,0.0,-0.005675155
2020-07-26,0.0,-0.013522066
2020-07-27,0.0,-0.008979358
2020-07-28,0.0,-0.013074579
2020-07-29,0.0,-0.018920984
2020-07-30,0.0,-0.013382785
2020-07-31,0.0,-0.013582474
2020-08-01,0.0,-0.012927517
2020-08-02,0.0,-0.0148658715
2020-08-03,0.0,-0.011152545
2020-08-04,0.0,-0.008894091
2020-08-05,0.0,-0.017810626
2020-08-06,0.0,-0.013943979
2020-08-07,0.0,-0.017140333
2020-08-08,0.0,-0.015883002
2020-08-09,0.0,-0.014076284
2020-08-10,0.0,-0.017781697
2020-08-11,0.0,-0.018315347
2020-08-12,0.0,-0.021954227
2020-08-13,0.0,-0.01432614
2020-08-14,0.0,-0.024160903
2020-08-15,0.0,-0.022976814
2020-08-16,0.0,-0.022751192
2020-08-17,0.0,-0.0225676
2020-08-18,0.0,-0.017722989
2020-08-19,0.50007015,0.46177924
2020-08-20,1.0001432,0.9602905
2020-08-21,0.16669187,0.14061022
2020-08-22,0.0,-0.015884703
2020-08-23,0.4286374,0.39620304
2020-08-24,0.3000486,0.27701482
2020-08-25,0.0,-0.010393497
2020-08-26,0.0,-0.0061506783
2020-08-27,0.15387233,0.12640026
2020-08-28,0.0,-0.008316219
2020-08-29,0.06667837,0.05563044
2020-08-30,0.06251114,0.051717136
2020-08-31,0.0,-0.0021322297
2020-09-01,0.0,-0.01028708
2020-09-02,0.0,-0.014192091
2020-09-03,0.0,-0.008990939
2020-09-04,0.0,-0.0085291425
2020-09-05,0.0,-0.014343444
2020-09-06,0.0,-0.005566547
2020-09-07,0.14288299,0.11981166
2020-09-08,0.40007344,0.37773156
2020-09-09,0.0,-0.012311908
2020-09-10,0.0,-0.0146050155
2020-09-11,0.0,-0.0092980275
2020-09-12,0.0,-0.013077217
2020-09-13,0.0,-0.01004621
2020-09-14,0.0,-0.0053007286
2020-09-15,0.0,-0.013603176
2020-09-16,0.0,-0.010228371
2020-09-17,0.0,-0.014610471
2020-09-18,0.0,-0.012631651
2020-09-19,0.0,-0.017203648
2020-09-20,0.0,-0.008150423
2020-09-21,0.33339632,0.32613364
2020-09-22,0.0,-0.0025270905
2020-09-23,3.000575,2.9887633
2020-09-24,0.25004995,0.2425534
2020-09-25,0.0,-0.0064273626
2020-09-26,0.2000405,0.19046146
2020-09-27,0.0,-0.008019637
2020-09-28,0.0,-0.0045984657
2020-09-29,0.0,-0.0042140232
2020-09-30,0.0,-0.0063944086
2020-10-01,0.0,-0.0010000961
2020-10-02,0.0,-0.0061402153
2020-10-03,0.0,-0.0014186547
2020-10-04,0.16670087,0.16262388
2020-10-05,0.0,-0.0032691923
2020-10-06,0.16670132,0.16872226
2020-10-07,0.0,-0.004338862
2020-10-08,0.0,-0.0039474443
2020-10-09,0.0,-0.006849051
2020-10-10,0.0,-0.007925338
2020-10-11,0.0,-0.011809558
2020-10-12,0.0,-0.00884039
2020-10-13,0.0,-0.00919179
2020-10-14,0.0,-0.009344261
2020-10-15,0.0,-0.013200804
2020-10-16,0.0,-0.011402446
2020-10-17,0.0,-0.010465618
2020-10-18,0.0,-0.0136199435
2020-10-19,0.0,-0.010668124
2020-10-20,0.0,-0.010990505
2020-10-21,0.0,-0.008137993
2020-10-22,0.0,-0.012395209
2020-10-23,0.0,-0.009171132
2020-10-24,0.0,-0.009568541
2020-10-25,0.0,-0.0087362975
2020-10-26,0.0,-0.0101928245
2020-10-27,0.0,-0.01113305
2020-10-28,0.0,-0.016843887
2020-10-29,0.0,-0.012537218
2020-10-30,3.00064,2.9810932
2020-10-31,0.0,-0.009579318
2020-11-01,0.0,-0.008440387
2020-11-02,0.0,-0.0060177017
2020-11-03,0.0,-0.009216515
2020-11-04,0.0,-0.0067238095
2020-11-05,0.0,-0.006455576
2020-11-06,0.0,-0.0068062604
2020-11-07,0.0,-0.004707968
2020-11-08,0.0,-0.00944415
2020-11-09,0.0,-0.0041147154
2020-11-10,0.0,-0.004430345
2020-11-11,0.0,-0.006763336
2020-11-12,0.33340713,0.33416432
2020-11-13,0.25005603,0.24381287
2020-11-14,0.0,-0.008219773
2020-11-15,0.5001134,0.49425924
2020-11-16,0.33340982,0.32420072
2020-11-17,0.0,-0.009574354
2020-11-18,0.0,-0.0067315004
2020-11-19,0.0,-0.006253071
2020-11-20,0.0,-0.0070417193
2020-11-21,0.0,-0.006176925
2020-11-22,0.25005805,0.24253002
2020-11-23,0.40009397,0.39572653
2020-11-24,0.0,-0.008565717
2020-11-25,0.5715659,0.56293243
2020-11-26,0.27279577,0.26774704
2020-11-27,0.0,-0.008722705
2020-11-28,0.2500648,0.24854912
2020-11-29,0.066684484,0.0605535
2020-11-30,0.13336933,0.12994672
2020-12-01,0.4376205,0.43774828
2020-12-02,0.17396423,0.16996478
2020-12-03,0.0,-0.0042915107
2020-12-04,0.14819336,0.14474311
2020-12-05,0.09680477,0.0934004
2020-12-06,0.0,-0.0037835264
2020-12-07,0.030312851,0.027160075
2020-12-08,0.03126021,0.029841224
2020-12-09,0.030313013,0.028305264
2020-12-10,0.0,-0.00081060233
2020-12-11,0.03704934,0.03579816
2020-12-12,0.0,-0.0029661723
2020-12-13,0.12004018,0.11817604
2020-12-14,0.037049737,0.035416085
2020-12-15,0.0,-0.004788228
2020-12-16,0.0,-0.0025776161
2020-12-17,0.0,-0.004534437
2020-12-18,0.0,-0.004355227
2020-12-19,0.09094051,0.08698654
2020-12-20,0.0,-0.0065105287
2020-12-21,0.11114981,0.106079355
2020-12-22,0.111150116,0.10606078
2020-12-23,0.22230083,0.21706441
2020-12-24,0.10003591,0.09568935
2020-12-25,0.09094199,0.08390014
2020-12-26,0.5456534,0.5454449
2020-12-27,0.11769185,0.11074114
2020-12-28,0.25009656,0.24788962
2020-12-29,0.10530495,0.103033885
2020-12-30,0.0,-0.004963145
2020-12-31,0.047638208,0.04180314
2021-01-01,0.13641888,0.070737876
2021-01-02,0.04001653,0.036206704
2021-01-03,0.0,0.07693063
2021-01-04,0.0,0.49035838
2021-01-05,0.041683994,0.08004386
2021-01-06,0.12505232,0.09126897
2021-01-07,0.0,0.08704847
2021-01-08,0.0,0.05156292
2021-01-09,0.0,0.008293505
2021-01-10,0.0,0.044282522
2021-01-11,0.06669512,-0.04431257
2021-01-12,0.0,-0.025324067
2021-01-13,0.2000859,-0.063997254
2021-01-14,0.33347827,-0.0329268
