,Actual_data,Predicted_data
2020-05-08,0.0,0.003850674
2020-05-09,0.0,0.0029011637
2020-05-10,0.0,0.0060390867
2020-05-11,0.0,0.008829113
2020-05-12,1.0000392,0.9998929
2020-05-13,0.0,0.0060496074
2020-05-14,0.0,0.004448175
2020-05-15,0.0,0.005906163
2020-05-16,0.0,0.006999892
2020-05-17,0.0,0.0074060247
2020-05-18,4.00016,3.9899006
2020-05-19,0.0,0.0039873826
2020-05-20,0.0,0.0033359672
2020-05-21,0.20000874,0.20445551
2020-05-22,0.0,0.002478103
2020-05-23,0.0,0.00156689
2020-05-24,0.0,0.006590362
2020-05-25,0.0,0.0034764311
2020-05-26,0.0,0.003853982
2020-05-27,0.0,0.004807814
2020-05-28,0.0,0.006070589
2020-05-29,0.0,0.007736695
2020-05-30,0.40001783,0.4085729
2020-05-31,0.0,0.006891914
2020-06-01,0.0,0.0070767556
2020-06-02,0.0,0.0075776633
2020-06-03,0.0,0.006498448
2020-06-04,0.0,0.004414348
2020-06-05,0.0,0.0087246215
2020-06-06,0.5000231,0.50022805
2020-06-07,0.0,0.0029718876
2020-06-08,0.0,0.0069448752
2020-06-09,0.0,0.0038290366
2020-06-10,0.0,0.005446831
2020-06-11,0.0,0.008851049
2020-06-12,0.0,0.007460178
2020-06-13,0.0,0.002594575
2020-06-14,0.0,0.009948444
2020-06-15,0.0,0.005726686
2020-06-16,0.0,0.007181932
2020-06-17,0.0,0.008541629
2020-06-18,0.0,0.008207054
2020-06-19,0.0,0.0051299306
2020-06-20,0.0,0.008870123
2020-06-21,0.0,0.006690085
2020-06-22,0.0,0.006049399
2020-06-23,0.0,0.0028957692
2020-06-24,0.0,0.009397406
2020-06-25,0.0,0.0032000632
2020-06-26,0.0,0.0072817444
2020-06-27,0.0,0.009234858
2020-06-28,0.0,0.0078045875
2020-06-29,0.0,0.0051070116
2020-06-30,0.0,0.008569167
2020-07-01,0.0,0.0050742575
2020-07-02,0.0,0.006747248
