,Actual_data,Predicted_data
2020-05-08,0.20000657,0.19960128
2020-05-09,0.50001657,0.49892858
2020-05-10,0.33334476,0.3313883
2020-05-11,0.08333627,0.082485594
2020-05-12,0.1666726,0.16568667
2020-05-13,0.8571739,0.85498196
2020-05-14,0.19231544,0.19140522
2020-05-15,0.0,-0.00048200728
2020-05-16,0.0,-0.0006204871
2020-05-17,0.0,-0.00042686326
2020-05-18,0.07143157,0.07083059
2020-05-19,0.27587387,0.27479044
2020-05-20,0.16216953,0.16120426
2020-05-21,0.023256917,0.022540255
2020-05-22,0.0,-0.00072347623
2020-05-23,0.04651385,0.0461944
2020-05-24,0.023810677,0.023321861
2020-05-25,0.075003654,0.07441372
2020-05-26,0.2619178,0.2609974
2020-05-27,0.43139562,0.42996827
2020-05-28,0.29509994,0.29396036
2020-05-29,0.0675721,0.0670562
2020-05-30,0.037977293,0.037543792
2020-05-31,0.21952751,0.21849085
2020-06-01,0.09000683,0.08932555
2020-06-02,0.1495445,0.14864436
2020-06-03,0.0608747,0.060167026
2020-06-04,0.051728625,0.051071405
2020-06-05,0.090917155,0.08999299
2020-06-06,0.04545875,0.0447378
2020-06-07,0.029414544,0.02901175
2020-06-08,0.021584801,0.021224031
2020-06-09,0.05755953,0.056604303
2020-06-10,0.04412204,0.04375941
2020-06-11,0.00833418,0.007917124
2020-06-12,0.009709728,0.0087136775
2020-06-13,0.08081634,0.07981015
2020-06-14,0.076931156,0.07641855
2020-06-15,0.021278886,0.020865545
2020-06-16,0.022990998,0.022713624
2020-06-17,0.013700125,0.013319721
2020-06-18,0.0,-0.0010695234
2020-06-19,0.081976175,0.081032015
2020-06-20,0.0,-0.00064830494
2020-06-21,0.02041043,0.019324446
2020-06-22,0.021741554,0.020809336
2020-06-23,0.06818944,0.06736789
2020-06-24,0.025643917,0.02521254
2020-06-25,0.058830187,0.058058742
2020-06-26,0.028574679,0.02815463
2020-06-27,0.0,-0.0009852609
2020-06-28,0.037041266,0.036407292
2020-06-29,0.15001719,0.14928244
2020-06-30,0.095249094,0.09489252
2020-07-01,0.0,-0.00051049975
2020-07-02,0.05000581,0.049535733
2020-07-03,0.09524919,0.094441734
2020-07-04,0.0,-0.00042826938
2020-07-05,0.33337238,0.33269018
2020-07-06,0.08696689,0.08591517
2020-07-07,0.04167166,0.041009724
2020-07-08,0.13638003,0.13581577
2020-07-09,0.04167172,0.040700853
2020-07-10,0.043483548,0.042772066
2020-07-11,0.0,-0.00081390364
2020-07-12,0.13045068,0.12947617
2020-07-13,0.0,-0.0008447085
2020-07-14,0.045460135,0.044865515
2020-07-15,0.14287475,0.14213784
2020-07-16,0.0,-0.0005524359
2020-07-17,0.08696733,0.08658039
2020-07-18,0.043483697,0.04299131
2020-07-19,0.08334378,0.08260423
2020-07-20,0.0,-0.0006055398
2020-07-21,0.27781275,0.27671805
2020-07-22,0.13638104,0.13591856
2020-07-23,0.0,-0.0005548377
2020-07-24,0.0,-0.000291151
2020-07-25,0.0,-0.0005645465
2020-07-26,0.0,-0.0006507881
2020-07-27,0.0,-0.00054339354
2020-07-28,0.1764933,0.17560855
2020-07-29,0.0,-0.00064702483
2020-07-30,0.0,-0.0005930959
2020-07-31,0.062508106,0.061977703
2020-08-01,0.0,-0.00058917823
2020-08-02,0.0,-0.00043080124
2020-08-03,0.08334417,0.082776554
2020-08-04,0.07693311,0.076349154
2020-08-05,0.0,-0.0005972696
2020-08-06,0.0,-0.00032641407
2020-08-07,0.3333769,0.33208025
2020-08-08,0.12501642,0.124070905
2020-08-09,0.0,-0.00070133165
2020-08-10,0.0,-0.00047654123
2020-08-11,0.0,-0.0007610842
2020-08-12,0.0,-0.00064130273
2020-08-13,0.66675454,0.6650289
2020-08-14,0.60007983,0.59882224
2020-08-15,0.6000811,0.59908086
2020-08-16,0.29170695,0.29074255
2020-08-17,0.58072674,0.5785586
2020-08-18,0.16669111,0.16593213
2020-08-19,0.18184534,0.18083696
2020-08-20,0.27696538,0.27522644
2020-08-21,0.25305223,0.25195453
2020-08-22,0.31377757,0.3129679
2020-08-23,0.15040253,0.1491053
2020-08-24,0.09152006,0.090467505
2020-08-25,0.16170709,0.1611779
2020-08-26,0.30418378,0.30319998
2020-08-27,0.106742576,0.10590675
2020-08-28,0.07248019,0.072133556
2020-08-29,0.04483805,0.044143252
2020-08-30,0.04763037,0.046861764
