,Actual_data,Predicted_data
2020-05-08,0.0,0.019020958
2020-05-09,0.0,0.013691174
2020-05-10,0.0,0.014542158
2020-05-11,0.0,-0.013498579
2020-05-12,0.0,-0.00023840793
2020-05-13,0.0,-0.034173205
2020-05-14,0.0,0.0010287442
2020-05-15,0.0,0.009633397
2020-05-16,0.0,-0.018471118
2020-05-17,0.0,-0.0048905406
2020-05-18,0.0,-0.010113677
2020-05-19,0.0,-0.023056779
2020-05-20,0.0,0.0018387394
2020-05-21,0.0,0.002239814
2020-05-22,0.0,0.0052162823
2020-05-23,0.0,0.019389287
2020-05-24,0.0,0.013522558
2020-05-25,0.0,-0.0033604128
2020-05-26,0.0,-0.00972807
2020-05-27,0.0,0.014762228
2020-05-28,0.0,0.023583822
2020-05-29,0.0,-0.034002807
2020-05-30,0.0,0.0181485
2020-05-31,0.0,0.018468408
2020-06-01,0.0,-0.0031473609
2020-06-02,0.0,0.008495078
2020-06-03,0.0,0.024263525
2020-06-04,0.0,-0.020320656
2020-06-05,0.0,-0.03697086
2020-06-06,0.0,0.0050198496
2020-06-07,0.0,-0.02284684
2020-06-08,0.0,0.10490523
2020-06-09,0.0,0.027879925
2020-06-10,0.0,-0.0089474125
2020-06-11,0.0,0.24544612
2020-06-12,0.0,0.083231956
2020-06-13,0.0,0.01421969
2020-06-14,0.0,0.08154573
2020-06-15,0.0,0.23890544
2020-06-16,0.0,0.83434814
2020-06-17,0.0,0.83434814
2020-06-18,3.000071,0.83434814
2020-06-19,0.0,0.061128054
2020-06-20,0.0,-0.008882848
2020-06-21,0.0,0.00397084
2020-06-22,0.0,-0.023414351
2020-06-23,0.0,-0.0002720874
2020-06-24,0.0,-0.0047690836
2020-06-25,0.0,-0.009204079
2020-06-26,0.0,-0.002448689
2020-06-27,0.0,0.0017366895
2020-06-28,0.0,-0.002991355
2020-06-29,0.0,0.013742902
2020-06-30,0.0,-0.0057728793
2020-07-01,0.0,-0.005009869
2020-07-02,0.0,-0.0071423496
2020-07-03,0.0,0.0010335331
2020-07-04,0.0,-0.0032743812
2020-07-05,0.0,-0.0069077616
2020-07-06,0.0,0.0011525709
2020-07-07,0.0,-0.0037888412
2020-07-08,0.0,-0.0047300337
2020-07-09,0.0,-0.0016742536
2020-07-10,0.0,-0.002308721
2020-07-11,0.0,0.0019975868
2020-07-12,0.0,0.0033330924
2020-07-13,0.0,-0.0007586601
2020-07-14,0.0,-0.00046263885
2020-07-15,0.0,0.00702372
2020-07-16,3.0000887,2.9993258
2020-07-17,0.2500085,0.23329812
2020-07-18,0.20000708,0.19793357
2020-07-19,0.0,0.00016907357
2020-07-20,0.2000074,0.19138831
2020-07-21,0.0,-0.0012061719
2020-07-22,0.0,0.00064763014
2020-07-23,0.0,-0.0011959486
2020-07-24,0.0,0.00092030707
2020-07-25,0.0,0.0012053673
2020-07-26,0.0,-0.011762253
2020-07-27,0.0,0.0025355085
2020-07-28,0.0,0.0036024724
2020-07-29,0.0,-0.009650289
2020-07-30,0.0,0.0006302288
2020-07-31,0.0,0.010456066
2020-08-01,0.0,0.00059986307
2020-08-02,0.0,0.0044695837
2020-08-03,0.0,0.0030432711
2020-08-04,0.0,0.008782703
2020-08-05,0.0,0.0011327444
2020-08-06,0.0,-4.135474e-05
2020-08-07,0.0,0.0043310546
2020-08-08,0.0,0.0014109702
2020-08-09,0.0,0.0013555475
2020-08-10,0.0,0.0032168934
2020-08-11,0.0,0.009454041
2020-08-12,0.0,-0.01531469
2020-08-13,0.0,0.0030367333
2020-08-14,0.0,0.011807894
2020-08-15,0.0,0.005992771
2020-08-16,0.0,0.0071506593
2020-08-17,0.0,0.0066476185
2020-08-18,0.0,0.004575461
2020-08-19,0.0,-0.007413261
2020-08-20,0.0,-0.0036893673
2020-08-21,0.0,-0.00056280557
2020-08-22,0.0,0.0029299892
2020-08-23,0.0,0.0030173927
2020-08-24,1.5000621,1.5067248
2020-08-25,0.40001833,0.40345457
2020-08-26,0.14286411,0.1424637
2020-08-27,0.25001258,0.2524793
2020-08-28,0.10000532,0.09506259
2020-08-29,0.18182813,0.1855601
2020-08-30,0.46156508,0.46480843
2020-08-31,0.05263508,0.049241148
2020-09-01,0.0500034,0.039525516
2020-09-02,0.0,0.011287893
2020-09-03,0.0,0.007626067
2020-09-04,0.047622357,0.05248192
2020-09-05,0.0,0.012160906
2020-09-06,0.0,0.02137099
2020-09-07,0.0,-0.00056162925
2020-09-08,0.0,0.0058075315
2020-09-09,0.1333428,0.14356731
2020-09-10,0.12500924,0.1235959
2020-09-11,0.062504806,0.07150794
2020-09-12,0.0,-0.0004559471
2020-09-13,0.0,0.009637252
2020-09-14,0.37502939,0.38192755
2020-09-15,0.0,0.007056511
2020-09-16,0.0,-0.011328564
2020-09-17,0.22224061,0.21439418
2020-09-18,0.0,0.007688782
2020-09-19,0.0,0.01243726
2020-09-20,0.0,0.0005236749
2020-09-21,0.0,-0.008699217
2020-09-22,0.0,0.0039016146
2020-09-23,0.10000857,0.101559155
2020-09-24,0.0,0.00069005496
2020-09-25,0.0,0.0009212906
2020-09-26,0.0,0.00096836477
2020-09-27,0.0,0.001321259
2020-09-28,0.0,0.0056477846
2020-09-29,0.0,-0.0024526229
2020-09-30,0.0,0.012399473
2020-10-01,0.0,-0.006247829
2020-10-02,0.0,-2.6630094e-05
2020-10-03,0.0,0.0027562329
2020-10-04,0.0,0.0031103843
2020-10-05,0.0,0.010257197
2020-10-06,0.0,0.0065451553
2020-10-07,0.0,0.011865664
2020-10-08,0.0,-0.0029572255
2020-10-09,0.0,0.005373632
2020-10-10,0.0,0.0053162817
2020-10-11,0.0,0.010251474
2020-10-12,0.0,-0.010718569
2020-10-13,0.0,-0.013269188
2020-10-14,0.0,0.004783607
2020-10-15,0.0,-0.0039971434
2020-10-16,0.0,0.008978415
2020-10-17,0.0,0.022268886
2020-10-18,0.0,0.0106938165
2020-10-19,0.0,0.018810935
2020-10-20,0.0,0.0101468535
2020-10-21,0.0,0.00038061952
2020-10-22,0.0,0.00033918934
2020-10-23,0.0,0.0018004441
2020-10-24,0.0,-0.022310702
2020-10-25,0.0,0.034489714
2020-10-26,0.0,0.004284243
2020-10-27,0.0,-0.0014496399
2020-10-28,0.0,-0.009078582
2020-10-29,0.0,-0.008635792
2020-10-30,0.0,0.0014459182
2020-10-31,0.0,0.0036415053
2020-11-01,0.0,-0.0144244665
2020-11-02,0.0,-0.002161167
2020-11-03,0.0,0.0237032
2020-11-04,0.0,0.028196787
2020-11-05,0.0,0.007056075
2020-11-06,0.0,-0.0115554575
2020-11-07,0.0,0.0017358122
2020-11-08,0.0,-0.00512585
2020-11-09,0.0,0.0030625167
2020-11-10,0.0,-0.027321076
2020-11-11,1.0000887,0.7682299
2020-11-12,0.5000451,0.39015472
2020-11-13,0.0,0.024050718
2020-11-14,0.0,0.02833739
2020-11-15,0.3333639,0.3200451
2020-11-16,0.0,-0.02632717
2020-11-17,0.0,0.00042588313
2020-11-18,0.0,-0.015729394
2020-11-19,0.66672873,0.65805453
2020-11-20,0.0,-0.012260949
2020-11-21,0.0,0.011443377
2020-11-22,0.20001923,0.1883921
2020-11-23,0.16668293,0.16697599
2020-11-24,0.4286139,0.4300075
2020-11-25,0.30003104,0.29624462
