,Actual_data,Predicted_data
2020-05-08,0.0,3.725463e-09
2020-05-09,1.0000294,1.0000293
2020-05-10,0.750023,0.75002295
2020-05-11,0.0,-1.6764583e-08
2020-05-12,0.0,5.5881944e-09
2020-05-13,0.42858538,0.4285853
2020-05-14,0.0,1.8627315e-08
2020-05-15,0.10000344,0.100003436
2020-05-16,0.0,-3.725463e-09
2020-05-17,0.27273685,0.27273682
2020-05-18,0.0,1.1176389e-08
2020-05-19,0.0,2.607824e-08
2020-05-20,0.0,-5.5881944e-09
2020-05-21,0.0,1.303912e-08
2020-05-22,0.0,2.0490045e-08
2020-05-23,0.0,-3.725463e-09
2020-05-24,0.0,1.4901852e-08
2020-05-25,0.14286242,0.14286244
2020-05-26,0.0,3.725463e-09
2020-05-27,0.0,-1.1176389e-08
2020-05-28,0.0,5.5881944e-09
2020-05-29,0.0,1.8627315e-09
2020-05-30,0.0,3.725463e-09
2020-05-31,0.0,9.313657e-09
2020-06-01,0.0,-1.8627315e-08
2020-06-02,0.0,-5.5881944e-09
2020-06-03,0.0,-7.450926e-09
2020-06-04,0.0,-1.8627315e-09
2020-06-05,0.0,0.0
2020-06-06,1.0000376,1.0000377
2020-06-07,0.0,1.1176389e-08
2020-06-08,0.0,-3.725463e-09
2020-06-09,0.0,-1.8627315e-09
2020-06-10,0.0,7.450926e-09
2020-06-11,0.0,1.303912e-08
2020-06-12,0.0,-2.2352777e-08
2020-06-13,0.0,-7.450926e-09
2020-06-14,0.0,2.4215508e-08
2020-06-15,0.0,5.5881944e-09
2020-06-16,0.0,1.303912e-08
2020-06-17,0.0,3.3529165e-08
2020-06-18,0.0,1.8627315e-09
2020-06-19,0.0,-2.2352777e-08
2020-06-20,0.0,2.2352777e-08
2020-06-21,0.0,0.0
2020-06-22,0.0,1.303912e-08
2020-06-23,0.0,1.1176389e-08
2020-06-24,0.0,0.0
2020-06-25,0.0,9.313657e-09
2020-06-26,1.0000389,1.000039
2020-06-27,0.5000197,0.5000197
2020-06-28,0.0,-1.1176389e-08
2020-06-29,0.0,3.725463e-09
2020-06-30,0.0,3.725463e-09
2020-07-01,0.0,5.215648e-08
2020-07-02,0.0,2.9803704e-08
2020-07-03,0.6666934,0.6666934
2020-07-04,0.0,0.0
2020-07-05,0.0,0.0
2020-07-06,0.0,1.8627315e-08
2020-07-07,0.0,1.8627315e-08
2020-07-08,0.0,-3.725463e-09
2020-07-09,0.5000207,0.50002074
2020-07-10,0.0,-5.5881944e-09
2020-07-11,0.0,9.313657e-09
2020-07-12,0.25001064,0.25001064
2020-07-13,0.20000865,0.20000868
2020-07-14,0.0,1.6764583e-08
2020-07-15,0.16667397,0.166674
2020-07-16,0.0,3.725463e-09
2020-07-17,0.0,1.8627315e-09
2020-07-18,0.0,-1.6764583e-08
2020-07-19,0.0,0.0
2020-07-20,0.0,-1.303912e-08
2020-07-21,0.2000089,0.20000893
2020-07-22,0.0,1.8627315e-09
2020-07-23,0.0,-1.8627315e-09
2020-07-24,0.0,-3.1666435e-08
2020-07-25,0.0,1.8627315e-09
2020-07-26,0.25001127,0.25001118
2020-07-27,0.0,3.725463e-09
2020-07-28,0.0,-9.313657e-09
2020-07-29,0.0,-2.2352777e-08
2020-07-30,0.0,1.8627315e-09
2020-07-31,0.0,-2.2352777e-08
2020-08-01,0.0,2.9803704e-08
2020-08-02,0.0,-1.303912e-08
2020-08-03,0.5000228,0.5000227
2020-08-04,2.0000927,2.0000927
2020-08-05,0.12500627,0.12500627
2020-08-06,0.0,-9.313657e-09
2020-08-07,0.0,-5.5881944e-09
2020-08-08,0.111116745,0.1111167
2020-08-09,0.0,-1.1176389e-08
2020-08-10,0.0,2.9803704e-08
2020-08-11,0.0,-1.303912e-08
2020-08-12,0.0,7.450926e-09
2020-08-13,0.0,5.5881944e-09
2020-08-14,0.0,-4.4705555e-08
2020-08-15,0.11111682,0.111116834
2020-08-16,0.30001557,0.30001563
2020-08-17,0.076927215,0.07692723
2020-08-18,0.15385453,0.15385456
2020-08-19,0.1111173,0.111117296
2020-08-20,0.33335212,0.33335203
2020-08-21,0.16667637,0.16667637
2020-08-22,0.21429846,0.21429847
2020-08-23,0.6250384,0.6250384
2020-08-24,0.07692827,0.07692829
2020-08-25,0.0,-1.1176389e-08
2020-08-26,0.035716746,0.035716746
2020-08-27,0.17242578,0.17242582
2020-08-28,0.17648341,0.17648338
2020-08-29,0.12500955,0.12500954
2020-08-30,0.022729078,0.02272909
2020-08-31,0.023811432,0.023811419
2020-09-01,0.023811447,0.02381146
2020-09-02,0.024392229,0.024392212
2020-09-03,0.09756898,0.09756898
2020-09-04,0.09524614,0.09524621
2020-09-05,0.0454585,0.045458496
2020-09-06,0.0,5.5881944e-09
2020-09-07,0.030305706,0.030305691
2020-09-08,0.03125278,0.031252798
2020-09-09,0.09091723,0.09091724
2020-09-10,0.028574038,0.028574038
2020-09-11,0.0,3.725463e-08
2020-09-12,0.0,2.2352777e-08
2020-09-13,0.0,7.450926e-09
2020-09-14,0.10527284,0.105272785
2020-09-15,0.10000933,0.10000934
2020-09-16,0.0,-1.4901852e-08
2020-09-17,0.15001418,0.15001422
2020-09-18,0.05263665,0.052636597
2020-09-19,0.062506065,0.06250607
2020-09-20,0.13334635,0.13334636
2020-09-21,0.11765869,0.11765867
2020-09-22,0.11112224,0.11112223
2020-09-23,0.10527383,0.10527377
2020-09-24,0.16668378,0.16668378
2020-09-25,0.0,3.1666435e-08
2020-09-26,0.100010455,0.10001047
2020-09-27,0.045459352,0.04545936
2020-09-28,0.04348289,0.043482892
2020-09-29,0.0,9.313657e-09
2020-09-30,0.050005354,0.050005343
2020-10-01,0.0,5.5881944e-09
2020-10-02,0.05556154,0.055561557
2020-10-03,0.111123145,0.11112317
2020-10-04,0.052637342,0.05263738
2020-10-05,0.0,-7.450926e-09
2020-10-06,0.0,-3.725463e-09
2020-10-07,0.07143644,0.071436465
2020-10-08,0.076931596,0.076931596
2020-10-09,0.0,-1.8627315e-09
2020-10-10,0.0,1.8627315e-09
2020-10-11,0.0,1.303912e-08
2020-10-12,0.12501393,0.12501393
2020-10-13,0.0,7.450926e-09
2020-10-14,0.125014,0.12501399
2020-10-15,0.0,0.0
2020-10-16,0.0,1.8627315e-09
2020-10-17,0.0,9.313657e-09
2020-10-18,0.20002253,0.20002255
2020-10-19,0.40004534,0.40004534
2020-10-20,0.14287351,0.14287351
2020-10-21,0.0,0.0
2020-10-22,0.0,7.450926e-09
2020-10-23,0.0,1.8627315e-09
2020-10-24,0.0,-1.8627315e-09
2020-10-25,0.33337173,0.33337176
2020-10-26,0.12501456,0.12501456
2020-10-27,0.0,-7.450926e-09
2020-10-28,0.0,-3.725463e-09
2020-10-29,0.28574774,0.28574768
2020-10-30,0.0,0.0
2020-10-31,0.111124255,0.111124255
2020-11-01,0.20002379,0.2000238
2020-11-02,0.090920016,0.09092001
2020-11-03,0.0,-9.313657e-09
2020-11-04,0.22224908,0.2222491
2020-11-05,0.0,1.303912e-08
2020-11-06,0.0,-7.450926e-09
2020-11-07,0.18184038,0.1818404
2020-11-08,0.30773026,0.3077303
2020-11-09,0.1333501,0.13335009
2020-11-10,0.12501588,0.12501593
2020-11-11,0.055562686,0.05556269
2020-11-12,0.052638363,0.052638356
2020-11-13,0.0,1.4901852e-08
2020-11-14,0.44450203,0.44450203
2020-11-15,0.12001615,0.12001619
2020-11-16,0.0,-1.4901852e-08
2020-11-17,0.0,0.0
2020-11-18,0.16002183,0.16002183
2020-11-19,0.07408437,0.07408439
2020-11-20,0.034487594,0.03448761
2020-11-21,0.0,0.0
2020-11-22,0.0,1.8627315e-09
2020-11-23,0.12501761,0.12501761
2020-11-24,0.120017126,0.1200171
2020-11-25,0.30773678,0.30773678
2020-11-26,0.6061513,0.60615134
