,Actual_data,Predicted_data
2020-11-24,0.094082594,0.09435395
2020-11-25,0.20320803,0.20373173
2020-11-26,0.11159142,0.11190336
2020-11-27,0.11176456,0.112062015
2020-11-28,0.07870243,0.07891891
2020-11-29,0.06193007,0.062238093
2020-11-30,0.07509904,0.07531373
2020-12-01,0.108902894,0.10903456
2020-12-02,0.10223072,0.10235486
2020-12-03,0.10987689,0.11000162
2020-12-04,0.10174274,0.1019998
2020-12-05,0.11449537,0.114851005
2020-12-06,0.09091098,0.09118838
2020-12-07,0.08742157,0.08764023
2020-12-08,0.116998,0.11724579
2020-12-09,0.107033946,0.10730074
2020-12-10,0.11221884,0.11247099
2020-12-11,0.12636203,0.12667862
2020-12-12,0.14395061,0.14438075
2020-12-13,0.08911064,0.089321025
2020-12-14,0.10726174,0.107514694
2020-12-15,0.11436246,0.114716284
2020-12-16,0.09504824,0.09528253
2020-12-17,0.09435088,0.09448567
2020-12-18,0.08168798,0.08175761
2020-12-19,0.071736015,0.07190831
2020-12-20,0.069005705,0.06917853
2020-12-21,0.056294527,0.05642846
2020-12-22,0.08418011,0.084373906
2020-12-23,0.075787105,0.075948104
2020-12-24,0.06866143,0.06883256
2020-12-25,0.06598898,0.066203184
2020-12-26,0.062642545,0.06260547
2020-12-27,0.0513674,0.051570963
2020-12-28,0.06873911,0.06891314
2020-12-29,0.07502324,0.07505156
2020-12-30,0.061810333,0.06203201
2020-12-31,0.07945883,0.07975734
2021-01-01,0.06385151,0.06387497
2021-01-02,0.058150873,0.05839433
2021-01-03,0.077675775,0.07788311
2021-01-04,0.06565338,0.065826595
2021-01-05,0.080844246,0.081074744
2021-01-06,0.086872175,0.08703065
2021-01-07,0.07359268,0.07364849
2021-01-08,0.060273267,0.060333587
2021-01-09,0.055543944,0.055674214
2021-01-10,0.043137163,0.04306484
2021-01-11,0.052056134,0.052022465
2021-01-12,0.06126526,0.061324198
2021-01-13,0.05335639,0.053392105
2021-01-14,0.059030864,0.05920141
2021-01-15,0.05502821,0.05490679
2021-01-16,0.058449846,0.05857639
2021-01-17,0.035412915,0.035699353
2021-01-18,0.049621273,0.049629126
2021-01-19,0.051266704,0.051216435
2021-01-20,0.053770103,0.053810854
2021-01-21,0.048299454,0.048316356
2021-01-22,0.051773123,0.051733855
2021-01-23,0.045706972,0.04569645
2021-01-24,0.037142694,0.03702625
2021-01-25,0.038439017,0.038363878
2021-01-26,0.07872775,0.07866693
