,Actual_data,Predicted_data
2020-11-24,0.09017704,0.08985787
2020-11-25,0.36890724,0.37100142
2020-11-26,0.23930262,0.24128301
2020-11-27,0.07036399,0.070015796
2020-11-28,0.071783125,0.07150069
2020-11-29,0.09051427,0.09088907
2020-11-30,0.04642226,0.04592756
2020-12-01,0.028576916,0.028423503
2020-12-02,0.05350833,0.053228285
2020-12-03,0.07018934,0.0701551
2020-12-04,0.119493276,0.119430676
2020-12-05,0.066129655,0.06610101
2020-12-06,0.06696007,0.066657126
2020-12-07,0.051394746,0.051644366
2020-12-08,0.11029094,0.11111604
2020-12-09,0.056952797,0.05727222
2020-12-10,0.047630396,0.04748233
2020-12-11,0.07557383,0.07568088
2020-12-12,0.10528916,0.10515708
2020-12-13,0.11817351,0.119348675
2020-12-14,0.065323286,0.06541129
2020-12-15,0.07602034,0.076016985
2020-12-16,0.114535116,0.11488277
2020-12-17,0.15775064,0.15794587
2020-12-18,0.10426535,0.10411672
2020-12-19,0.16351146,0.16346939
2020-12-20,0.043241534,0.043205015
2020-12-21,0.052040044,0.052604016
2020-12-22,0.08264841,0.082874276
2020-12-23,0.05984937,0.060198035
2020-12-24,0.042149402,0.042491898
2020-12-25,0.061302807,0.06162906
2020-12-26,0.120922275,0.120423794
2020-12-27,0.065128274,0.065086454
2020-12-28,0.04201062,0.041751698
2020-12-29,0.094524354,0.09491924
2020-12-30,0.05529814,0.055098586
2020-12-31,0.08977951,0.089976415
2021-01-01,0.097152755,0.097342595
2021-01-02,0.0311012,0.031451564
2021-01-03,0.095141344,0.09581047
2021-01-04,0.05755931,0.057656568
2021-01-05,0.07883918,0.079058744
2021-01-06,0.05437232,0.054697953
2021-01-07,0.05997289,0.059300806
2021-01-08,0.06955093,0.06942429
2021-01-09,0.050288238,0.050489128
2021-01-10,0.03684476,0.036382623
2021-01-11,0.1613679,0.16162926
2021-01-12,0.110581316,0.11040122
2021-01-13,0.04147193,0.041264128
2021-01-14,0.057924557,0.058378328
