,Actual_data,Predicted_data
2020-11-24,0.25075758,0.25805497
2020-11-25,0.0401213,0.022271087
2020-11-26,0.0,-0.005208488
2020-11-27,0.045592405,0.03043384
2020-11-28,0.13083042,0.12494338
2020-11-29,0.16048552,0.15452255
2020-11-30,0.380462,0.35911316
2020-12-01,0.10843685,0.11102661
2020-12-02,0.07715712,0.072576284
2020-12-03,0.15045658,0.14018291
2020-12-04,0.15602943,0.16322336
2020-12-05,0.0590029,0.06358162
2020-12-06,0.09462741,0.08823729
2020-12-07,0.071646616,0.08028246
2020-12-08,0.03519489,0.040547356
2020-12-09,0.055725284,0.058727585
2020-12-10,0.10747033,0.12054594
2020-12-11,0.56624293,0.584449
2020-12-12,0.29256317,0.28112775
2020-12-13,0.13263941,0.12860975
2020-12-14,0.14329888,0.13845302
2020-12-15,0.19208302,0.18790543
2020-12-16,0.12844722,0.12873234
2020-12-17,0.11023301,0.10493822
2020-12-18,0.102360085,0.097644866
2020-12-19,0.119992495,0.11185646
2020-12-20,0.09119526,0.089418806
2020-12-21,0.15839316,0.1619461
2020-12-22,0.085376434,0.08286826
2020-12-23,0.08579856,0.08555707
2020-12-24,0.07056105,0.073131464
2020-12-25,0.037911773,0.03944638
2020-12-26,0.06542669,0.06167981
2020-12-27,0.07643567,0.0802634
2020-12-28,0.09007313,0.09069423
2020-12-29,0.15364943,0.1439546
2020-12-30,0.0927385,0.0929453
2020-12-31,0.11691291,0.12171138
2021-01-01,0.07422328,0.070063345
2021-01-02,0.05504423,0.047745273
2021-01-03,0.0731059,0.07370848
2021-01-04,0.079080015,0.0749065
2021-01-05,0.05280743,0.052480668
2021-01-06,0.02533712,0.034689855
2021-01-07,0.04752731,0.048982188
2021-01-08,0.03478321,0.031634852
2021-01-09,0.072242446,0.06973531
2021-01-10,0.02896894,0.038400315
2021-01-11,0.049078528,0.05282
2021-01-12,0.036538046,0.037803702
2021-01-13,0.034599874,0.0334378
2021-01-14,0.037163,0.0355746
2021-01-15,0.08708803,0.088288486
2021-01-16,0.05811286,0.058529332
2021-01-17,0.051763814,0.054720305
2021-01-18,0.06802896,0.07066695
2021-01-19,0.05473276,0.058573417
2021-01-20,0.033289444,0.02835317
2021-01-21,0.02894544,0.031031484
2021-01-22,0.11263152,0.11443214
2021-01-23,0.05873875,0.06379829
2021-01-24,0.07922043,0.080158025
2021-01-25,0.0672425,0.070756555
2021-01-26,0.03185621,0.03149013
2021-01-27,0.06064947,0.062049598
2021-01-28,0.055136137,0.0653477
2021-01-29,0.044352792,0.048127472
2021-01-30,0.060450923,0.06520384
2021-01-31,0.056095686,0.059708256
2021-02-01,0.07670012,0.076595575
2021-02-02,0.059029315,0.06433011
