,Actual_data,Predicted_data
2020-11-24,0.26675105,0.27318966
2020-11-25,0.055573292,0.061237745
2020-11-26,0.29421175,0.3010382
2020-11-27,0.59110016,0.58021855
2020-11-28,0.1818786,0.18713
2020-11-29,0.12824826,0.13108303
2020-11-30,0.24398534,0.24759023
2020-12-01,0.10003468,0.10701913
2020-12-02,0.12967503,0.13100658
2020-12-03,0.35012424,0.34799406
2020-12-04,0.123502396,0.12625487
2020-12-05,0.033345878,0.038350932
2020-12-06,0.021513514,0.027509851
2020-12-07,0.11961062,0.1272797
2020-12-08,0.09712498,0.09759461
2020-12-09,0.08260136,0.08730069
2020-12-10,0.08550431,0.09284745
2020-12-11,0.14760108,0.15759139
2020-12-12,0.10240517,0.10427104
2020-12-13,0.014931771,0.022693185
2020-12-14,0.24437985,0.24483901
2020-12-15,0.09808353,0.107137874
2020-12-16,0.067515865,0.07330023
2020-12-17,0.02995419,0.035341382
2020-12-18,0.033128258,0.041159164
2020-12-19,0.020557743,0.029409554
2020-12-20,0.020557785,0.028560687
2020-12-21,0.061253935,0.06917174
2020-12-22,0.24149689,0.24870756
2020-12-23,0.06473897,0.072927885
2020-12-24,0.07562061,0.08328399
2020-12-25,0.06289031,0.07046397
2020-12-26,0.047644537,0.054854188
2020-12-27,0.018414862,0.025097823
2020-12-28,0.18302613,0.18964498
2020-12-29,0.11735005,0.1250846
2020-12-30,0.04219299,0.048173733
2020-12-31,0.06794072,0.07516898
2021-01-01,0.023823548,0.031699043
2021-01-02,0.04793254,0.056483626
2021-01-03,0.03490456,0.041894615
2021-01-04,0.04574178,0.052557956
2021-01-05,0.051755533,0.0581335
2021-01-06,0.0608481,0.06731628
2021-01-07,0.054828458,0.056404825
2021-01-08,0.03548315,0.043920282
2021-01-09,0.029648246,0.035887063
2021-01-10,0.007638405,0.012545942
2021-01-11,0.054297846,0.060313523
2021-01-12,0.08495971,0.09158957
2021-01-13,0.031270087,0.035954077
2021-01-14,0.032629725,0.040443785
2021-01-15,0.059562314,0.06670709
2021-01-16,0.03531707,0.041270435
2021-01-17,0.025016308,0.031817745
2021-01-18,0.09216548,0.091717854
2021-01-19,0.013342114,0.019484436
2021-01-20,0.0,0.007058909
2021-01-21,0.017252747,0.018748855
2021-01-22,0.019620784,0.025271468
2021-01-23,0.0,0.0065787663
2021-01-24,2.9088972,2.8787036
2021-01-25,0.02396998,0.02905947
2021-01-26,0.006102131,0.012794857
2021-01-27,0.025660262,0.026428912
2021-01-28,0.0063742227,0.013044313
2021-01-29,0.01291295,0.019449132
2021-01-30,0.0,0.0011847314
2021-01-31,0.0067164768,0.012587966
2021-02-01,0.0,0.0060556456
2021-02-02,0.049682908,0.056010872
2021-02-03,0.01361579,0.020024918
2021-02-04,0.0,0.005525221
2021-02-05,0.05409524,0.059645325
2021-02-06,0.038739383,0.04410251
2021-02-07,0.024863888,0.027278189
2021-02-08,0.050038714,0.058419216
2021-02-09,0.0,0.006812639
2021-02-10,0.081143975,0.08762076
2021-02-11,0.027799381,0.0332186
