,Actual_data,Predicted_data
2020-11-24,0.45008633,0.4496679
2020-11-25,0.40007886,0.3993942
2020-11-26,0.3200652,0.3194281
2020-11-27,0.2828879,0.28258967
2020-11-28,0.178901,0.17862342
2020-11-29,0.35870165,0.35807186
2020-11-30,0.15739839,0.15700346
2020-12-01,0.14038604,0.14029144
2020-12-02,0.05883883,0.05862632
2020-12-03,0.11701209,0.11675599
2020-12-04,0.09866646,0.09839195
2020-12-05,0.10762533,0.10724561
2020-12-06,0.10031588,0.10011586
2020-12-07,0.06862237,0.06836951
2020-12-08,0.04763385,0.047324773
2020-12-09,0.07752453,0.07740099
2020-12-10,0.06359039,0.0633969
2020-12-11,0.14360018,0.14348125
2020-12-12,0.12900455,0.12877215
2020-12-13,0.04404136,0.04394336
2020-12-14,0.09196267,0.091796
2020-12-15,0.089947045,0.089714915
2020-12-16,0.0946614,0.09442319
2020-12-17,0.078979895,0.078672945
2020-12-18,0.077722155,0.07752067
2020-12-19,0.064481184,0.06433786
2020-12-20,0.039156362,0.039082594
2020-12-21,0.052443,0.052416068
2020-12-22,0.064545736,0.064532846
2020-12-23,0.0864845,0.08642261
2020-12-24,0.04216589,0.04204554
2020-12-25,0.05214899,0.05206044
2020-12-26,0.08234536,0.08233927
2020-12-27,0.0725315,0.0725891
2020-12-28,0.035287987,0.035375454
2020-12-29,0.085197404,0.0851777
2020-12-30,0.16236752,0.16232347
2020-12-31,0.11734928,0.11733276
2021-01-01,0.05161692,0.051784806
2021-01-02,0.038719054,0.038733203
2021-01-03,0.077613704,0.077463485
2021-01-04,0.030382546,0.03022247
2021-01-05,0.078722395,0.07845602
2021-01-06,0.047063664,0.04705754
2021-01-07,0.05131391,0.051353652
2021-01-08,0.036192942,0.036116764
2021-01-09,0.073959865,0.07411476
2021-01-10,0.041877158,0.042000365
2021-01-11,0.047867052,0.048012976
2021-01-12,0.07905857,0.07927094
2021-01-13,0.09117686,0.09118211
2021-01-14,0.11612806,0.11617369
2021-01-15,0.15453725,0.15457352
2021-01-16,0.079125926,0.079289675
2021-01-17,0.022488099,0.022605175
2021-01-18,0.040699273,0.04072591
2021-01-19,0.030974928,0.03101531
2021-01-20,0.04813649,0.04819186
2021-01-21,0.05886694,0.058797378
2021-01-22,0.08467842,0.084671915
2021-01-23,0.049298264,0.049025267
2021-01-24,0.05105922,0.050916843
2021-01-25,0.06875496,0.06903395
2021-01-26,0.08026264,0.07990995
2021-01-27,0.13647059,0.13622658
2021-01-28,0.0829932,0.08297523
2021-01-29,0.050418667,0.050795928
2021-01-30,0.056225646,0.056138966
2021-01-31,0.043895725,0.043910418
2021-02-01,0.034610733,0.034437433
2021-02-02,0.055601697,0.056301672
2021-02-03,0.07477512,0.07470759
2021-02-04,0.093036205,0.09364691
2021-02-05,0.038388915,0.038548056
2021-02-06,0.02603388,0.026169287
2021-02-07,0.026888795,0.026572656
2021-02-08,0.027801763,0.027918221
2021-02-09,0.06214528,0.062182847
2021-02-10,0.099062406,0.09939406
2021-02-11,0.10083497,0.10092568
2021-02-12,0.1035402,0.10368671
2021-02-13,0.056020334,0.056042057
2021-02-14,0.057085615,0.055994503
2021-02-15,0.07230877,0.07167317
2021-02-16,0.070434496,0.07042753
2021-02-17,0.10379879,0.103528865
2021-02-18,0.058877956,0.059063014
2021-02-19,0.054953024,0.054818805
2021-02-20,0.04710279,0.04728801
2021-02-21,0.046555247,0.04617058
2021-02-22,0.046020295,0.045878645
2021-02-23,0.049288962,0.04928388
2021-02-24,0.069833644,0.0699294
2021-02-25,0.044576913,0.044552118
2021-02-26,0.038998347,0.039160285
2021-02-27,0.023496721,0.023846006
2021-02-28,0.078893535,0.07910813
2021-03-01,0.08341388,0.083604924
2021-03-02,0.03964244,0.040261775
2021-03-03,0.09433263,0.09458747
2021-03-04,0.11060545,0.110776894
2021-03-05,0.064928785,0.06502143
2021-03-06,0.03281931,0.0327596
2021-03-07,0.06786378,0.06800662
2021-03-08,0.107451364,0.10794609
2021-03-09,0.03808152,0.03761495
2021-03-10,0.0787305,0.07902303
2021-03-11,0.086293645,0.086452514
2021-03-12,0.09560215,0.095461905
2021-03-13,0.06996347,0.07031306
2021-03-14,0.020639582,0.020857595
2021-03-15,0.038500804,0.03903764
2021-03-16,0.06401891,0.06331257
2021-03-17,0.04004105,0.04001647
2021-03-18,0.042726822,0.04227443
2021-03-19,0.05966407,0.059796397
2021-03-20,0.12851101,0.12860218
2021-03-21,0.16165844,0.16165882
2021-03-22,0.045762133,0.046063486
2021-03-23,0.103767276,0.104267724
2021-03-24,0.11506369,0.114920594
2021-03-25,0.061175894,0.061245587
2021-03-26,0.18769938,0.18772295
2021-03-27,0.2919797,0.29208836
2021-03-28,0.22577773,0.22593673
2021-03-29,0.15157588,0.15180233
2021-03-30,0.18145275,0.181353
2021-03-31,0.1473061,0.14718828
2021-04-01,0.09189319,0.09218486
2021-04-02,0.13723814,0.13700686
2021-04-03,0.12288146,0.122862816
2021-04-04,0.089160666,0.08910616
2021-04-05,0.06067965,0.060928203
2021-04-06,0.06481521,0.06482282
2021-04-07,0.08563201,0.085509636
2021-04-08,0.082916126,0.08304152
2021-04-09,0.08221549,0.08208605
2021-04-10,0.06391174,0.06403927
2021-04-11,0.067811206,0.06802924
2021-04-12,0.056760386,0.056537334
2021-04-13,0.07173221,0.07140473
2021-04-14,0.08010702,0.08015143
2021-04-15,0.06527344,0.06467347
2021-04-16,0.05146527,0.05186558
2021-04-17,0.04739344,0.04705084
2021-04-18,0.04165769,0.04178291
2021-04-19,0.04815994,0.0479419
2021-04-20,0.055261385,0.055577014
2021-04-21,0.062482774,0.06230986
2021-04-22,0.057174735,0.057402954
2021-04-23,0.078966126,0.07876456
2021-04-24,0.07886855,0.0788114
2021-04-25,0.04602298,0.04594206
2021-04-26,0.0575556,0.05762098
2021-04-27,0.064422466,0.06478709
2021-04-28,0.08060253,0.08052053
2021-04-29,0.06635186,0.066413894
2021-04-30,0.06166397,0.06168915
2021-05-01,0.07107537,0.07103924
2021-05-02,0.03431354,0.034278184
2021-05-03,0.035064552,0.035234116
2021-05-04,0.05188137,0.05208674
2021-05-05,0.064615674,0.06473775
2021-05-06,0.049488414,0.049480006
2021-05-07,0.065477125,0.06554033
2021-05-08,0.025292061,0.025583787
2021-05-09,0.055182844,0.054923996
2021-05-10,0.03916772,0.039317425
2021-05-11,0.02928593,0.029304136
2021-05-12,0.062795095,0.063053034
2021-05-13,0.080395006,0.0803686
2021-05-14,0.1445601,0.14473386
2021-05-15,0.10213761,0.10211464
2021-05-16,0.039799344,0.040060993
2021-05-17,0.04369485,0.043694805
2021-05-18,0.09167409,0.091627955
2021-05-19,0.056948997,0.057050746
2021-05-20,0.052168615,0.052024987
2021-05-21,0.099453814,0.099573374
2021-05-22,0.05309101,0.053374875
2021-05-23,0.052169517,0.051978484
2021-05-24,0.056630913,0.05669703
2021-05-25,0.07732144,0.07728132
2021-05-26,0.060707312,0.06170332
2021-05-27,0.044141658,0.044229016
2021-05-28,0.04937859,0.048642404
2021-05-29,0.05086677,0.051019363
2021-05-30,0.07154915,0.07131304
2021-05-31,0.11542143,0.115849674
2021-06-01,0.08153384,0.08168603
2021-06-02,0.12720098,0.12578861
2021-06-03,0.052524507,0.0533104
2021-06-04,0.06401979,0.0639889
2021-06-05,0.08249514,0.0827111
