,Actual_data,Predicted_data
2020-11-24,0.10519291,0.1057554
2020-11-25,0.14653024,0.14715517
2020-11-26,0.1270527,0.1275911
2020-11-27,0.10256498,0.10297809
2020-11-28,0.08566678,0.08610432
2020-11-29,0.0829309,0.08334358
2020-11-30,0.077649325,0.078082345
2020-12-01,0.09364113,0.09410748
2020-12-02,0.12118849,0.12177893
2020-12-03,0.12744573,0.12807515
2020-12-04,0.09485471,0.095224485
2020-12-05,0.09936121,0.0997858
2020-12-06,0.09073603,0.09124144
2020-12-07,0.07479868,0.07512239
2020-12-08,0.09038361,0.09078811
2020-12-09,0.08282154,0.08318344
2020-12-10,0.08244954,0.08282327
2020-12-11,0.11661332,0.11714205
2020-12-12,0.12135291,0.12191875
2020-12-13,0.062066294,0.062376812
2020-12-14,0.06994905,0.07029878
2020-12-15,0.10260296,0.10319652
2020-12-16,0.10933891,0.109953895
2020-12-17,0.09877631,0.09919209
2020-12-18,0.09196542,0.092420734
2020-12-19,0.11036788,0.11091678
2020-12-20,0.07276274,0.07316186
2020-12-21,0.069044285,0.069443114
2020-12-22,0.080103345,0.08055153
2020-12-23,0.06654038,0.06696974
2020-12-24,0.11351474,0.11402864
2020-12-25,0.09008136,0.09048494
2020-12-26,0.06876163,0.069108374
2020-12-27,0.057198264,0.057442393
2020-12-28,0.09817003,0.09872095
2020-12-29,0.06940071,0.0697437
2020-12-30,0.06553189,0.065834984
2020-12-31,0.064580716,0.06483126
2021-01-01,0.045563553,0.045772508
2021-01-02,0.036961228,0.037171442
2021-01-03,0.06649064,0.066810764
2021-01-04,0.03729718,0.03742655
2021-01-05,0.052934702,0.05311464
2021-01-06,0.061155282,0.061440174
2021-01-07,0.03950863,0.039665837
2021-01-08,0.04201974,0.04213536
2021-01-09,0.044549085,0.044713892
2021-01-10,0.035049096,0.03513338
2021-01-11,0.043205746,0.043321848
2021-01-12,0.043280594,0.04341862
2021-01-13,0.040885437,0.040941592
2021-01-14,0.041694835,0.0418224
2021-01-15,0.05538917,0.055509634
2021-01-16,0.05325774,0.053396016
2021-01-17,0.0494439,0.049598727
2021-01-18,0.040987868,0.04111666
2021-01-19,0.060202174,0.060403015
2021-01-20,0.055418085,0.055580575
2021-01-21,0.055183236,0.05541851
2021-01-22,0.063243076,0.063517846
2021-01-23,0.068301566,0.06849907
2021-01-24,0.05334455,0.05349148
2021-01-25,0.056112178,0.05634168
2021-01-26,0.07204428,0.0722092
2021-01-27,0.059402637,0.059503276
2021-01-28,0.06441776,0.06458634
2021-01-29,0.08818402,0.0884082
2021-01-30,0.05815134,0.05837383
2021-01-31,0.063890256,0.06404348
2021-02-01,0.077585556,0.077879325
2021-02-02,0.11212499,0.11248911
2021-02-03,0.099909894,0.10025482
2021-02-04,0.07125093,0.07133416
2021-02-05,0.08036661,0.08058315
2021-02-06,0.08021046,0.08039469
2021-02-07,0.06200792,0.06216424
2021-02-08,0.049527552,0.049705856
2021-02-09,0.0970502,0.09740782
2021-02-10,0.098970585,0.09926818
2021-02-11,0.082001746,0.08224884
2021-02-12,0.06894345,0.0691839
2021-02-13,0.077683926,0.07792789
2021-02-14,0.074683614,0.07492541
2021-02-15,0.07848595,0.07870732
2021-02-16,0.12378874,0.12418382
2021-02-17,0.08588899,0.08614736
2021-02-18,0.08306934,0.08327981
2021-02-19,0.05538869,0.055604346
2021-02-20,0.059072156,0.059260387
2021-02-21,0.04847468,0.048591703
2021-02-22,0.057321005,0.05750593
2021-02-23,0.064994514,0.06520612
2021-02-24,0.055844747,0.056047156
2021-02-25,0.061682526,0.061886985
2021-02-26,0.062475313,0.06275333
2021-02-27,0.057366475,0.05750643
2021-02-28,0.044662744,0.044822536
2021-03-01,0.060938004,0.061116118
2021-03-02,0.060617626,0.06075364
2021-03-03,0.06467464,0.064865425
2021-03-04,0.07339152,0.07359279
2021-03-05,0.07499298,0.07519979
2021-03-06,0.07711233,0.07728135
2021-03-07,0.05835128,0.058656357
2021-03-08,0.059727404,0.059885114
2021-03-09,0.081908286,0.08210874
2021-03-10,0.082201324,0.0824738
2021-03-11,0.08260897,0.08289865
2021-03-12,0.08217514,0.082492575
2021-03-13,0.06539669,0.06582284
2021-03-14,0.0639435,0.064106606
2021-03-15,0.045888696,0.046095077
2021-03-16,0.07148481,0.07176874
2021-03-17,0.07382473,0.074173756
2021-03-18,0.086615376,0.086810775
2021-03-19,0.067546435,0.067773454
2021-03-20,0.07398403,0.0742562
2021-03-21,0.06478246,0.06501648
2021-03-22,0.057345357,0.057446275
2021-03-23,0.08123309,0.08157122
2021-03-24,0.075349286,0.07557505
2021-03-25,0.0722605,0.072598256
2021-03-26,0.076712206,0.076940976
2021-03-27,0.08401524,0.08435927
2021-03-28,0.06413142,0.06440616
2021-03-29,0.08701199,0.08730627
2021-03-30,0.091213964,0.09154273
2021-03-31,0.11242719,0.11285
2021-04-01,0.089985386,0.09035672
2021-04-02,0.08312579,0.08339759
2021-04-03,0.07823671,0.078560024
2021-04-04,0.07882326,0.07910118
2021-04-05,0.0745744,0.07479108
2021-04-06,0.09797216,0.098375
2021-04-07,0.11721033,0.11760931
2021-04-08,0.09780445,0.09823217
2021-04-09,0.08770084,0.0879333
2021-04-10,0.090464406,0.09073978
2021-04-11,0.06635954,0.06660871
2021-04-12,0.063301094,0.06355473
2021-04-13,0.098448776,0.09879004
2021-04-14,0.08354089,0.08388367
2021-04-15,0.082587585,0.08284248
2021-04-16,0.08142094,0.08173267
2021-04-17,0.074811004,0.07518328
2021-04-18,0.04925208,0.04944582
2021-04-19,0.053494796,0.05366228
2021-04-20,0.078769244,0.0791218
2021-04-21,0.08251303,0.0828464
2021-04-22,0.07355528,0.07384682
2021-04-23,0.091586806,0.091590144
2021-04-24,0.062186114,0.0624674
2021-04-25,0.05549086,0.055673223
2021-04-26,0.041919358,0.042132653
2021-04-27,0.09429989,0.09467396
2021-04-28,0.08299104,0.08329754
2021-04-29,0.08269189,0.08305004
2021-04-30,0.070754185,0.071027875
2021-05-01,0.06656787,0.06679254
2021-05-02,0.046827395,0.046860844
2021-05-03,0.0680954,0.06841037
2021-05-04,0.08692814,0.08725339
2021-05-05,0.076874435,0.077080704
2021-05-06,0.06533429,0.06551225
2021-05-07,0.08914078,0.089388035
2021-05-08,0.07212117,0.07241343
2021-05-09,0.05176887,0.051949143
2021-05-10,0.060132995,0.06037802
2021-05-11,0.080510184,0.08081229
2021-05-12,0.08337931,0.08369481
2021-05-13,0.08485057,0.085100785
2021-05-14,0.09316487,0.09335763
2021-05-15,0.076480485,0.076694764
2021-05-16,0.06925139,0.06950457
2021-05-17,0.059650227,0.059754297
2021-05-18,0.08671498,0.08711184
2021-05-19,0.08395919,0.08424877
2021-05-20,0.059062947,0.059508238
2021-05-21,0.0715976,0.07195534
2021-05-22,0.06303957,0.06319942
2021-05-23,0.04864868,0.04886262
2021-05-24,0.048333082,0.048517413
2021-05-25,0.09221774,0.09255043
2021-05-26,0.07598455,0.07619847
2021-05-27,0.07482572,0.07510054
2021-05-28,0.06823797,0.068342194
2021-05-29,0.05748761,0.05776113
2021-05-30,0.04761199,0.04782284
2021-05-31,0.055145673,0.055287648
2021-06-01,0.09769984,0.09807944
2021-06-02,0.08114348,0.081504
2021-06-03,0.078545205,0.07878133
2021-06-04,0.10427344,0.104652084
2021-06-05,0.06568629,0.065978765
2021-06-06,0.0583908,0.058646932
2021-06-07,0.050676458,0.050854083
2021-06-08,0.06669471,0.06703088
2021-06-09,0.0795149,0.0798291
2021-06-10,0.076687805,0.076931156
2021-06-11,0.07848679,0.07867216
2021-06-12,0.066066034,0.06636012
2021-06-13,0.045524534,0.045707602
2021-06-14,0.049029175,0.04918885
2021-06-15,0.07567999,0.07601378
2021-06-16,0.077333145,0.077598736
2021-06-17,0.07736469,0.07767373
2021-06-18,0.07638223,0.07657355
2021-06-19,0.06601376,0.06627465
2021-06-20,0.053912573,0.054128297
2021-06-21,0.053239137,0.05343841
2021-06-22,0.09622433,0.09656373
2021-06-23,0.10058782,0.10093773
2021-06-24,0.105697304,0.10604632
2021-06-25,0.10078176,0.101113215
2021-06-26,0.09083251,0.091126226
2021-06-27,0.06776965,0.068004526
2021-06-28,0.073412076,0.07368584
2021-06-29,0.1308439,0.13125609
2021-06-30,0.109576054,0.10998553
2021-07-01,0.109142,0.10951177
2021-07-02,0.10828613,0.10860045
2021-07-03,0.083134405,0.08350009
2021-07-04,0.08528903,0.08557875
2021-07-05,0.0848475,0.08515384
2021-07-06,0.14699511,0.14749914
2021-07-07,0.12781286,0.12826267
2021-07-08,0.109365456,0.10984417
2021-07-09,0.10534595,0.10568363
2021-07-10,0.10027491,0.10064067
2021-07-11,0.075450584,0.07579827
2021-07-12,0.07503024,0.07532455
2021-07-13,0.11043147,0.110865995
2021-07-14,0.086093135,0.086344644
2021-07-15,0.09158332,0.09195326
2021-07-16,0.08687932,0.08717175
2021-07-17,0.07870189,0.078984454
2021-07-18,0.061044592,0.061327912
2021-07-19,0.05648873,0.056727182
2021-07-20,0.08569691,0.09538779
2021-07-21,0.070584826,0.08978808
2021-07-22,0.07394788,0.08099331
2021-07-23,0.06610775,0.08874355
2021-07-24,0.06995801,0.06124892
2021-07-25,0.048926234,0.044199318
2021-07-26,0.050811917,0.059938226
2021-07-27,0.0837474,0.07009174
2021-07-28,0.075833455,0.082496
2021-07-29,0.07205422,0.0774819
2021-07-30,0.070981644,0.080254816
2021-07-31,0.0715788,0.06514706
2021-08-01,0.055495374,0.057707995
2021-08-02,0.047815043,0.061280835
