,Actual_data,Predicted_data
2020-11-24,0.0,0.008586755
2020-11-25,0.5715659,0.57999736
2020-11-26,0.27279577,0.2805957
2020-11-27,0.0,0.013326336
2020-11-28,0.2500648,0.25944865
2020-11-29,0.066684484,0.07423819
2020-11-30,0.13336933,0.14265166
2020-12-01,0.4376205,0.4534417
2020-12-02,0.17396423,0.18050268
2020-12-03,0.0,0.0063439948
2020-12-04,0.14819336,0.15703645
2020-12-05,0.09680477,0.10390038
2020-12-06,0.0,0.0075474908
2020-12-07,0.030312851,0.040428773
2020-12-08,0.03126021,0.03987876
2020-12-09,0.030313013,0.04314661
2020-12-10,0.0,0.009225167
2020-12-11,0.03704934,0.04718082
2020-12-12,0.0,0.011594175
2020-12-13,0.12004018,0.12828127
2020-12-14,0.037049737,0.043707892
2020-12-15,0.0,0.009071757
2020-12-16,0.0,0.010252181
2020-12-17,0.0,0.00500323
2020-12-18,0.0,0.0116595235
2020-12-19,0.09094051,0.094578676
2020-12-20,0.0,0.00880728
2020-12-21,0.11114981,0.119486175
2020-12-22,0.111150116,0.11706933
2020-12-23,0.22230083,0.23255733
2020-12-24,0.10003591,0.11089724
2020-12-25,0.09094199,0.09729341
2020-12-26,0.5456534,0.5558954
2020-12-27,0.11769185,0.12667762
2020-12-28,0.25009656,0.25744307
2020-12-29,0.10530495,0.11487742
2020-12-30,0.0,0.0059754704
2020-12-31,0.047638208,0.053059172
2021-01-01,0.13641888,0.1433299
2021-01-02,0.04001653,0.045570325
2021-01-03,0.0,0.009755151
2021-01-04,0.0,0.013760923
2021-01-05,0.041683994,0.05152109
2021-01-06,0.12505232,0.12884593
2021-01-07,0.0,0.0078791715
2021-01-08,0.0,0.00834175
2021-01-09,0.0,0.008238598
2021-01-10,0.0,0.0005082082
2021-01-11,0.06669512,0.07442434
2021-01-12,0.0,0.0062412443
2021-01-13,0.2000859,0.21031097
2021-01-14,0.33347827,0.34214956
2021-01-15,0.066696376,0.07215301
2021-01-16,0.07695756,0.085897155
2021-01-17,0.15391554,0.15759966
2021-01-18,0.20009127,0.20646107
2021-01-19,0.0,0.010192914
2021-01-20,0.05885086,0.06372571
2021-01-21,0.0,0.013607312
2021-01-22,0.06669782,0.07124217
2021-01-23,0.6878231,0.70182735
2021-01-24,0.07411109,0.081634216
2021-01-25,0.06900035,0.07892221
2021-01-26,0.1334014,0.14152735
2021-01-27,0.029427096,0.038211588
2021-01-28,0.0,0.008091782
2021-01-29,0.0,0.011523797
2021-01-30,0.071466,0.078007944
2021-01-31,0.0,0.0062193796
2021-02-01,0.0,0.008813897
2021-02-02,0.041688725,0.048862856
2021-02-03,0.0,0.009054051
2021-02-04,0.0,0.008403052
2021-02-05,0.0,0.010248872
2021-02-06,0.043501396,0.053024832
2021-02-07,0.076964214,0.086818375
2021-02-08,0.08337812,0.084306665
2021-02-09,0.0909582,0.09801419
2021-02-10,0.0,0.00808503
2021-02-11,0.2858694,0.2943854
2021-02-12,0.55586016,0.56975806
2021-02-13,0.1429374,0.15132786
2021-02-14,0.0,0.0057508545
2021-02-15,0.0,0.0048199515
2021-02-16,0.14293818,0.15034445
2021-02-17,0.06670485,0.07208905
2021-02-18,0.06253596,0.07250387
2021-02-19,0.0,0.014263118
2021-02-20,0.05885753,0.06425817
2021-02-21,0.0,0.0036598723
2021-02-22,0.06253629,0.06896101
2021-02-23,0.12507294,0.13566095
2021-02-24,0.0,0.006118619
2021-02-25,0.058858167,0.068943225
2021-02-26,0.06253697,0.067024946
2021-02-27,0.5002971,0.5126942
2021-02-28,0.062538154,0.067067295
2021-03-01,0.294298,0.3003341
2021-03-02,0.18193212,0.18908004
2021-03-03,0.0,0.0045916247
2021-03-04,0.043505978,0.051254846
2021-03-05,0.08701219,0.09193967
2021-03-06,0.080051646,0.08631001
2021-03-07,0.038486578,0.046310034
2021-03-08,0.0,0.0072761495
2021-03-09,0.0,0.011523104
2021-03-10,0.0,0.008114608
2021-03-11,0.08338781,0.08997557
2021-03-12,0.0,0.0016085509
2021-03-13,0.0,0.0060486877
2021-03-14,0.11118434,0.12108123
2021-03-15,0.0,0.007840271
2021-03-16,0.2144281,0.22252795
2021-03-17,0.07697482,0.08166236
2021-03-18,0.0,0.0096014505
2021-03-19,0.0,0.010883618
2021-03-20,0.0,0.011474232
2021-03-21,0.0,0.013180772
2021-03-22,0.0,0.01117365
2021-03-23,0.0,0.0045316867
2021-03-24,0.0,0.009114458
2021-03-25,0.0,0.009902392
2021-03-26,0.16677922,0.17635758
2021-03-27,0.0,0.02293438
2021-03-28,0.0,0.014798556
2021-03-29,0.4002712,0.40422305
2021-03-30,2.4302313,2.434992
2021-03-31,0.61949915,0.6238254
2021-04-01,0.24260958,0.24627458
2021-04-02,0.24409418,0.24664801
2021-04-03,0.058871362,0.063424945
2021-04-04,0.07413491,0.08151722
2021-04-05,0.0,0.006262036
2021-04-06,0.017255727,0.022384567
2021-04-07,0.118743114,0.12805887
2021-04-08,0.07582226,0.08335912
2021-04-09,0.056386888,0.06362504
2021-04-10,0.01352538,0.024272932
2021-04-11,0.06672539,0.07384604
2021-04-12,0.025022358,0.03367968
2021-04-13,0.025022492,0.034088086
2021-04-14,0.046195623,0.050992604
2021-04-15,0.054595266,0.06171396
2021-04-16,0.0,0.0044954694
2021-04-17,0.050046068,0.05846672
2021-04-18,0.02566479,0.030828822
