,Actual_data,Predicted_data
2020-11-24,0.3333853,0.33277532
2020-11-25,0.5834258,0.58226603
2020-11-26,0.38895297,0.3878785
2020-11-27,0.12002052,0.11978893
2020-11-28,0.0,-0.00016579263
2020-11-29,0.10716147,0.10681758
2020-11-30,0.09679126,0.09644124
2020-12-01,0.2941703,0.2938234
2020-12-02,0.048789658,0.04855642
2020-12-03,0.116301134,0.11614376
2020-12-04,0.02083738,0.020613354
2020-12-05,0.0625122,0.0625484
2020-12-06,0.7601503,0.7605482
2020-12-07,0.7013118,0.70165455
2020-12-08,0.095917836,0.095894314
2020-12-09,0.10194124,0.1018347
2020-12-10,0.2832211,0.28324243
2020-12-11,0.11169008,0.111626394
2020-12-12,0.035411507,0.03533512
2020-12-13,0.02137569,0.02132996
2020-12-14,0.2077074,0.2071467
2020-12-15,0.021285754,0.021168392
2020-12-16,0.035986897,0.03587713
2020-12-17,0.1084398,0.1081881
2020-12-18,0.028859777,0.02872916
2020-12-19,0.018759005,0.018613596
2020-12-20,0.05265714,0.05271318
2020-12-21,0.019877499,0.01984071
2020-12-22,0.07291138,0.07259148
2020-12-23,0.035875298,0.03588764
2020-12-24,0.049206406,0.049004074
2020-12-25,0.038298216,0.0380662
2020-12-26,0.005157464,0.005054063
2020-12-27,0.010701058,0.010565317
2020-12-28,0.021751104,0.02170317
2020-12-29,0.115171716,0.11500246
2020-12-30,0.23503289,0.23486951
2020-12-31,0.24727465,0.24704012
2021-01-01,0.091456175,0.09126685
2021-01-02,0.036106046,0.036092456
2021-01-03,0.025657937,0.025557006
2021-01-04,0.021872438,0.02172224
2021-01-05,0.0110571,0.010806074
2021-01-06,0.054581963,0.054456323
2021-01-07,0.06064711,0.06040644
2021-01-08,0.049113438,0.048942015
2021-01-09,0.2087336,0.20821312
2021-01-10,0.07148027,0.071164146
2021-01-11,0.033678625,0.03356363
2021-01-12,0.05217141,0.051937357
2021-01-13,0.04858021,0.048538983
2021-01-14,0.033174407,0.03307401
2021-01-15,0.055598143,0.055565495
2021-01-16,0.13343649,0.13315587
2021-01-17,0.041128345,0.04082808
2021-01-18,0.05446504,0.054462362
2021-01-19,0.01988349,0.01996592
2021-01-20,0.019752728,0.019821836
2021-01-21,0.02056454,0.020499947
2021-01-22,0.014400148,0.014292571
2021-01-23,0.015049806,0.014999267
2021-01-24,0.019818097,0.01988896
2021-01-25,0.0,-0.00035028154
2021-01-26,0.07323041,0.07314869
2021-01-27,0.077986054,0.0778378
2021-01-28,0.0274199,0.02724766
2021-01-29,0.029009512,0.028772738
2021-01-30,0.09531713,0.095101446
2021-01-31,0.01962422,0.019387849
2021-02-01,0.021757307,0.02165975
2021-02-02,0.0,-0.00012596336
2021-02-03,0.05560206,0.055626836
2021-02-04,0.0,-0.00011655187
2021-02-05,0.06255243,0.062233772
2021-02-06,0.03127627,0.03075935
2021-02-07,0.03228521,0.032319635
2021-02-08,0.10008424,0.100203566
2021-02-09,0.0,0.0012613921
2021-02-10,0.074136674,0.07376395
2021-02-11,0.0,-0.00034069121
2021-02-12,0.09531875,0.09502375
2021-02-13,0.14297837,0.14298667
2021-02-14,0.2224114,0.22240138
2021-02-15,0.33361828,0.33367217
2021-02-16,0.33362037,0.33342695
2021-02-17,0.16681153,0.16665123
2021-02-18,0.30026236,0.29995948
2021-02-19,0.019247793,0.01919099
2021-02-20,0.07850087,0.07843088
2021-02-21,0.018534994,0.018468631
2021-02-22,0.03707002,0.03665169
2021-02-23,0.018884761,0.0190685
2021-02-24,0.037070118,0.03674141
2021-02-25,0.018535092,0.017794738
2021-02-26,0.054594323,0.054916557
2021-02-27,0.089365944,0.08932133
2021-02-28,0.0345139,0.034590703
2021-03-01,0.0,-0.0003997533
2021-03-02,0.02042663,0.02024679
2021-03-03,0.0,-0.00011150708
2021-03-04,0.08579192,0.08579171
2021-03-05,0.1539859,0.1540053
2021-03-06,0.069028415,0.06892232
2021-03-07,0.11121264,0.111213185
2021-03-08,0.37965795,0.37947586
2021-03-09,0.55314344,0.5530663
2021-03-10,0.39692646,0.39679557
2021-03-11,0.06335225,0.06331799
2021-03-12,0.0120598795,0.011694368
2021-03-13,0.012357665,0.012180933
2021-03-14,0.025999267,0.026010381
2021-03-15,0.03899897,0.038898733
2021-03-16,0.05004881,0.050037548
2021-03-17,0.06029999,0.06036836
2021-03-18,0.03412446,0.0341006
2021-03-19,0.034124557,0.03385199
2021-03-20,0.0805394,0.08050442
2021-03-21,0.01088039,0.0111123985
2021-03-22,0.088977486,0.08885946
2021-03-23,0.023011584,0.023078157
2021-03-24,0.0,-0.00012967428
2021-03-25,0.0,6.447201e-05
2021-03-26,0.1251257,0.12502238
2021-03-27,0.09100092,0.090848766
2021-03-28,0.063894495,0.06374511
2021-03-29,0.06256352,0.06251801
2021-03-30,0.2294002,0.22938341
2021-03-31,0.09100263,0.09087593
2021-04-01,0.12740424,0.12738153
2021-04-02,0.050900318,0.05050647
2021-04-03,0.186635,0.18676102
2021-04-04,0.015889715,0.015539655
2021-04-05,0.06355892,0.063533105
2021-04-06,0.44114357,0.4407785
2021-04-07,0.15679562,0.1564683
2021-04-08,0.09385232,0.09367903
2021-04-09,0.238357,0.23799846
2021-04-10,0.08809871,0.08774596
2021-04-11,0.25786722,0.25732112
2021-04-12,0.19654712,0.19634429
2021-04-13,0.15643601,0.1562987
2021-04-14,0.09964721,0.09933765
2021-04-15,0.10585754,0.10577186
2021-04-16,0.10669137,0.10652098
2021-04-17,0.078752406,0.07868746
2021-04-18,0.10121438,0.10102965
2021-04-19,0.06917044,0.06896415
2021-04-20,0.12165851,0.12156871
2021-04-21,0.0959404,0.09593722
2021-04-22,0.10780014,0.1079138
2021-04-23,0.13107859,0.13093449
2021-04-24,0.10580801,0.10586323
2021-04-25,0.029657872,0.029630672
2021-04-26,0.043128308,0.043067805
2021-04-27,0.08180988,0.08168146
2021-04-28,0.11320078,0.11313176
