,Actual_data,Predicted_data
2020-11-24,0.3333853,0.3293361
2020-11-25,0.5834258,0.5816679
2020-11-26,0.38895297,0.38640264
2020-11-27,0.12002052,0.118444994
2020-11-28,0.0,-0.0008384566
2020-11-29,0.10716147,0.10606189
2020-11-30,0.09679126,0.095925614
2020-12-01,0.2941703,0.29234526
2020-12-02,0.048789658,0.04597444
2020-12-03,0.116301134,0.1134289
2020-12-04,0.02083738,0.019430056
2020-12-05,0.0625122,0.059832346
2020-12-06,0.7601503,0.75392586
2020-12-07,0.7013118,0.6951428
2020-12-08,0.095917836,0.09267498
2020-12-09,0.10194124,0.099135175
2020-12-10,0.2832211,0.27728164
2020-12-11,0.11169008,0.11131554
2020-12-12,0.035411507,0.034823224
2020-12-13,0.02137569,0.020033807
2020-12-14,0.2077074,0.20678738
2020-12-15,0.021285754,0.021641992
2020-12-16,0.035986897,0.036173053
2020-12-17,0.1084398,0.107356384
2020-12-18,0.028859777,0.028755605
2020-12-19,0.018759005,0.018592292
2020-12-20,0.05265714,0.05185843
2020-12-21,0.019877499,0.02003108
2020-12-22,0.07291138,0.07177076
2020-12-23,0.035875298,0.03609572
2020-12-24,0.049206406,0.049650297
2020-12-25,0.038298216,0.03727881
2020-12-26,0.005157464,0.0042877467
2020-12-27,0.010701058,0.009895001
2020-12-28,0.021751104,0.02063778
2020-12-29,0.115171716,0.11475475
2020-12-30,0.23503289,0.23421508
2020-12-31,0.24727465,0.24638037
2021-01-01,0.091456175,0.09084108
2021-01-02,0.036106046,0.03549945
2021-01-03,0.025657937,0.025022019
2021-01-04,0.021872438,0.022175139
2021-01-05,0.0110571,0.010600698
2021-01-06,0.054581963,0.054022532
2021-01-07,0.06064711,0.06078318
2021-01-08,0.049113438,0.048498534
2021-01-09,0.2087336,0.20781657
2021-01-10,0.07148027,0.07156843
2021-01-11,0.033678625,0.03355205
2021-01-12,0.05217141,0.05299782
2021-01-13,0.04858021,0.049231917
2021-01-14,0.033174407,0.033561245
2021-01-15,0.055598143,0.056238066
2021-01-16,0.13343649,0.13661471
2021-01-17,0.041128345,0.04242374
2021-01-18,0.05446504,0.05455099
2021-01-19,0.01988349,0.021629354
2021-01-20,0.019752728,0.020089269
2021-01-21,0.02056454,0.021288492
2021-01-22,0.014400148,0.015780747
2021-01-23,0.015049806,0.01675995
2021-01-24,0.019818097,0.021556469
2021-01-25,0.0,0.0011260918
2021-01-26,0.07323041,0.07431165
2021-01-27,0.077986054,0.07994049
2021-01-28,0.0274199,0.028163733
2021-01-29,0.029009512,0.03166207
2021-01-30,0.09531713,0.09569266
2021-01-31,0.01962422,0.022043452
2021-02-01,0.021757307,0.022945918
2021-02-02,0.0,0.0007162042
2021-02-03,0.05560206,0.05804716
2021-02-04,0.0,0.0017844262
2021-02-05,0.06255243,0.063908495
2021-02-06,0.03127627,0.031240677
