,Actual_data,Predicted_data
2020-11-24,0.22736867,0.22809333
2020-11-25,0.08375741,0.08465152
2020-11-26,0.108272925,0.107943684
2020-11-27,0.09925102,0.09938578
2020-11-28,0.07612186,0.076587684
2020-11-29,0.115307935,0.11521509
2020-11-30,0.050180685,0.050642267
2020-12-01,0.071463056,0.070497595
2020-12-02,0.06609848,0.06602338
2020-12-03,0.04958737,0.048044544
2020-12-04,0.057604767,0.057096727
2020-12-05,0.1285059,0.12957264
2020-12-06,0.11702042,0.11726718
2020-12-07,0.06967535,0.070169024
2020-12-08,0.1254091,0.12544698
2020-12-09,0.09925147,0.1006607
2020-12-10,0.094442,0.09504879
2020-12-11,0.104021445,0.10450613
2020-12-12,0.14735699,0.1499671
2020-12-13,0.07797059,0.079563715
2020-12-14,0.11860972,0.12009127
2020-12-15,0.13328783,0.13419318
2020-12-16,0.14635116,0.1476922
2020-12-17,0.10751357,0.1111628
2020-12-18,0.070495196,0.07202121
2020-12-19,0.09124402,0.091976926
2020-12-20,0.12581007,0.12808636
2020-12-21,0.06020806,0.06149807
2020-12-22,0.06385357,0.0638775
2020-12-23,0.06879851,0.06896771
2020-12-24,0.069944456,0.07095016
2020-12-25,0.06838176,0.06886347
2020-12-26,0.07463767,0.07488783
2020-12-27,0.0563542,0.055741426
2020-12-28,0.03872949,0.039414756
2020-12-29,0.059756782,0.061245773
2020-12-30,0.07523006,0.07517917
2020-12-31,0.08516041,0.08548229
2021-01-01,0.09302343,0.09472688
2021-01-02,0.06089786,0.062417626
2021-01-03,0.13303943,0.13379025
2021-01-04,0.062091053,0.061990287
2021-01-05,0.04791046,0.048808195
2021-01-06,0.05241975,0.052904487
2021-01-07,0.038953435,0.039789874
2021-01-08,0.065756775,0.06642925
2021-01-09,0.04464499,0.045660123
2021-01-10,0.030934138,0.031131914
2021-01-11,0.030558318,0.030933961
2021-01-12,0.032533865,0.033276077
2021-01-13,0.03844713,0.038584627
2021-01-14,0.038943473,0.039509952
2021-01-15,0.057359263,0.057997406
2021-01-16,0.06513325,0.06543725
2021-01-17,0.024791693,0.025011096
2021-01-18,0.0437309,0.043710545
2021-01-19,0.03955413,0.039857198
2021-01-20,0.06012544,0.060217272
2021-01-21,0.024687791,0.02491029
2021-01-22,0.034926634,0.03491921
2021-01-23,0.08153373,0.08175283
2021-01-24,0.04688093,0.047267158
2021-01-25,0.061932836,0.06271566
2021-01-26,0.0695315,0.07057616
2021-01-27,0.14353733,0.14396246
2021-01-28,0.06299408,0.06359844
2021-01-29,0.050569735,0.05145723
2021-01-30,0.0753656,0.07542499
2021-01-31,0.041563105,0.042101458
2021-02-01,0.030457694,0.030526327
2021-02-02,0.083441615,0.084342316
2021-02-03,0.17142992,0.17127147
2021-02-04,0.09364877,0.09394502
2021-02-05,0.0848585,0.08519564
2021-02-06,0.0552687,0.05499552
2021-02-07,0.060080674,0.059888463
2021-02-08,0.05270267,0.052654203
2021-02-09,0.06631497,0.0665119
2021-02-10,0.08289428,0.08230898
2021-02-11,0.15055585,0.15003033
2021-02-12,0.09690832,0.097684704
2021-02-13,0.05854316,0.057767298
2021-02-14,0.037203815,0.03662257
2021-02-15,0.06490599,0.06545451
2021-02-16,0.062402643,0.06283739
2021-02-17,0.050516784,0.050378326
2021-02-18,0.12275554,0.12181567
2021-02-19,0.11507226,0.11528771
2021-02-20,0.062965564,0.06346571
2021-02-21,0.056295052,0.056581516
2021-02-22,0.04135847,0.0415628
2021-02-23,0.05349101,0.05393688
2021-02-24,0.06576862,0.066499636
2021-02-25,0.04524778,0.044618312
2021-02-26,0.088948056,0.088655196
2021-02-27,0.043254085,0.043735813
2021-02-28,0.04752895,0.04757219
2021-03-01,0.037092876,0.037647206
2021-03-02,0.069791734,0.06912225
2021-03-03,0.063032605,0.06415407
2021-03-04,0.04536521,0.046306737
2021-03-05,0.07645257,0.075755164
2021-03-06,0.1144612,0.11444244
2021-03-07,0.05961577,0.060170133
2021-03-08,0.080770165,0.08219302
2021-03-09,0.090692155,0.09101979
2021-03-10,0.06960681,0.07054126
2021-03-11,0.121759586,0.122826636
2021-03-12,0.09609267,0.09611532
2021-03-13,0.07419186,0.074609205
2021-03-14,0.065085724,0.066525884
2021-03-15,0.049901932,0.050306257
2021-03-16,0.074062556,0.07397927
2021-03-17,0.07380321,0.07356787
2021-03-18,0.083468504,0.0846105
2021-03-19,0.040199205,0.041047074
2021-03-20,0.07572493,0.07528894
2021-03-21,0.035145327,0.034743067
2021-03-22,0.046504956,0.046874385
2021-03-23,0.07704997,0.077625416
2021-03-24,0.0443538,0.044152427
2021-03-25,0.10961571,0.10894735
2021-03-26,0.14853671,0.14895077
2021-03-27,0.119766556,0.120164014
2021-03-28,0.062389318,0.06239093
2021-03-29,0.062389698,0.06271899
2021-03-30,0.08546991,0.08667939
2021-03-31,0.06745561,0.067019045
2021-04-01,0.07783656,0.07717504
2021-04-02,0.07130963,0.071509965
2021-04-03,0.07249417,0.07377475
2021-04-04,0.07249471,0.07306631
2021-04-05,0.085592784,0.085788004
2021-04-06,0.1457108,0.14684585
2021-04-07,0.07015253,0.07140833
