,Actual_data,Predicted_data
2020-11-24,0.10960401,0.11078392
2020-11-25,0.20002821,0.2000349
2020-11-26,0.2500375,0.25139356
2020-11-27,0.07501226,0.07489826
2020-11-28,0.13602291,0.13648842
2020-11-29,0.114306055,0.114856325
2020-11-30,0.058075372,0.058972623
2020-12-01,0.15856703,0.1602614
2020-12-02,0.047378205,0.049717
2020-12-03,0.07108103,0.07060893
2020-12-04,0.085877426,0.087426916
2020-12-05,0.059715163,0.05886562
2020-12-06,0.10947853,0.10887977
2020-12-07,0.060762726,0.06123646
2020-12-08,0.05661822,0.058053177
2020-12-09,0.03704674,0.03680695
2020-12-10,0.03366281,0.03461819
2020-12-11,0.031422105,0.032984216
2020-12-12,0.047885448,0.047700178
2020-12-13,0.044456836,0.045025446
2020-12-14,0.087234005,0.089122795
2020-12-15,0.4214712,0.4167245
2020-12-16,0.083728366,0.08494549
2020-12-17,0.06753379,0.068279244
2020-12-18,0.06278367,0.061923582
2020-12-19,0.12240712,0.12295091
2020-12-20,0.051200446,0.051199872
2020-12-21,0.01633282,0.016655736
2020-12-22,0.089017525,0.08869566
2020-12-23,0.048999142,0.049452152
2020-12-24,0.056247726,0.05733064
2020-12-25,0.14459105,0.14853427
2020-12-26,0.027886676,0.028295917
2020-12-27,0.0034980383,0.005277479
2020-12-28,0.02868644,0.031419266
2020-12-29,0.117699295,0.11913931
2020-12-30,0.05242595,0.0548222
2020-12-31,0.036052924,0.03906567
2021-01-01,0.051426187,0.054718126
2021-01-02,0.023820935,0.025724817
2021-01-03,0.069926165,0.0720282
2021-01-04,0.026894875,0.02908591
2021-01-05,0.117704965,0.1192362
2021-01-06,0.010643665,0.013860228
2021-01-07,0.044966545,0.04607776
2021-01-08,0.081436865,0.0821462
2021-01-09,0.040289316,0.04186767
2021-01-10,0.04764387,0.048860528
2021-01-11,0.07847256,0.07825626
2021-01-12,0.05098252,0.050825242
2021-01-13,0.02256849,0.023495736
2021-01-14,0.048413135,0.04911551
2021-01-15,0.13941972,0.13902569
2021-01-16,0.039084025,0.04051839
2021-01-17,0.023450479,0.024797993
2021-01-18,0.025437852,0.02744228
2021-01-19,0.017250985,0.017798886
2021-01-20,0.05211241,0.052494455
2021-01-21,0.0,0.002152782
2021-01-22,0.07696624,0.079279214
2021-01-23,0.047645953,0.0486323
2021-01-24,0.0,0.0006098737
2021-01-25,0.013340897,0.01593113
2021-01-26,0.20324033,0.20064479
2021-01-27,0.014501087,0.017511858
2021-01-28,0.08960379,0.089972325
2021-01-29,0.044802044,0.047687612
2021-01-30,0.03775776,0.03891963
2021-01-31,0.06003491,0.05997688
2021-02-01,0.040023338,0.041009888
2021-02-02,0.20420094,0.20249766
2021-02-03,0.017554214,0.019182863
2021-02-04,0.0,0.0022267578
