,Actual_data,Predicted_data
2020-11-24,0.4286139,0.37216577
2020-11-25,0.30003104,0.25918883
2020-11-26,0.25002697,0.20715384
2020-11-27,0.14287318,0.112704925
2020-11-28,0.062507205,0.044750717
2020-11-29,0.0588304,0.04475577
2020-11-30,0.05883049,0.040675648
2020-12-01,0.11112442,0.08446315
2020-12-02,0.050006136,0.03954154
2020-12-03,0.09524992,0.082263544
2020-12-04,0.047625102,0.036796547
2020-12-05,0.0,-0.011487609
2020-12-06,0.0,-0.0065617124
2020-12-07,0.095250346,0.08173847
2020-12-08,0.0,-0.00843991
2020-12-09,0.68430054,0.6244472
2020-12-10,0.17243978,0.14245996
2020-12-11,0.0,-0.009441304
2020-12-12,0.10346464,0.08120382
2020-12-13,0.25810647,0.22379348
2020-12-14,0.23688343,0.19316912
2020-12-15,0.32614818,0.28548732
2020-12-16,0.20343253,0.1744647
2020-12-17,0.3858021,0.33487344
2020-12-18,0.2526992,0.2150048
2020-12-19,0.20345148,0.17471305
2020-12-20,0.16202667,0.13611317
2020-12-21,0.115194425,0.09432286
2020-12-22,0.18139134,0.14708953
2020-12-23,0.1209846,0.100009464
2020-12-24,0.08776211,0.07097629
2020-12-25,0.09881655,0.080605365
2020-12-26,0.02623173,0.018137112
2020-12-27,0.04061328,0.032079913
2020-12-28,0.018258754,0.013750848
2020-12-29,0.03705878,0.03074167
2020-12-30,0.03398271,0.02757519
2020-12-31,0.019095711,0.016662987
2021-01-01,0.054200396,0.05059674
2021-01-02,0.01747846,0.016190818
2021-01-03,0.04787789,0.045400914
2021-01-04,0.04084337,0.03948184
2021-01-05,0.027045257,0.025752384
2021-01-06,0.05736393,0.056088705
2021-01-07,0.04288694,0.04359941
2021-01-08,0.039710477,0.0376756
2021-01-09,0.03740978,0.043642316
2021-01-10,0.019244565,0.019370813
2021-01-11,0.021067798,0.022231502
2021-01-12,0.010877428,0.011624533
2021-01-13,0.02411385,0.024552362
2021-01-14,0.013167471,0.016697122
2021-01-15,0.055596072,0.05551605
2021-01-16,0.0,0.0058689853
2021-01-17,0.033923227,0.03658927
2021-01-18,0.019622317,0.02244776
2021-01-19,0.13646449,0.13721804
2021-01-20,0.11119428,0.11378162
2021-01-21,0.04881736,0.049127117
2021-01-22,0.08114261,0.086219646
2021-01-23,0.057186473,0.05798196
2021-01-24,0.0,0.0009862463
2021-01-25,0.0,0.0015118867
2021-01-26,0.0,0.0029345374
2021-01-27,0.0,0.0015781058
2021-01-28,0.03849101,0.037329968
2021-01-29,0.07698213,0.08269436
2021-01-30,0.04169878,0.040281255
2021-01-31,0.0,0.0052945465
2021-02-01,0.043511834,0.049167816
2021-02-02,0.0435119,0.05194993
2021-02-03,0.16679586,0.17228703
2021-02-04,0.12509745,0.12633663
2021-02-05,0.37529346,0.36283582
2021-02-06,0.10534646,0.10923501
2021-02-07,0.0,0.0036817552
2021-02-08,0.10534678,0.10489066
2021-02-09,0.0,0.0020905873
2021-02-10,0.19062808,0.17880803
2021-02-11,0.16012852,0.1431314
2021-02-12,0.0,0.0024835733
2021-02-13,0.0,-0.0034977617
2021-02-14,0.0,-0.0015218713
2021-02-15,0.04003237,0.03059251
2021-02-16,0.0,-0.0078027314
2021-02-17,0.20850223,0.17875892
2021-02-18,0.115479015,0.09680884
2021-02-19,0.074135,0.05618833
2021-02-20,0.13054246,0.11007575
2021-02-21,0.0,-0.007306084
2021-02-22,0.0,-0.008688035
2021-02-23,0.09098454,0.06624754
2021-02-24,0.20850685,0.18447101
2021-02-25,0.0,-0.0018879732
2021-02-26,0.04765906,0.030082308
2021-02-27,0.04549281,0.039292876
2021-02-28,0.0,-0.008473842
2021-03-01,0.21757463,0.18407649
2021-03-02,0.14827418,0.12312607
2021-03-03,0.096857086,0.07228587
2021-03-04,0.0690249,0.046147767
2021-03-05,0.17872572,0.14797656
2021-03-06,0.1291447,0.10144179
2021-03-07,0.09383225,0.06784334
2021-03-08,0.057193246,0.04453779
2021-03-09,0.054101877,0.043047722
2021-03-10,0.054102037,0.03619677
2021-03-11,0.058875922,0.043053504
2021-03-12,0.0278026,0.019257518
2021-03-13,0.027802642,0.01648272
2021-03-14,0.08340805,0.06919012
2021-03-15,0.051328257,0.042698886
2021-03-16,0.027802888,0.018024001
2021-03-17,0.060660936,0.051226325
2021-03-18,0.0,-0.0019060276
2021-03-19,0.033363614,0.025877357
2021-03-20,0.038496535,0.03089126
2021-03-21,0.043517884,0.040078506
2021-03-22,0.0,-0.002013467
2021-03-23,0.0,-0.0018075296
2021-03-24,0.0,6.705372e-05
2021-03-25,0.20018256,0.17777982
2021-03-26,0.12511466,0.111859016
2021-03-27,0.0,0.00013597026
2021-03-28,0.06255752,0.05661861
2021-03-29,0.0,0.0018914678
2021-03-30,0.16682029,0.15080202
2021-03-31,0.15398842,0.13614574
2021-04-01,0.30797777,0.2891279
