,Actual_data,Predicted_data
2020-11-24,0.12770769,0.12900329
2020-11-25,0.10530372,0.107440814
2020-11-26,0.19504514,0.19739361
2020-11-27,0.09344465,0.09599181
2020-11-28,0.06917767,0.071495496
2020-11-29,0.02552096,0.026133556
2020-11-30,0.08208607,0.08412553
2020-12-01,0.03962105,0.040742207
2020-12-02,0.06899554,0.07072708
2020-12-03,0.11279492,0.11417187
2020-12-04,0.04719117,0.048555378
2020-12-05,0.07466101,0.076818265
2020-12-06,0.04928397,0.05033737
2020-12-07,0.07356392,0.07488056
2020-12-08,0.018966377,0.020592665
2020-12-09,0.101571396,0.1035057
2020-12-10,0.049775507,0.051339682
2020-12-11,0.05558291,0.05734236
2020-12-12,0.057832204,0.05948171
2020-12-13,0.3236918,0.3227018
2020-12-14,0.16827059,0.16996706
2020-12-15,0.1453074,0.14603591
2020-12-16,0.07093535,0.07133035
2020-12-17,0.065971695,0.06695143
2020-12-18,0.08960411,0.08990078
2020-12-19,0.070963874,0.071647346
2020-12-20,0.05578258,0.05693278
2020-12-21,0.058055732,0.059593044
2020-12-22,0.037311092,0.038105518
2020-12-23,0.102712736,0.104338095
2020-12-24,0.25575346,0.25754848
2020-12-25,0.15937616,0.16135576
2020-12-26,0.13373438,0.13527185
2020-12-27,0.07266707,0.0738732
2020-12-28,0.05848515,0.059255958
2020-12-29,0.05977983,0.060931977
2020-12-30,0.040571813,0.041846983
2020-12-31,0.03388645,0.03502732
2021-01-01,0.015921611,0.016118858
2021-01-02,0.021293411,0.022982461
2021-01-03,0.055869598,0.05702406
2021-01-04,0.04299403,0.04375219
2021-01-05,0.057189364,0.057802003
2021-01-06,0.046227496,0.04682139
2021-01-07,0.04980457,0.05104623
2021-01-08,0.07444299,0.074109145
2021-01-09,0.09126359,0.091771916
2021-01-10,0.036576703,0.037589926
2021-01-11,0.01083982,0.0116402535
2021-01-12,0.019780202,0.02114194
2021-01-13,0.051993795,0.053131063
2021-01-14,0.026690299,0.028794296
2021-01-15,0.037069965,0.038267713
2021-01-16,0.032286864,0.033115793
2021-01-17,0.051208638,0.05232543
2021-01-18,0.039444387,0.041770242
2021-01-19,0.041488294,0.04232001
2021-01-20,0.05654852,0.057988487
2021-01-21,0.04195446,0.04432275
2021-01-22,0.111212984,0.1127149
2021-01-23,0.06299527,0.06497088
2021-01-24,0.10665639,0.10812676
2021-01-25,0.048432354,0.049900655
2021-01-26,0.031525612,0.032309853
2021-01-27,0.031775873,0.03308329
2021-01-28,0.050895352,0.05232409
2021-01-29,0.076343246,0.077857204
2021-01-30,0.04205668,0.043587357
2021-01-31,0.034220558,0.034820795
2021-02-01,0.045497872,0.046078976
2021-02-02,0.33677012,0.33767095
2021-02-03,0.09638995,0.09813593
2021-02-04,0.0942951,0.09629259
2021-02-05,0.09036669,0.09131177
2021-02-06,0.10009911,0.100917205
2021-02-07,0.06903432,0.07028397
2021-02-08,0.035246562,0.0358274
2021-02-09,0.014198649,0.014687183
2021-02-10,0.0072014797,0.008867401
2021-02-11,0.09568442,0.09646993
2021-02-12,0.10500129,0.105976835
2021-02-13,0.080619015,0.08172708
2021-02-14,0.057751443,0.05832005
2021-02-15,0.36061928,0.36231223
2021-02-16,0.35083765,0.3532503
2021-02-17,0.1107928,0.111792244
2021-02-18,0.08965123,0.09075684
2021-02-19,0.04305878,0.043469556
2021-02-20,0.036011595,0.03698373
2021-02-21,0.021922491,0.021690344
2021-02-22,0.029663108,0.030395165
2021-02-23,0.04400588,0.04438935
2021-02-24,0.05660152,0.057401795
2021-02-25,0.01007866,0.010696567
2021-02-26,0.013904839,0.0141662825
2021-02-27,0.025299827,0.025731688
2021-02-28,0.014722846,0.01692791
2021-03-01,0.014998583,0.015907688
2021-03-02,0.018801076,0.018944856
2021-03-03,0.02820167,0.029493254
2021-03-04,0.07635974,0.0775866
2021-03-05,0.06804036,0.0685223
2021-03-06,0.061296042,0.062289122
2021-03-07,0.14911065,0.15033726
2021-03-08,0.14723209,0.14893463
2021-03-09,0.055111114,0.055785853
2021-03-10,0.03888109,0.040412538
2021-03-11,0.033006262,0.03449321
2021-03-12,0.09901893,0.10044969
2021-03-13,0.020858241,0.021582378
2021-03-14,0.06601296,0.06746376
2021-03-15,0.04306234,0.044552203
2021-03-16,0.06459363,0.06649061
2021-03-17,0.14754587,0.14958467
2021-03-18,0.0476767,0.049078435
2021-03-19,0.059478007,0.060881644
2021-03-20,0.050060794,0.051196765
2021-03-21,0.11124648,0.11305523
2021-03-22,0.08343529,0.08526566
2021-03-23,0.0,0.00042895213
2021-03-24,0.04825192,0.049420994
2021-03-25,0.036189005,0.03726552
2021-03-26,0.024126038,0.024401732
2021-03-27,0.10539279,0.10525571
2021-03-28,0.012210187,0.013264613
2021-03-29,0.06501531,0.066443354
2021-03-30,0.1026911,0.10333719
2021-03-31,0.18773286,0.18898374
2021-04-01,0.12361099,0.124806054
2021-04-02,0.11642485,0.11782043
2021-04-03,0.13350113,0.1354282
2021-04-04,0.14451236,0.14580975
2021-04-05,0.060076248,0.06134032
2021-04-06,0.12260493,0.12376073
2021-04-07,0.18205078,0.18304974
2021-04-08,0.14304124,0.14423469
2021-04-09,0.10652098,0.1083686
2021-04-10,0.14304347,0.14420521
2021-04-11,0.10728372,0.109039634
2021-04-12,0.07577581,0.07547897
2021-04-13,0.05161494,0.05248003
