,Alpha_origin,Alpha_Predicted
2021-06-13,17.88,18.753979
2021-06-14,14.640001,15.343545
2021-06-15,14.4,15.697084
2021-06-16,22.800001,23.496258
2021-06-17,21.960001,22.274782
2021-06-18,18.36,19.1911
2021-06-19,17.400002,17.034678
2021-06-20,13.56,14.347067
2021-06-21,10.92,10.265336
2021-06-22,11.040001,11.618751
2021-06-23,22.92,22.984486
2021-06-24,22.199999,22.578388
2021-06-25,21.960001,23.135893
2021-06-26,22.56,22.420218
2021-06-27,20.759998,21.259027
2021-06-28,19.439999,20.845125
2021-06-29,27.6,27.34836
2021-06-30,28.8,29.509449
2021-07-01,29.880001,30.835882
2021-07-02,31.68,31.872612
2021-07-03,30.24,30.938288
2021-07-04,27.720001,28.33519
2021-07-05,13.200001,12.464547
2021-07-06,13.74,13.428579
2021-07-07,22.02,22.256998
2021-07-08,23.52,23.758146
2021-07-09,24.3,25.576544
2021-07-10,27.060001,26.924868
2021-07-11,24.42,24.865837
2021-07-12,19.62,19.944489
2021-07-13,19.08,19.498478
2021-07-14,27.84,29.048965
2021-07-15,29.76,30.295107
2021-07-16,27.36,28.15607
2021-07-17,23.580002,24.49607
2021-07-18,22.38,22.41833
2021-07-19,10.2,10.277813
2021-07-20,11.49,12.185524
2021-07-21,13.95,13.88708
2021-07-22,11.19,12.442502
2021-07-23,12.450001,12.924703
2021-07-24,13.920001,13.631402
2021-07-25,9.6,10.030211
2021-07-26,10.5,10.912033
2021-07-27,11.19,12.457894
2021-07-28,16.68,17.347277
2021-07-29,14.07,14.412074
2021-07-30,15.72,15.701393
2021-07-31,11.849999,12.129129
2021-08-01,12.179999,12.283675
2021-08-02,3.3700001,3.1339815
2021-08-03,3.6,3.698556
2021-08-04,4.87,4.399966
2021-08-05,4.8599997,4.4191184
2021-08-06,4.62,4.5723605
2021-08-07,5.14,4.52379
2021-08-08,4.62,4.347747
2021-08-09,4.08,4.4581847
2021-08-10,4.2,5.0256395
2021-08-11,6.66,5.5086117
2021-08-12,5.7499995,5.234215
2021-08-13,5.4,4.9375906
2021-08-14,5.73,4.7883325
2021-08-15,5.1,5.3214316
