,Alpha_origin,Alpha_Predicted
2021-06-13,17.88,13.302149
2021-06-14,14.640001,9.827559
2021-06-15,14.4,7.3353596
2021-06-16,22.800001,4.0147467
2021-06-17,21.960001,5.3260098
2021-06-18,18.36,7.198956
2021-06-19,17.400002,8.703016
2021-06-20,13.56,6.8815517
2021-06-21,10.92,4.738547
2021-06-22,11.040001,10.586211
2021-06-23,22.92,12.347829
2021-06-24,22.199999,12.444199
2021-06-25,21.960001,10.509674
2021-06-26,22.56,17.769941
2021-06-27,20.759998,19.467499
2021-06-28,19.439999,20.08842
2021-06-29,27.6,18.402102
2021-06-30,28.8,14.03559
2021-07-01,29.880001,11.719561
2021-07-02,31.68,10.278863
2021-07-03,30.24,9.668995
2021-07-04,27.720001,11.782424
2021-07-05,13.200001,10.726798
2021-07-06,13.74,6.0240164
2021-07-07,22.02,4.753035
2021-07-08,23.52,8.058974
2021-07-09,24.3,8.961264
2021-07-10,27.060001,12.186529
2021-07-11,24.42,18.643085
2021-07-12,19.62,13.816262
2021-07-13,19.08,14.67449
2021-07-14,27.84,15.44551
2021-07-15,29.76,15.299039
2021-07-16,27.36,16.309355
2021-07-17,23.580002,14.006351
2021-07-18,22.38,14.99518
2021-07-19,10.2,8.030838
2021-07-20,11.49,5.7393913
2021-07-21,13.95,4.8795247
2021-07-22,11.19,6.7535467
2021-07-23,12.450001,2.1960042
2021-07-24,13.920001,6.385268
2021-07-25,9.6,11.300696
2021-07-26,10.5,9.775629
2021-07-27,11.19,9.030208
2021-07-28,16.68,9.296391
2021-07-29,14.07,10.939965
2021-07-30,15.72,9.211069
2021-07-31,11.849999,9.878254
2021-08-01,12.179999,8.733521
2021-08-02,3.3700001,9.401133
2021-08-03,3.6,8.756142
2021-08-04,4.87,9.523213
2021-08-05,4.8599997,10.731562
2021-08-06,4.62,4.6068974
2021-08-07,5.14,6.4973874
2021-08-08,4.62,9.7808075
2021-08-09,4.08,7.144595
2021-08-10,4.2,7.383188
2021-08-11,6.66,7.877098
2021-08-12,5.7499995,6.8154626
2021-08-13,5.4,6.8105197
2021-08-14,5.73,8.662008
2021-08-15,5.1,10.788627
