,22D_origin,22D_Predicted
2023-02-19,451.43997,451.48575
2023-02-20,173.52,173.04623
2023-02-21,384.47998,385.41574
2023-02-22,625.68,627.0574
2023-02-23,479.52,479.7143
2023-02-24,452.87997,452.49713
2023-02-25,457.91998,458.5187
2023-02-26,408.96,409.60516
2023-02-27,152.09001,152.65265
2023-02-28,361.12997,362.34772
2023-03-01,505.85,506.6293
2023-03-02,335.66998,335.45074
2023-03-03,330.97998,330.81232
2023-03-04,405.34998,405.98584
2023-03-05,322.94,322.06625
2023-03-06,154.77,154.04524
2023-03-07,341.7,343.0382
2023-03-08,517.24,518.6424
2023-03-09,396.64,396.14908
2023-03-10,377.88,377.022
2023-03-11,345.05,345.3926
2023-03-12,356.43997,357.24905
2023-03-13,134.4,134.63046
2023-03-14,299.6,300.9164
2023-03-15,357.28,358.1825
2023-03-16,318.63998,319.48776
2023-03-17,268.8,269.0778
2023-03-18,268.24,268.15506
2023-03-19,234.64,234.13304
2023-03-20,132.16,132.29257
2023-03-21,286.16,286.39392
2023-03-22,405.99997,406.31287
2023-03-23,289.52,289.2411
2023-03-24,268.24,268.93863
2023-03-25,281.68,282.31
2023-03-26,235.76001,236.49884
2023-03-27,75.270004,75.15951
2023-03-28,169.26001,171.1741
2023-03-29,229.71,230.81189
2023-03-30,171.21,173.37718
2023-03-31,160.68001,159.7536
2023-04-01,165.36,165.45901
2023-04-02,141.57,142.45993
2023-04-03,70.59,69.57388
2023-04-04,164.58,163.01242
2023-04-05,221.13,219.73172
2023-04-06,171.21,168.88875
2023-04-07,144.69,146.2801
2023-04-08,133.77,134.93816
2023-04-09,135.33,133.88397
2023-04-10,41.34,42.179604
2023-04-11,93.86,93.840065
2023-04-12,125.58001,129.23366
2023-04-13,103.740005,105.05226
2023-04-14,95.16001,96.105804
2023-04-15,95.420006,96.87085
2023-04-16,85.020004,88.19834
2023-04-17,38.22,39.785538
2023-04-18,87.62,89.058304
2023-04-19,132.86,135.49962
2023-04-20,122.46,120.86488
2023-04-21,115.7,116.90701
2023-04-22,116.48,117.00537
2023-04-23,105.04001,104.228134
2023-04-24,37.620003,38.05404
2023-04-25,74.29,74.65032
2023-04-26,112.48,112.77852
2023-04-27,91.01,91.397354
2023-04-28,85.880005,78.63404
2023-04-29,82.27,83.51101
2023-04-30,84.36,86.31468
2023-05-01,29.64,45.24846
2023-05-02,73.72,77.784004
2023-05-03,113.43001,112.62385
2023-05-04,126.73,106.472855
