,23A_origin,23A_Predicted
2023-02-19,45.2,44.62219
2023-02-20,18.08,19.297462
2023-02-21,45.2,53.59631
2023-02-22,48.159996,51.650913
2023-02-23,40.719997,41.296974
2023-02-24,44.559998,38.83926
2023-02-25,40.32,43.38717
2023-02-26,28.4,35.340843
2023-02-27,36.15,31.1904
2023-02-28,76.05,81.55508
2023-03-01,81.15,78.82095
2023-03-02,50.85,60.612827
2023-03-03,65.1,68.420395
2023-03-04,75.45,66.882576
2023-03-05,76.95,67.45409
2023-03-06,0.0,27.339516
2023-03-07,96.15,89.550224
2023-03-08,84.6,88.95064
2023-03-09,70.35,72.05843
2023-03-10,61.35,66.39213
2023-03-11,62.25,68.94651
2023-03-12,53.85,59.9666
2023-03-13,62.06,55.70849
2023-03-14,149.93,145.66652
2023-03-15,123.83,132.95125
2023-03-16,111.939995,112.50142
2023-03-17,114.549995,120.8701
2023-03-18,109.619995,119.7712
2023-03-19,124.409996,125.6997
2023-03-20,32.48,38.34676
2023-03-21,155.15,159.11432
2023-03-22,145.0,153.73277
2023-03-23,115.71,126.55077
2023-03-24,116.0,119.15494
2023-03-25,102.08,106.090645
2023-03-26,106.42999,113.15002
2023-03-27,52.9,61.755436
2023-03-28,204.7,200.59613
2023-03-29,191.35999,191.37895
2023-03-30,170.66,169.16882
2023-03-31,170.2,169.74873
2023-04-01,171.12,173.01726
2023-04-02,167.44,166.63959
2023-04-03,66.24,63.631042
2023-04-04,189.06,196.87422
2023-04-05,228.16,230.53252
2023-04-06,171.58,172.95471
2023-04-07,155.01999,168.20952
2023-04-08,143.98,157.17513
2023-04-09,148.12001,151.39783
2023-04-10,50.399998,62.548874
2023-04-11,211.12001,221.23676
2023-04-12,225.68,232.47783
2023-04-13,190.4,198.50247
2023-04-14,183.68,192.62512
2023-04-15,196.56001,207.50325
2023-04-16,161.28,172.85756
2023-04-17,55.44,69.98629
2023-04-18,243.59999,247.18256
2023-04-19,287.28,293.72543
2023-04-20,223.44,227.3863
2023-04-21,247.51999,242.07336
2023-04-22,276.63998,269.71585
2023-04-23,187.04001,194.76224
2023-04-24,107.520004,108.5969
2023-04-25,274.56,280.91913
2023-04-26,274.56,283.55008
2023-04-27,253.43999,258.85138
2023-04-28,242.56,269.43753
2023-04-29,289.28,301.19476
2023-04-30,253.43999,223.4991
2023-05-01,78.08,117.22194
2023-05-02,307.19998,302.6306
2023-05-03,296.96002,324.26712
2023-05-04,375.04,293.95847
