,23A_origin,23A_Predicted
2023-02-19,45.2,34.540176
2023-02-20,18.08,17.513918
2023-02-21,45.2,37.753273
2023-02-22,48.159996,34.239346
2023-02-23,40.719997,35.37096
2023-02-24,44.559998,33.91723
2023-02-25,40.32,33.50302
2023-02-26,28.4,35.595356
2023-02-27,36.15,22.962704
2023-02-28,76.05,51.56457
2023-03-01,81.15,53.679188
2023-03-02,50.85,48.682022
2023-03-03,65.1,50.839348
2023-03-04,75.45,46.69293
2023-03-05,76.95,51.121662
2023-03-06,0.0,20.768324
2023-03-07,96.15,63.590508
2023-03-08,84.6,65.46686
2023-03-09,70.35,54.266575
2023-03-10,61.35,54.077576
2023-03-11,62.25,54.008278
2023-03-12,53.85,56.537632
2023-03-13,62.06,27.467224
2023-03-14,149.93,108.94062
2023-03-15,123.83,103.85386
2023-03-16,111.939995,81.09884
2023-03-17,114.549995,102.18818
2023-03-18,109.619995,94.771996
2023-03-19,124.409996,102.047386
2023-03-20,32.48,24.487146
2023-03-21,155.15,157.43756
2023-03-22,145.0,138.15851
2023-03-23,115.71,119.905365
2023-03-24,116.0,115.08724
2023-03-25,102.08,104.42602
2023-03-26,106.42999,110.7245
2023-03-27,52.9,34.418457
2023-03-28,204.7,187.85226
2023-03-29,191.35999,176.81772
2023-03-30,170.66,147.48286
2023-03-31,170.2,157.42813
2023-04-01,171.12,150.62494
2023-04-02,167.44,142.77768
2023-04-03,66.24,35.50755
2023-04-04,189.06,210.52637
2023-04-05,228.16,219.89668
2023-04-06,171.58,177.97162
2023-04-07,155.01999,177.03079
2023-04-08,143.98,170.0279
2023-04-09,148.12001,152.25668
2023-04-10,50.399998,49.646786
2023-04-11,211.12001,238.9748
2023-04-12,225.68,237.58499
2023-04-13,190.4,209.46658
2023-04-14,183.68,197.63571
2023-04-15,196.56001,216.83049
2023-04-16,161.28,176.76743
2023-04-17,55.44,52.89432
2023-04-18,243.59999,256.47122
2023-04-19,287.28,279.3116
2023-04-20,223.44,231.99399
2023-04-21,247.51999,228.88019
2023-04-22,276.63998,249.0155
2023-04-23,187.04001,190.6591
2023-04-24,107.520004,91.5043
2023-04-25,274.56,292.87482
2023-04-26,274.56,287.51053
2023-04-27,253.43999,263.19925
2023-04-28,242.56,251.79327
2023-04-29,289.28,286.35898
2023-04-30,253.43999,210.87184
2023-05-01,78.08,95.77896
2023-05-02,307.19998,299.26285
2023-05-03,296.96002,313.58984
2023-05-04,375.04,286.7734
