,Alpha_origin,Alpha_Predicted
2021-06-13,1.8000001,0.8240542
2021-06-14,2.3999999,0.78103286
2021-06-15,1.9200001,0.7335545
2021-06-16,1.9200001,0.71946704
2021-06-17,0.84,0.7614703
2021-06-18,1.3199999,0.81392837
2021-06-19,1.56,0.81435704
2021-06-20,1.9200001,0.79247916
2021-06-21,2.1599998,0.72453856
2021-06-22,0.35999998,0.7973288
2021-06-23,0.84,0.87991524
2021-06-24,0.35999998,1.0415137
2021-06-25,0.59999996,1.050412
2021-06-26,1.56,0.99682385
2021-06-27,0.96000004,0.9867283
2021-06-28,0.59999996,1.0370691
2021-06-29,0.96000004,1.0083994
2021-06-30,1.3199999,1.0032921
2021-07-01,0.84,0.8803056
2021-07-02,1.0799999,0.8389762
2021-07-03,0.96000004,0.77288646
2021-07-04,0.35999998,0.7274541
2021-07-05,0.35999998,0.68353397
2021-07-06,0.48000002,0.6754868
2021-07-07,0.78,0.61984545
2021-07-08,0.90000004,0.48409158
2021-07-09,1.14,0.5312666
2021-07-10,0.84,0.66228926
2021-07-11,1.38,0.85959226
2021-07-12,2.22,1.0758018
2021-07-13,2.28,1.3096977
2021-07-14,3.12,1.6402234
2021-07-15,3.06,2.115667
2021-07-16,1.9200001,2.4571357
2021-07-17,1.74,2.8629193
2021-07-18,2.52,3.1505275
2021-07-19,0.99,2.5009613
2021-07-20,0.90000004,1.968243
2021-07-21,1.05,1.8728154
2021-07-22,1.14,1.9665325
2021-07-23,1.8000001,1.9965676
2021-07-24,1.56,1.9597455
2021-07-25,2.07,1.9351835
2021-07-26,1.8000001,1.8872482
2021-07-27,2.07,1.887923
2021-07-28,1.65,1.9563596
2021-07-29,1.68,1.9509401
2021-07-30,1.86,1.7037084
2021-07-31,1.38,1.3115444
2021-08-01,0.69,1.0912248
2021-08-02,0.26,0.92790395
2021-08-03,0.37,0.79855293
2021-08-04,0.75,0.7506824
2021-08-05,1.2099999,0.6459615
2021-08-06,0.84,0.5761476
2021-08-07,0.68,0.5486527
2021-08-08,0.63,0.57379043
2021-08-09,0.86,0.5289847
2021-08-10,0.8,0.49953756
2021-08-11,0.65999997,0.46391508
2021-08-12,0.39,0.3896975
2021-08-13,0.57,0.4122641
2021-08-14,0.82,0.6032333
2021-08-15,0.57,1.0783542
