,Alpha_origin,Alpha_Predicted
2021-06-13,0.12,0.42583296
2021-06-14,0.12,0.45752957
2021-06-15,0.96,0.4704615
2021-06-16,0.48,0.38374564
2021-06-17,0.24,0.23403977
2021-06-18,0.12,0.1991924
2021-06-19,0.24,0.2784579
2021-06-20,0.35999998,0.37035355
2021-06-21,0.24,0.5699847
2021-06-22,0.71999997,0.5422473
2021-06-23,0.96,0.29083353
2021-06-24,0.12,0.23054866
2021-06-25,0.24,0.3223861
2021-06-26,0.24,0.29973635
2021-06-27,0.96,0.29359943
2021-06-28,0.0,0.284194
2021-06-29,0.35999998,0.37866098
2021-06-30,0.35999998,0.4009567
2021-07-01,0.6,0.39576072
2021-07-02,0.24,0.26638857
2021-07-03,0.35999998,0.20805542
2021-07-04,0.48,0.19634213
2021-07-05,0.24,0.20945433
2021-07-06,0.3,0.19494578
2021-07-07,0.3,0.086156055
2021-07-08,0.3,-0.054944776
2021-07-09,0.06,-0.08898354
2021-07-10,0.0,0.073654994
2021-07-11,0.17999999,0.25132895
2021-07-12,0.35999998,0.28271708
2021-07-13,0.48,0.2697091
2021-07-14,0.35999998,0.26363695
2021-07-15,0.12,0.23804115
2021-07-16,0.42000002,0.20610304
2021-07-17,0.12,0.24191844
2021-07-18,0.3,0.28273413
2021-07-19,0.24,0.2668374
2021-07-20,0.39,0.22657165
2021-07-21,0.17999999,0.22860606
2021-07-22,0.3,0.22694308
2021-07-23,0.24,0.19182749
2021-07-24,0.17999999,0.15437292
2021-07-25,0.27,0.16707447
2021-07-26,0.15,0.1955934
2021-07-27,0.17999999,0.2033883
2021-07-28,0.33,0.20431767
2021-07-29,0.15,0.19870092
2021-07-30,0.12,0.18583937
2021-07-31,0.35999998,0.16812377
2021-08-01,0.27,0.15657727
2021-08-02,0.03,0.15503384
2021-08-03,0.07,0.15941025
2021-08-04,0.08,0.15046011
2021-08-05,0.15,0.13707693
2021-08-06,0.19999999,0.12226943
2021-08-07,0.17999999,0.10463965
2021-08-08,0.07,0.08531453
2021-08-09,0.01,0.0734897
2021-08-10,0.04,0.087726206
2021-08-11,0.08,0.08963765
2021-08-12,0.11,0.076313265
2021-08-13,0.07,0.06565743
2021-08-14,0.099999994,0.06703491
2021-08-15,0.049999997,0.0775011
