,22D_origin,22D_Predicted
2023-02-19,195.83998,195.17519
2023-02-20,49.679996,49.231102
2023-02-21,171.35999,170.83223
2023-02-22,208.07999,207.50597
2023-02-23,151.2,150.604
2023-02-24,149.04001,148.4687
2023-02-25,169.92,169.36252
2023-02-26,126.0,125.46321
2023-02-27,52.26,51.74449
2023-02-28,134.67,134.16798
2023-03-01,179.56,178.992
2023-03-02,110.549995,110.06234
2023-03-03,115.24,114.80462
2023-03-04,132.66,132.09326
2023-03-05,132.66,132.06555
2023-03-06,32.829998,32.282745
2023-03-07,127.97,127.46359
2023-03-08,144.05,143.41177
2023-03-09,119.26,118.35867
2023-03-10,104.52,103.6975
2023-03-11,108.54,107.595406
2023-03-12,101.170006,100.651146
2023-03-13,27.44,27.232826
2023-03-14,96.32,95.68063
2023-03-15,86.8,85.85791
2023-03-16,82.88,82.075874
2023-03-17,64.96,63.971565
2023-03-18,61.6,60.96735
2023-03-19,52.64,52.082798
2023-03-20,24.079998,23.67271
2023-03-21,66.64,65.88141
2023-03-22,85.67999,84.959854
2023-03-23,66.08,65.47727
2023-03-24,69.439995,68.647804
2023-03-25,43.68,42.64268
2023-03-26,48.159996,48.017883
2023-03-27,17.16,17.308409
2023-03-28,36.66,36.803658
2023-03-29,42.9,43.262836
2023-03-30,42.9,41.498066
2023-03-31,35.1,33.839615
2023-04-01,43.68,42.66398
2023-04-02,38.609997,38.104664
2023-04-03,14.04,13.470138
2023-04-04,47.969997,46.55145
2023-04-05,62.01,61.366394
2023-04-06,35.49,35.979755
2023-04-07,29.25,29.12984
2023-04-08,32.760002,32.115955
2023-04-09,31.59,30.321623
2023-04-10,11.18,10.466966
2023-04-11,20.54,21.999542
2023-04-12,26.779999,27.045015
2023-04-13,28.86,29.475044
2023-04-14,21.06,22.514553
2023-04-15,21.32,21.894552
2023-04-16,22.619999,23.965235
2023-04-17,10.92,10.852332
2023-04-18,32.24,31.50268
2023-04-19,35.88,35.3901
2023-04-20,30.94,29.798895
2023-04-21,29.9,28.72168
2023-04-22,26.779999,26.424086
2023-04-23,25.48,23.928324
2023-04-24,9.12,8.933289
2023-04-25,22.23,22.024632
2023-04-26,21.09,20.941689
2023-04-27,25.08,24.967571
2023-04-28,29.07,24.519188
2023-04-29,30.78,23.30423
2023-04-30,30.21,26.127367
2023-05-01,8.93,15.439115
2023-05-02,37.81,31.317696
2023-05-03,34.2,29.945028
2023-05-04,42.37,27.224693
